synopsis : blond criminal psychologist sarah chooses to copulate with greasy tony the mysterious puerto rican rather than bearded cliff the wisecracking neighbor upstairs . 	Translation	Positive	Negative	EmotionRationale
in the meantime , someone sends sarah rotting flowers , puts her name in the newspaper's obituary column , and kills her cat . 	in the meantime , someone sends sarah rotting flowers , puts her name in the newspaper's obituary column , and kills her cat .	1	-1	 in[0] the[0] meantime[0] someone[0] sends[0] sarah[0] rotting[0] flowers[0] puts[0] her[0] name[0] in[0] the[0] newspaper's[0] obituary[0] column[0] and[0] kills[0] her[0] cat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
comments : never talk to strangers , a colossal waste of time , moves slower than molasses in winter to arrive at a conclusion which should be obvious to the audience 20 minutes into the film . 	comments : never talk to strangers , a colossal waste of time , moves slower than molasses in winter to arrive at a conclusion which should be obvious to the audience 20 minutes into the film .	1	-2	 comments[0] never[0] talk[0] to[0] strangers[0] a[0] colossal[0] waste[-1] of[0] time[0] moves[0] slower[0] than[0] molasses[0] in[0] winter[0] to[0] arrive[0] at[0] a[0] conclusion[0] which[0] should[0] be[0] obvious[0] to[0] the[0] audience[0] 20[0] minutes[0] into[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one wouldn't think that two genuine movie stars , antonio banderas ( evita ) and rebecca de mornay ( hand that rocks the cradle ) , and the acerbic comic genius dennis miller ( " saturday night live " ) would be involved in such a celluloid backfire as this turkey . 	one wouldn't think that two genuine movie stars , antonio banderas ( evita ) and rebecca de mornay ( hand that rocks the cradle ) , and the acerbic comic genius dennis miller ( " saturday night live " ) would be involved in such a celluloid backfire as this turkey .	1	-1	 one[0] wouldn't[0] think[0] that[0] two[0] genuine[0] movie[0] stars[0] antonio[0] banderas[0] evita[0] and[0] rebecca[0] de[0] mornay[0] hand[0] that[0] rocks[0] the[0] cradle[0] and[0] the[0] acerbic[0] comic[0] genius[0] dennis[0] miller[0] saturday[0] night[0] live[0] would[0] be[0] involved[0] in[0] such[0] a[0] celluloid[0] backfire[0] as[0] this[0] turkey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not only are they in it , however , but de mornay executive produced it . 	not only are they in it , however , but de mornay executive produced it .	1	-1	 not[0] only[0] are[0] they[0] in[0] it[0] however[0] but[0] de[0] mornay[0] executive[0] produced[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what was she thinking ? 	what was she thinking ?	1	-1	 what[0] was[0] she[0] thinking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
never talk to strangers centers upon sarah , a psychologist examining the ill-tempered max , a murderer soon to stand trial . 	never talk to strangers centers upon sarah , a psychologist examining the ill-tempered max , a murderer soon to stand trial .	1	-4	 never[0] talk[0] to[0] strangers[0] centers[0] upon[0] sarah[0] a[0] psychologist[0] examining[0] the[0] ill[-1] tempered[0] max[0] a[0] murderer[-3] soon[0] to[0] stand[0] trial[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
she receives a sudden visit from her father which elicits flashbacks of some tragedy in her early childhood . 	she receives a sudden visit from her father which elicits flashbacks of some tragedy in her early childhood .	1	-2	 she[0] receives[0] a[0] sudden[0] visit[0] from[0] her[0] father[0] which[0] elicits[0] flashbacks[0] of[0] some[0] tragedy[-2][--1 LastWordBoosterStrength] in[0] her[0] early[0] childhood[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
two men woo her ; tony the " security consultant " wins her over ( so they have passionate sex replete with cheesy saxophone music ) . 	two men woo her ; tony the " security consultant " wins her over ( so they have passionate sex replete with cheesy saxophone music ) .	3	-1	 two[0] men[0] woo[0] her[0] tony[0] the[0] security[1] consultant[0] wins[0] her[0] over[0] so[0] they[0] have[0] passionate[2] sex[0] replete[0] with[0] cheesy[0] saxophone[0] music[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a lot of psychobabble is thrown around about multiple personality disorder , but the movie asks its audience not to derive the obvious conclusion between mpd and sarah , and instead offers several male characters as red herrings . 	a lot of psychobabble is thrown around about multiple personality disorder , but the movie asks its audience not to derive the obvious conclusion between mpd and sarah , and instead offers several male characters as red herrings .	1	-2	 a[0] lot[0] of[0] psychobabble[0] is[0] thrown[0] around[0] about[0] multiple[0] personality[0] disorder[-1] but[0] the[0] movie[0] asks[0] its[0] audience[0] not[0] to[0] derive[0] the[0] obvious[0] conclusion[0] between[0] mpd[0] and[0] sarah[0] and[0] instead[0] offers[0] several[0] male[0] characters[0] as[0] red[0] herrings[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
86 minutes , the running time of this cinematic mess , thus , seem like 86 hours . 	86 minutes , the running time of this cinematic mess , thus , seem like 86 hours .	2	-1	 86[0] minutes[0] the[0] running[0] time[0] of[0] this[0] cinematic[0] mess[0] thus[0] seem[0] like[1] 86[0] hours[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
