starring arnold schwarzenegger ; danny devito ; emma thompson & frank langella the only thing that you can say about junior is that it is a disappointment , and a big one at that . 	Translation	Positive	Negative	EmotionRationale
junior brings together arnold schwarzenegger and danny devito with director ivan reitman . 	junior brings together arnold schwarzenegger and danny devito with director ivan reitman .	1	-1	 junior[0] brings[0] together[0] arnold[0] schwarzenegger[0] and[0] danny[0] devito[0] with[0] director[0] ivan[0] reitman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these are the same men that brought us the very funny twins . 	these are the same men that brought us the very funny twins .	3	-1	 these[0] are[0] the[0] same[0] men[0] that[0] brought[0] us[0] the[0] very[0] funny[1][1 LastWordBoosterStrength] twins[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
so foolish me , i was hoping for something that would at least come close to the level of quality of twins . 	so foolish me , i was hoping for something that would at least come close to the level of quality of twins .	2	-2	 so[0] foolish[-1] me[0] i[0] was[0] hoping[1] for[0] something[0] that[0] would[0] at[0] least[0] come[0] close[0] to[0] the[0] level[0] of[0] quality[0] of[0] twins[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
so much for hopes . 	so much for hopes .	2	-1	 so[0] much[0] for[0] hopes[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
schwarzenegger and devito play two scientists ( doctors hesse and arbogast ) who are working on a new drug that will reduce the possibility of miscarriage in pregnancy . 	schwarzenegger and devito play two scientists ( doctors hesse and arbogast ) who are working on a new drug that will reduce the possibility of miscarriage in pregnancy .	1	-1	 schwarzenegger[0] and[0] devito[0] play[0] two[0] scientists[0] doctors[0] hesse[0] and[0] arbogast[0] who[0] are[0] working[0] on[0] a[0] new[0] drug[0] that[0] will[0] reduce[0] the[0] possibility[0] of[0] miscarriage[0] in[0] pregnancy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , due to circumstances beyond their control , they are denied permission to test this new drug on humans , and subsequently lose their funding . 	unfortunately , due to circumstances beyond their control , they are denied permission to test this new drug on humans , and subsequently lose their funding .	1	-2	 unfortunately[-1] due[0] to[0] circumstances[0] beyond[0] their[0] control[0] they[0] are[0] denied[-1] permission[0] to[0] test[0] this[0] new[0] drug[0] on[0] humans[0] and[0] subsequently[0] lose[-1] their[0] funding[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
still believing that their drug will work , they decide to test it anyway , on hesse . 	still believing that their drug will work , they decide to test it anyway , on hesse .	1	-1	 still[0] believing[0] that[0] their[0] drug[0] will[0] work[0] they[0] decide[0] to[0] test[0] it[0] anyway[0] on[0] hesse[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so , dr . hesse ( schwarzenegger ) artificially inseminates himself and begins taking the drug . 	so , dr .<br> hesse ( schwarzenegger ) artificially inseminates himself and begins taking the drug .	1	-1	 so[0] dr[0] [[Sentence=-1,1=word max, 1-5]] hesse[0] schwarzenegger[0] artificially[0] inseminates[0] himself[0] and[0] begins[0] taking[0] the[0] drug[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their theory is that if the drug can prevent a man from miscarrying , surely it will work on a woman . 	their theory is that if the drug can prevent a man from miscarrying , surely it will work on a woman .	1	-1	 their[0] theory[0] is[0] that[0] if[0] the[0] drug[0] can[0] prevent[0] a[0] man[0] from[0] miscarrying[0] surely[0] it[0] will[0] work[0] on[0] a[0] woman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
does the thought of arnold schwarzenegger pregnant sound funny or humorous to you ? 	does the thought of arnold schwarzenegger pregnant sound funny or humorous to you ?	3	-1	 does[0] the[0] thought[0] of[0] arnold[0] schwarzenegger[0] pregnant[0] sound[0] funny[1] or[0] humorous[2] to[0] you[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
well , it must have to the producers of junior . 	well , it must have to the producers of junior .	1	-1	 well[0] it[0] must[0] have[0] to[0] the[0] producers[0] of[0] junior[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
admittedly , schwarzenegger has the comedic talent to pull it off . 	admittedly , schwarzenegger has the comedic talent to pull it off .	2	-1	 admittedly[0] schwarzenegger[0] has[0] the[0] comedic[0] talent[1] to[0] pull[0] it[0] off[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
perhaps if it had been done differently it might have actually been funny . 	perhaps if it had been done differently it might have actually been funny .	2	-1	 perhaps[0] if[0] it[0] had[0] been[0] done[0] differently[0] it[0] might[0] have[0] actually[0] been[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but it wasn't , schwarzenegger pregnant is goofy at best . 	but it wasn't , schwarzenegger pregnant is goofy at best .	2	-1	 but[0] it[0] wasn't[0] schwarzenegger[0] pregnant[0] is[0] goofy[0] at[0] best[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the sight of schwarzenegger running around going through the hormone imbalances that come with pregnancy , and the accompanying emotional swings , is not funny . 	the sight of schwarzenegger running around going through the hormone imbalances that come with pregnancy , and the accompanying emotional swings , is not funny .	1	-2	 the[0] sight[0] of[0] schwarzenegger[0] running[0] around[0] going[0] through[0] the[0] hormone[0] imbalances[0] that[0] come[0] with[0] pregnancy[0] and[0] the[0] accompanying[0] emotional[-1] swings[0] is[0] not[0] funny[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
schwarzenegger comes very close to embarrassing himself with these antics . 	schwarzenegger comes very close to embarrassing himself with these antics .	1	-3	 schwarzenegger[0] comes[0] very[0] close[0] to[0] embarrassing[-2] himself[0] with[0] these[0] antics[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i kept thinking to myself , with the time arnold wasted making this turkey he could have been making an action picture . 	i kept thinking to myself , with the time arnold wasted making this turkey he could have been making an action picture .	1	-2	 i[0] kept[0] thinking[0] to[0] myself[0] with[0] the[0] time[0] arnold[0] wasted[-1] making[0] this[0] turkey[0] he[0] could[0] have[0] been[0] making[0] an[0] action[0] picture[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
better yet , with schwarzenegger , devito and reitman all in the same place at the same time , why didn't they make a sequel to twins ? 	better yet , with schwarzenegger , devito and reitman all in the same place at the same time , why didn't they make a sequel to twins ?	1	-1	 better[0] yet[0] with[0] schwarzenegger[0] devito[0] and[0] reitman[0] all[0] in[0] the[0] same[0] place[0] at[0] the[0] same[0] time[0] why[0] didn't[0] they[0] make[0] a[0] sequel[0] to[0] twins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anything would have been better than this mess . 	anything would have been better than this mess .	1	-1	 anything[0] would[0] have[0] been[0] better[0] than[0] this[0] mess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
danny devito is wasted in this movie . 	danny devito is wasted in this movie .	1	-2	 danny[0] devito[0] is[0] wasted[-1] in[0] this[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
