it's tough to be an aspiring superhero in champion city . 	Translation	Positive	Negative	EmotionRationale
just ask mr . furious ( ben stiller ) , the blue raja ( hank azaria ) , and the shoveler ( william h . macy ) . 	just ask mr .<br> furious ( ben stiller ) , the blue raja ( hank azaria ) , and the shoveler ( william h .<br> macy ) .	1	-4	 just[0] ask[0] mr[0] [[Sentence=-1,1=word max, 1-5]] furious[-3] ben[0] stiller[0] the[0] blue[0] raja[0] hank[0] azaria[0] and[0] the[0] shoveler[0] william[0] h[0] [[Sentence=-4,1=word max, 1-5]] macy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
they're trying to break into the biz , but captain amazing ( greg kinnear ) , the city's hero numero uno , hogs all the action . 	they're trying to break into the biz , but captain amazing ( greg kinnear ) , the city's hero numero uno , hogs all the action .	3	-1	 they're[0] trying[0] to[0] break[0] into[0] the[0] biz[0] but[0] captain[0] amazing[2] greg[0] kinnear[0] the[0] city's[0] hero[2] numero[0] uno[0] hogs[0] all[0] the[0] action[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the good captain has his own problems . 	the good captain has his own problems .	2	-2	 the[0] good[1] captain[0] has[0] his[0] own[0] problems[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
because he's all but eliminated crime , amazing's endorsement deals are falling through . 	because he's all but eliminated crime , amazing's endorsement deals are falling through .	3	-2	 because[0] he's[0] all[0] but[0] eliminated[0] crime[-1] amazing's[2] endorsement[0] deals[0] are[0] falling[0] through[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the public craves a major slugfest , so amazing engineers the parole of his one-time arch enemy casanova frankenstein ( geoffrey rush ) . 	the public craves a major slugfest , so amazing engineers the parole of his one-time arch enemy casanova frankenstein ( geoffrey rush ) .	3	-2	 the[0] public[0] craves[-1] a[0] major[0] slugfest[0] so[0] amazing[2] engineers[0] the[0] parole[0] of[0] his[0] one[0] time[0] arch[0] enemy[-1] casanova[0] frankenstein[0] geoffrey[0] rush[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
frankenstein succeeds beyond expectations ; he captures capt . amazing before setting out on his scheme to destroy the city . 	frankenstein succeeds beyond expectations ; he captures capt .<br> amazing before setting out on his scheme to destroy the city .	3	-3	 frankenstein[0] succeeds[2] beyond[0] expectations[0] he[0] captures[-1] capt[0] [[Sentence=-2,3=word max, 1-5]] amazing[2] before[0] setting[0] out[0] on[0] his[0] scheme[0] to[0] destroy[-2] the[0] city[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
so , no one is left to save the day but our would-be superheroes , but their abilities are more " little league " than " justice league . " 	so , no one is left to save the day but our would-be superheroes , but their abilities are more " little league " than " justice league .<br> "	2	-1	 so[0] no[0] one[0] is[0] left[0] to[0] save[1] the[0] day[0] but[0] our[0] would[0] be[0] superheroes[0] but[0] their[0] abilities[0] are[0] more[0] little[0] league[0] than[0] justice[0] league[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the raja hurls forks at foes , the shoveler hits them with a shovel , and mr . furious just yells at people ( stiller is doing essentially the same character he played in a guest appearance on " friends " ) . 	the raja hurls forks at foes , the shoveler hits them with a shovel , and mr .<br> furious just yells at people ( stiller is doing essentially the same character he played in a guest appearance on " friends " ) .	2	-4	 the[0] raja[0] hurls[0] forks[0] at[0] foes[-2] the[0] shoveler[0] hits[0] them[0] with[0] a[0] shovel[0] and[0] mr[0] [[Sentence=-3,1=word max, 1-5]] furious[-3] just[0] yells[0] at[0] people[0] stiller[0] is[0] doing[0] essentially[0] the[0] same[0] character[0] he[0] played[0] in[0] a[0] guest[0] appearance[0] on[0] friends[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
after a painful first strike , the guys hold auditions for teammates and add the bowler ( janeane garofalo ) , who carries her dead father's skull in her bowling ball ; invisible boy ( kel mitchell ) , who can only use his powers when no one is looking at him ; the spleen ( paul reubens ) , who blows devastating winds from his rear ; and the sphinx ( wes studi ) , a mysterious figure who will teach them to fight . 	after a painful first strike , the guys hold auditions for teammates and add the bowler ( janeane garofalo ) , who carries her dead father's skull in her bowling ball ; invisible boy ( kel mitchell ) , who can only use his powers when no one is looking at him ; the spleen ( paul reubens ) , who blows devastating winds from his rear ; and the sphinx ( wes studi ) , a mysterious figure who will teach them to fight .	1	-5	 after[0] a[0] painful[-3] first[0] strike[-1] the[0] guys[0] hold[0] auditions[0] for[0] teammates[0] and[0] add[0] the[0] bowler[0] janeane[0] garofalo[0] who[0] carries[0] her[0] dead[-2] father's[0] skull[0] in[0] her[0] bowling[0] ball[0] invisible[-1] boy[0] kel[0] mitchell[0] who[0] can[0] only[0] use[0] his[0] powers[0] when[0] no[0] one[0] is[0] looking[0] at[0] him[0] the[0] spleen[0] paul[0] reubens[0] who[0] blows[0] devastating[-4] winds[0] from[0] his[0] rear[0] and[0] the[0] sphinx[0] wes[0] studi[0] a[0] mysterious[0] figure[0] who[0] will[0] teach[0] them[0] to[0] fight[-2] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
 " mystery men " boasts one of the most talented and eclectic casts ever assembled . 	 " mystery men " boasts one of the most talented and eclectic casts ever assembled .	2	-2	 mystery[0] men[0] boasts[-1] one[0] of[0] the[0] most[0] talented[1] and[0] eclectic[0] casts[0] ever[0] assembled[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
