well if you are up for stellar effects then this is the movie for you . 	Translation	Positive	Negative	EmotionRationale
because thats all that there really is . . . . 	because thats all that there really is .<br> .<br> .<br> .	1	-1	 because[0] thats[0] all[0] that[0] there[0] really[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i found that after watching this movie it had many many gaps and flaws in simple logic in the plot . 	i found that after watching this movie it had many many gaps and flaws in simple logic in the plot .	1	-1	 i[0] found[0] that[0] after[0] watching[0] this[0] movie[0] it[0] had[0] many[0] many[0] gaps[0] and[0] flaws[0] in[0] simple[0] logic[0] in[0] the[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for one thing , a white leading actor who has a black daughter does leave some curiosity . . . . 	for one thing , a white leading actor who has a black daughter does leave some curiosity .<br> .<br> .<br> .	1	-1	 for[0] one[0] thing[0] a[0] white[0] leading[0] actor[0] who[0] has[0] a[0] black[0] daughter[0] does[0] leave[0] some[0] curiosity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i am not saying that this isn't possible . . 	i am not saying that this isn't possible .<br> .	1	-1	 i[0] am[0] not[0] saying[0] that[0] this[0] isn't[0] possible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but it does leave one to wonder . . . i 	but it does leave one to wonder .<br> .<br> .<br> i	1	-1	 but[0] it[0] does[0] leave[0] one[0] to[0] wonder[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
know i did . 	know i did .	1	-1	 know[0] i[0] did[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
another thing is that this movie has sections which are painfully stretched out . . . . 	another thing is that this movie has sections which are painfully stretched out .<br> .<br> .<br> .	1	-4	 another[0] thing[0] is[0] that[0] this[0] movie[0] has[0] sections[0] which[0] are[0] painfully[-3] stretched[0] out[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and certain scenes are repeated essentially but with slight variations . 	and certain scenes are repeated essentially but with slight variations .	1	-1	 and[0] certain[0] scenes[0] are[0] repeated[0] essentially[0] but[0] with[0] slight[0] variations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there was one scene that should have been short . . . 	there was one scene that should have been short .<br> .<br> .	1	-1	 there[0] was[0] one[0] scene[0] that[0] should[0] have[0] been[0] short[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but it was horribly stretched and somewhere in the middle of it i found myself thinking . . 	but it was horribly stretched and somewhere in the middle of it i found myself thinking .<br> .	1	-4	 but[0] it[0] was[0] horribly[-3] stretched[0] and[0] somewhere[0] in[0] the[0] middle[0] of[0] it[0] i[0] found[0] myself[0] thinking[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
