okay , okay . 	Translation	Positive	Negative	EmotionRationale
maybe i wasn't in the mood to watch a mindless action movie ; i am the same person that liked lethal weapon iii , even while admitting that it wasn't as good as the others . 	maybe i wasn't in the mood to watch a mindless action movie ; i am the same person that liked lethal weapon i , even while admitting that it wasn't as good as the others .	3	-2	 maybe[0] i[0] wasn't[0] in[0] the[0] mood[0] to[0] watch[0] a[0] mindless[0] action[0] movie[0] i[0] am[0] the[0] same[0] person[0] that[0] liked[2] lethal[0] weapon[-1] iii/i[0][+0.6 MultipleLetters] even[0] while[0] admitting[0] that[0] it[0] wasn't[0] as[0] good[1] as[0] the[0] others[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
howewer , the latest segal picture didn't look that bad , and since none of my friends would go see a woody allen movie even if i paid them , i went to see it expecting a mild die hard rehash . 	howewer , the latest segal picture didn't look that bad , and since none of my friends would go see a woody allen movie even if i paid them , i went to see it expecting a mild die hard rehash .	2	-2	 howewer[0] the[0] latest[0] segal[0] picture[0] didn't[0] look[0] that[0] bad[-1] and[0] since[0] none[0] of[0] my[0] friends[1] would[0] go[0] see[0] a[0] woody[0] allen[0] movie[0] even[0] if[0] i[0] paid[0] them[0] i[0] went[0] to[0] see[0] it[0] expecting[0] a[0] mild[0] die[0] hard[0] rehash[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
boy , was i wrong ! 	boy , was i wrong !	1	-2	 boy[0] was[0] i[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the first half of the movie , we are already assaulted with segal's acting , ( he is not simply wooden ; he is like a wall ) , gratuitous violence , an incredible plot , sexist and even more gratuitous nudity , and bad lines that obviously were meant as jokes . 	in the first half of the movie , we are already assaulted with segal's acting , ( he is not simply wooden ; he is like a wall ) , gratuitous violence , an incredible plot , sexist and even more gratuitous nudity , and bad lines that obviously were meant as jokes .	2	-4	 in[0] the[0] first[0] half[0] of[0] the[0] movie[0] we[0] are[0] already[0] assaulted[-2] with[0] segal's[0] acting[0] he[0] is[0] not[0] simply[0] wooden[0] he[0] is[0] like[1] a[0] wall[0] gratuitous[-1] violence[-3] an[0] incredible[0] plot[0] sexist[-2] and[0] even[0] more[0] gratuitous[-1] nudity[0] and[0] bad[-1] lines[0] that[0] obviously[0] were[0] meant[0] as[0] jokes[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
by the end , it is obvious that hundreds of navy men are no match for thirty armed special forces soldiers . 	by the end , it is obvious that hundreds of navy men are no match for thirty armed special forces soldiers .	2	-1	 by[0] the[0] end[0] it[0] is[0] obvious[0] that[0] hundreds[0] of[0] navy[0] men[0] are[0] no[0] match[0] for[0] thirty[0] armed[0] special[1] forces[0] soldiers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
not once in the movie did segal appear worried or undecided , which did not do much for increasing the unexistent suspense . 	not once in the movie did segal appear worried or undecided , which did not do much for increasing the unexistent suspense .	1	-4	 not[0] once[0] in[0] the[0] movie[0] did[0] segal[0] appear[0] worried[-3] or[0] undecided[0] which[0] did[0] not[0] do[0] much[0] for[0] increasing[0] the[0] unexistent[0] suspense[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
of course , in movies like these , there must be a sidekick , and a love interest . 	of course , in movies like these , there must be a sidekick , and a love interest .	3	-1	 of[0] course[0] in[0] movies[0] like[1] these[0] there[0] must[0] be[0] a[0] sidekick[0] and[0] a[0] love[2] interest[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in these one we are given a two for one package in the form of a playboy model ( in the movie ) , which only functions as a supposed comic relief ( by the way of extremely stupid unfunny lines ) , and to have watering eyes and look away every time something bad happens in the movie . 	in these one we are given a two for one package in the form of a playboy model ( in the movie ) , which only functions as a supposed comic relief ( by the way of extremely stupid unfunny lines ) , and to have watering eyes and look away every time something bad happens in the movie .	2	-4	 in[0] these[0] one[0] we[0] are[0] given[0] a[0] two[0] for[0] one[0] package[0] in[0] the[0] form[0] of[0] a[0] playboy[0] model[0] in[0] the[0] movie[0] which[0] only[0] functions[0] as[0] a[0] supposed[0] comic[0] relief[1] by[0] the[0] way[0] of[0] extremely[0] stupid[-1][-2 LastWordBoosterStrength] unfunny[0] lines[0] and[0] to[0] have[0] watering[0] eyes[0] and[0] look[0] away[0] every[0] time[0] something[0] bad[-1] happens[0] in[0] the[0] movie[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
oh , of course , she appears naked from the waist up , and , of course , segal kisses her at the end after no development of their relationship ; they did not even seem to be interested in each other . 	oh , of course , she appears naked from the waist up , and , of course , segal kisses her at the end after no development of their relationship ; they did not even seem to be interested in each other .	3	-1	 oh[0] of[0] course[0] she[0] appears[0] naked[0] from[0] the[0] waist[0] up[0] and[0] of[0] course[0] segal[0] kisses[2] her[0] at[0] the[0] end[0] after[0] no[0] development[0] of[0] their[0] relationship[0] they[0] did[0] not[0] even[0] seem[0] to[0] be[0] interested[1] in[0] each[0] other[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i have never seen so little chemistry between two people in a movie . 	i have never seen so little chemistry between two people in a movie .	1	-1	 i[0] have[0] never[0] seen[0] so[0] little[0] chemistry[0] between[0] two[0] people[0] in[0] a[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
