this is crap , but , honestly , what older american audience is going to be able to resist seeing jack lemmon and james garner as bicker- ing ex-presidents ? 	Translation	Positive	Negative	EmotionRationale
especially when their supporting players in- clude dan aykroyd as the current commander in chief , lauren bacall as a former first lady , and john heard as the dan quayle-ish vice president . 	especially when their supporting players in- clude dan aykroyd as the current commander in chief , lauren bacall as a former first lady , and john heard as the dan quayle-ish vice president .	2	-2	 especially[0] when[0] their[0] supporting[1] players[0] in[0] clude[0] dan[0] aykroyd[0] as[0] the[0] current[0] commander[0] in[0] chief[0] lauren[0] bacall[0] as[0] a[0] former[0] first[0] lady[0] and[0] john[0] heard[0] as[0] the[0] dan[0] quayle[0] ish[0] vice[-1] president[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
yup , you're talkin' pre-sold property here and , for warner brothers , the perfect fit into their now-ritual grumpy old men holiday slot . 	yup , you're talkin' pre-sold property here and , for warner brothers , the perfect fit into their now-ritual grumpy old men holiday slot .	2	-1	 yup[0] you're[0] talkin'[0] pre[0] sold[0] property[0] here[0] and[0] for[0] warner[0] brothers[0] the[0] perfect[1] fit[0] into[0] their[0] now[0] ritual[0] grumpy[0] old[0] men[0] holiday[0] slot[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for the non-discriminating viewer , my fellow americans is fine . 	for the non-discriminating viewer , my fellow americans is fine .	3	-1	 for[0] the[0] non[0] discriminating[0] viewer[0] my[0] fellow[0] americans[0] is[0] fine[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the raw star power alone will have audiences applauding this atrocious political- thriller road-comedy . 	the raw star power alone will have audiences applauding this atrocious political- thriller road-comedy .	2	-4	 the[0] raw[0] star[0] power[0] alone[0] will[0] have[0] audiences[0] applauding[1] this[0] atrocious[-3] political[0] thriller[1] road[0] comedy[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
 ( they did in mine , heaven help us . ) 	 ( they did in mine , heaven help us .<br> )	2	-1	 they[0] did[0] in[0] mine[0] heaven[1] help[0] us[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for the rest of us , the movie is immediately tiresome . 	for the rest of us , the movie is immediately tiresome .	1	-2	 for[0] the[0] rest[0] of[0] us[0] the[0] movie[0] is[0] immediately[0] tiresome[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the tone is terrible and the banter is worse . 	the tone is terrible and the banter is worse .	1	-4	 the[0] tone[0] is[0] terrible[-3] and[0] the[0] banter[0] is[0] worse[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
forget wit-- lemmon and garner merely exchange profanities through most of the movie . 	forget wit- lemon and garner merely exchange profanities through most of the movie .	1	-1	 forget[0] wit[0] lemmon/lemon[0] and[0] garner[0] merely[0] exchange[0] profanities[0] through[0] most[0] of[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( has anyone counted the number of first penis references ? ) 	 ( has anyone counted the number of first penis references ?<br> )	1	-1	 has[0] anyone[0] counted[0] the[0] number[0] of[0] first[0] penis[0] references[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sure , some of the bits are absurdly funny , including a men's room macarena joke , the appearance of an elvis impersonator on a trainload of tarheels , and an all dorothy marching band performing " over the rainbow " at a gay men's march . 	sure , some of the bits are absurdly funny , including a men's room macarena joke , the appearance of an elvis impersonator on a trainload of tarheels , and an all dorothy marching band performing " over the rainbow " at a gay men's march .	2	-2	 sure[0] some[0] of[0] the[0] bits[0] are[0] absurdly[-1] funny[1] including[0] a[0] men's[0] room[0] macarena[0] joke[1] the[0] appearance[0] of[0] an[0] elvis[0] impersonator[0] on[0] a[0] trainload[0] of[0] tarheels[0] and[0] an[0] all[0] dorothy[0] marching[0] band[0] performing[0] over[0] the[0] rainbow[0] at[0] a[0] gay[-1] men's[0] march[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the get there from here , though , you have to submit to one of the most offensively overbearing musical scores of all time . 	the get there from here , though , you have to submit to one of the most offensively overbearing musical scores of all time .	1	-3	 the[0] get[0] there[0] from[0] here[0] though[0] you[0] have[0] to[0] submit[0] to[0] one[0] of[0] the[0] most[0] offensively[-2] overbearing[-1] musical[0] scores[0] of[0] all[0] time[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
judas priest , is there a single moment of silence in this film ? 	judas priest , is there a single moment of silence in this film ?	1	-1	 judas[0] priest[0] is[0] there[0] a[0] single[0] moment[0] of[0] silence[0] in[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even the dialogue gets drowned out . 	even the dialogue gets drowned out .	1	-2	 even[0] the[0] dialogue[0] gets[0] drowned[-1] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what a waste . 	what a waste .	1	-2	 what[0] a[0] waste[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
