plot : upon the realization that they are failing all of their classes , two roommates try to find a third roomie who will kill himself , since the school's charter automatically grants top grades to the roommates of any student who succeeds in suicide . 	Translation	Positive	Negative	EmotionRationale
critique : despite this film's interesting premise and dark subject matter , this movie sucks because it is unfunny , boring , and presents us with one of tom everett scott's worst acting performances . 	critique : despite this film's interesting premise and dark subject matter , this movie sucks because it is unfunny , boring , and presents us with one of tom everett scott's worst acting performances .	2	-3	 critique[0] despite[0] this[0] film's[0] interesting[1] premise[0] and[0] dark[0] subject[0] matter[0] this[0] movie[0] sucks[-1] because[0] it[0] is[0] unfunny[0] boring[-1] and[0] presents[0] us[0] with[0] one[0] of[0] tom[0] everett[0] scott's[0] worst[-2] acting[0] performances[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
add that to a completely unsuccessful romance element , many lame and corny jokes , a long wait for the setup , and an ending that takes all the blackness out of this " black comedy " ( if you're gonna create a black comedy , don't chicken out in the end-see very bad things ( 8/10 ) for a perfect example ) , and you've got yourself a trite mtv creation worthy of its own subject matter . 	add that to a completely unsuccessful romance element , many lame and corny jokes , a long wait for the setup , and an ending that takes all the blackness out of this " black comedy " ( if you're gonna create a black comedy , don't chicken out in the end-see very bad things ( 8/10 ) for a perfect example ) , and you've got yourself a trite mtv creation worthy of its own subject matter .	4	-4	 add[0] that[0] to[0] a[0] completely[0] unsuccessful[-2][-1 LastWordBoosterStrength] romance[3] element[0] many[0] lame[-2] and[0] corny[0] jokes[1] a[0] long[0] wait[0] for[0] the[0] setup[0] and[0] an[0] ending[0] that[0] takes[0] all[0] the[0] blackness[0] out[0] of[0] this[0] black[0] comedy[0] if[0] you're[0] gonna[0] create[0] a[0] black[0] comedy[0] don't[0] chicken[0] out[0] in[0] the[0] end[0] see[0] very[0] bad[-1][-1 LastWordBoosterStrength] things[0] 8/10[0] for[0] a[0] perfect[1] example[0] and[0] you've[0] got[0] yourself[0] a[0] trite[-2] mtv[0] creation[0] worthy[0] of[0] its[0] own[0] subject[0] matter[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
i barely laughed at any gags , found the bong element contrived and repetitive , and was horrified not to find any gratuitous nudity tossed anywhere in this movie ( if you're gonna make a bad college comedy , at least slap in some free t&a shots for the kids : ) . 	i barely laughed at any gags , found the bong element contrived and repetitive , and was horrified not to find any gratuitous nudity tossed anywhere in this movie ( if you're gonna make a bad college comedy , at least slap in some free t&a shots for the kids : ) .	2	-4	 i[0] barely[0] laughed[1] at[0] any[0] gags[0] found[0] the[0] bong[0] element[0] contrived[0] and[0] repetitive[0] and[0] was[0] horrified[-3] not[0] to[0] find[0] any[0] gratuitous[-1] nudity[0] tossed[0] anywhere[0] in[0] this[0] movie[0] if[0] you're[0] gonna[0] make[0] a[0] bad[-1] college[0] comedy[0] at[0] least[0] slap[-1] in[0] some[0] free[0] t&a[0] shots[0] for[0] the[0] kids[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this one's not even worth the rental , fellas . 	this one's not even worth the rental , fellas .	1	-1	 this[0] one's[0] not[0] even[0] worth[0] the[0] rental[0] fellas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
skip it altogether ! 	skip it altogether !	1	-1	 skip[0] it[0] altogether[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
little known facts about this film and its stars : during auditions for that thing you do ! , tom everett scott's first feature film role , director tom hanks was opposed to hiring tom because of the fact that scott could've passed for hanks 15 years ago . 	little known facts about this film and its stars : during auditions for that thing you do !<br> , tom everett scott's first feature film role , director tom hanks was opposed to hiring tom because of the fact that scot could've passed for hanks 15 years ago .	1	-1	 little[0] known[0] facts[0] about[0] this[0] film[0] and[0] its[0] stars[0] during[0] auditions[0] for[0] that[0] thing[0] you[0] do[0] [[Sentence=-1,1=word max, 1-5]] tom[0] everett[0] scott's[0] first[0] feature[0] film[0] role[0] director[0] tom[0] hanks[0] was[0] opposed[0] to[0] hiring[0] tom[0] because[0] of[0] the[0] fact[0] that[0] scott/scot[0] could've[0] passed[0] for[0] hanks[0] 15[0] years[0] ago[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it wasn't until hanks' wife rita wilson saw the audition tape , and decided he was cute , that hanks decided to risk hiring scott . 	it wasn't until hanks' wife rita wilson saw the audition tape , and decided he was cute , that hanks decided to risk hiring scot .	2	-2	 it[0] wasn't[0] until[0] hanks'[0] wife[0] rita[0] wilson[0] saw[0] the[0] audition[0] tape[0] and[0] decided[0] he[0] was[0] cute[1] that[0] hanks[0] decided[0] to[0] risk[-1] hiring[0] scott/scot[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the actor who played scott cooper in this film , mark-paul gosselaar , is best known for having played the character of zack morris on tv's " saved by the bell " . 	the actor who played scot cooper in this film , mark-paul gosselar , is best known for having played the character of zack morris on tv's " saved by the bell " .	2	-1	 the[0] actor[0] who[0] played[0] scott/scot[0] cooper[0] in[0] this[0] film[0] mark[0] paul[0] gosselaar/gosselar[0] is[0] best[1] known[0] for[0] having[0] played[0] the[0] character[0] of[0] zack[0] morris[0] on[0] tv's[0] saved[1] by[0] the[0] bell[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his parents are dutch and named hans and paula . 	his parents are dutch and named hans and paula .	1	-1	 his[0] parents[0] are[0] dutch[0] and[0] named[0] hans[0] and[0] paula[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and who would've guessed that this is director alan cohn's first shot at directing a feature film ? 	and who would've guessed that this is director alan cohn's first shot at directing a feature film ?	1	-2	 and[0] who[0] would've[0] guessed[0] that[0] this[0] is[0] director[0] alan[0] cohn's[0] first[0] shot[-1] at[0] directing[0] a[0] feature[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
