_dirty_work_ has a premise of deliciously mean-spirited potential . 	Translation	Positive	Negative	EmotionRationale
mitch weaver ( norm macdonald ) and his lifelong best friend sam mckenna ( artie lange ) are losers in life : they were constantly picked on in school , and now they cannot hold regular jobs . 	mitch weaver ( norm macdonald ) and his lifelong best friend sam mckenna ( artie lange ) are losers in life : they were constantly picked on in school , and now they cannot hold regular jobs .	2	-3	 mitch[0] weaver[0] norm[0] macdonald[0] and[0] his[0] lifelong[0] best[1] friend[1] sam[0] mckenna[0] artie[0] lange[0] are[0] losers[-2] in[0] life[0] they[0] were[0] constantly[0] picked[0] on[0] in[0] school[0] and[0] now[0] they[0] cannot[0] hold[0] regular[0] jobs[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but as the trailer goes , " there is one thing mitch weaver is good at--revenge . " 	but as the trailer goes , " there is one thing mitch weaver is good at-revenge .<br> "	2	-2	 but[0] as[0] the[0] trailer[0] goes[0] there[0] is[0] one[0] thing[0] mitch[0] weaver[0] is[0] good[1] at[0] revenge[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
so he and sam parlay their unmatched skill in getting-even schemes into a marketable revenge-for-hire business called dirty work inc . 	so he and sam parlay their unmatched skill in getting-even schemes into a marketable revenge-for-hire business called dirty work inc .	1	-2	 so[0] he[0] and[0] sam[0] parlay[0] their[0] unmatched[0] skill[0] in[0] getting[0] even[0] schemes[0] into[0] a[0] marketable[0] revenge[-1] for[0] hire[0] business[0] called[0] dirty[-1] work[0] inc[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this should be the groundwork for a wonderfully wicked black comedy , but for a film called _dirty_work_ , what ensues is rather clean of spirit . 	this should be the groundwork for a wonderfully wicked black comedy , but for a film called _dirty_work_ , what ensues is rather clean of spirit .	4	-1	 this[0] should[0] be[0] the[0] groundwork[0] for[0] a[0] wonderfully[2] wicked[2][+1 MultiplePositiveWords] black[0] comedy[0] but[0] for[0] a[0] film[0] called[0] _dirty_work_[0] what[0] ensues[0] is[0] rather[0] clean[0] of[0] spirit[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
in fact , what makes mitch and sam start up their business is not a giddy desire to give bullies a taste of their own medicine , but rather a more sappy reason : sam's father ( jack warden ) needs a heart transplant , and in order for him to move at the top of the recipient list , his compulsively betting doctor ( chevy chase ) asks the guys for  50 , 000 to pay off his bookie . 	in fact , what makes mitch and sam start up their business is not a giddy desire to give bullies a taste of their own medicine , but rather a more sappy reason : sam's father ( jack warden ) needs a heart transplant , and in order for him to move at the top of the recipient list , his compulsively betting doctor ( chevy chase ) asks the guys for  50 , 00 to pay off his bookie .	1	-2	 in[0] fact[0] what[0] makes[0] mitch[0] and[0] sam[0] start[0] up[0] their[0] business[0] is[0] not[0] a[0] giddy[0] desire[0] to[0] give[0] bullies[0] a[0] taste[0] of[0] their[0] own[0] medicine[0] but[0] rather[0] a[0] more[0] sappy[0] reason[0] sam's[0] father[0] jack[0] warden[0] needs[0] a[0] heart[0] transplant[0] and[0] in[0] order[0] for[0] him[0] to[0] move[0] at[0] the[0] top[0] of[0] the[0] recipient[0] list[0] his[0] compulsively[0] betting[0] doctor[0] chevy[0] chase[-1] asks[0] the[0] guys[0] for[0] 50[0] 000/00[0] to[0] pay[0] off[0] his[0] bookie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so for all the scheming that goes on , beneath every underhanded plot is--gasp ! --a 	so for all the scheming that goes on , beneath every underhanded plot is-gasp !<br> -a	1	-1	 so[0] for[0] all[0] the[0] scheming[0] that[0] goes[0] on[0] beneath[0] every[0] underhanded[0] plot[0] is[0] gasp[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
heart , which undercuts the inherent nastiness of the premise . 	heart , which undercuts the inherent nastiness of the premise .	1	-3	 heart[0] which[0] undercuts[0] the[0] inherent[0] nastiness[-2] of[0] the[0] premise[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
not that there isn't a lot of nastiness on display--there is , but of a different sort . 	not that there isn't a lot of nastiness on display-there is , but of a different sort .	1	-3	 not[0] that[0] there[0] isn't[0] a[0] lot[0] of[0] nastiness[-2] on[0] display[0] there[0] is[0] but[0] of[0] a[0] different[0] sort[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there are frequent sexual references , most prominently in the form of prostitutes and sam's impotent father's ongoing lust for them . 	there are frequent sexual references , most prominently in the form of prostitutes and sam's impotent father's ongoing lust for them .	1	-1	 there[0] are[0] frequent[0] sexual[0] references[0] most[0] prominently[0] in[0] the[0] form[0] of[0] prostitutes[0] and[0] sam's[0] impotent[0] father's[0] ongoing[0] lust[0] for[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and for a film rated pg-13 , director bob saget ( yes , that bob saget , of _full_house_ and _america's_funniest_home_videos_ fame ) and writers frank sebastiano , fred wolf , and macdonald himself , stretch the boundaries of good taste rather far--arguably a bit too much so ( was not one , but two separate instances of sodomy between animals really necessary ? ) . 	and for a film rated pg-13 , director bob saget ( yes , that bob saget , of _full_house_ and _america's_funniest_home_videos_ fame ) and writers frank sebastiano , fred wolf , and macdonald himself , stretch the boundaries of good taste rather far-arguably a bit too much so ( was not one , but two separate instances of sodomy between animals really necessary ?<br> ) .	2	-2	 and[0] for[0] a[0] film[0] rated[0] pg[0] -13[0] director[0] bob[0] saget[-1] yes[0] that[0] bob[0] saget[-1] of[0] _full_house_[0] and[0] _america's_funniest_home_videos_[0] fame[0] and[0] writers[0] frank[0] sebastiano[0] fred[0] wolf[0] and[0] macdonald[0] himself[0] stretch[0] the[0] boundaries[0] of[0] good[1] taste[0] rather[0] far[0] arguably[-1] a[0] bit[0] too[0] much[0] so[0] was[0] not[0] one[0] but[0] two[0] separate[0] instances[0] of[0] sodomy[0] between[0] animals[0] really[0] necessary[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
