the swirling sick feeling hit me just a few minutes into " heartbreakers . " 	Translation	Positive	Negative	EmotionRationale
ray liotta's character was making out with his secretary when his new wife knocked on the door of his office . 	ray liotta's character was making out with his secretary when his new wife knocked on the door of his office .	1	-1	 ray[0] liotta's[0] character[0] was[0] making[0] out[0] with[0] his[0] secretary[0] when[0] his[0] new[0] wife[0] knocked[0] on[0] the[0] door[0] of[0] his[0] office[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while scrambling to collect himself , he frantically shouted to her , " just wait a sex ? er , i mean sec ! " 	while scrambling to collect himself , he frantically shouted to her , " just wait a sex ?<br> er , i mean sec !<br> "	1	-2	 while[0] scrambling[0] to[0] collect[0] himself[0] he[0] frantically[-1] shouted[0] to[0] her[0] just[0] wait[0] a[0] sex[0] [[Sentence=-2,1=word max, 1-5]] er[0] i[0] mean[0] sec[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
i was struck by a wave of revulsion , thinking , " geez , didn't lines like that die when 'three's company' was canceled ? " 	i was struck by a wave of revulsion , thinking , " geez , didn't lines like that die when 'three's company' was canceled ?<br> "	2	-2	 i[0] was[0] struck[-1] by[0] a[0] wave[0] of[0] revulsion[0] thinking[0] geez[0] didn't[0] lines[0] like[1] that[0] die[0] when[0] 'three's[0] company'[0] was[0] canceled[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
over the next few minutes , as the barely double entendres and lingering cleavage shots grew more numerous , i realized that the mindset behind " heartbreakers " predated " three's company . " 	over the next few minutes , as the barely double entendres and lingering cleavage shots grew more numerous , i realized that the mindset behind " heartbreakers " predated " three's company .<br> "	1	-4	 over[0] the[0] next[0] few[0] minutes[0] as[0] the[0] barely[0] double[0] entendres[0] and[0] lingering[0] cleavage[0] shots[0] grew[0] more[0] numerous[0] i[0] realized[0] that[0] the[0] mindset[0] behind[0] heartbreakers[-3] predated[0] three's[0] company[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
suddenly , i had an out-of-body experience as my internal way-back machine swept me to the mid-1960s . 	suddenly , i had an out-of-body experience as my internal way-back machine swept me to the mid-1960s .	1	-1	 suddenly[0] i[0] had[0] an[0] out[0] of[0] body[0] experience[0] as[0] my[0] internal[0] way[0] back[0] machine[0] swept[0] me[0] to[0] the[0] mid[0] -1960s[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all across america , the counter-culture was growing like wildfire , but there was scant evidence of it on tv . 	all across america , the counter-culture was growing like wildfire , but there was scant evidence of it on tv .	2	-1	 all[0] across[0] america[0] the[0] counter[0] culture[0] was[0] growing[0] like[1] wildfire[0] but[0] there[0] was[0] scant[0] evidence[0] of[0] it[0] on[0] tv[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
while young people were challenging traditional values on the streets , frustrated teenagers like me were stuck at home , sulking while our parents enjoyed the latest bob hope special . 	while young people were challenging traditional values on the streets , frustrated teenagers like me were stuck at home , sulking while our parents enjoyed the latest bob hope special .	3	-3	 while[0] young[0] people[0] were[0] challenging[0] traditional[0] values[1] on[0] the[0] streets[0] frustrated[-2] teenagers[0] like[1] me[0] were[0] stuck[0] at[0] home[0] sulking[0] while[0] our[0] parents[0] enjoyed[2] the[0] latest[0] bob[0] hope[2] special[1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
women in skimpy bathing suits would prance onscreen while hope made growling noises and leered at their breasts . 	women in skimpy bathing suits would prance onscreen while hope made growling noises and leered at their breasts .	3	-1	 women[0] in[0] skimpy[0] bathing[0] suits[0] would[0] prance[0] onscreen[0] while[0] hope[2] made[0] growling[0] noises[0] and[0] leered[0] at[0] their[0] breasts[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
on another channel , dean martin made wisecracks about " booze and broads " and peter lawford , decked out in love beads and a nehru jacket , purred suggestive one-liners as he ogled the go-go dancers . 	on another channel , dean martin made wisecracks about " booze and broads " and peter lawford , decked out in love beads and a nehru jacket , purred suggestive one-liners as he ogled the go-go dancers .	3	-1	 on[0] another[0] channel[0] dean[0] martin[0] made[0] wisecracks[0] about[0] booze[0] and[0] broads[0] and[0] peter[0] lawford[0] decked[0] out[0] in[0] love[2] beads[0] and[0] a[0] nehru[0] jacket[0] purred[0] suggestive[0] one[0] liners[0] as[0] he[0] ogled[0] the[0] go[0] go[0] dancers[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the adults laughed and laughed . 	the adults laughed and laughed .	2	-1	 the[0] adults[0] laughed[1] and[0] laughed[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
