 " spawn " may be somewhat of an older film . 	Translation	Positive	Negative	EmotionRationale
in fact it will probably be on video before anyone who hasn't seen it will finally get to see it ( that is , if they see it ) . 	in fact it will probably be on video before anyone who hasn't seen it will finally get to see it ( that is , if they see it ) .	1	-1	 in[0] fact[0] it[0] will[0] probably[0] be[0] on[0] video[0] before[0] anyone[0] who[0] hasn't[0] seen[0] it[0] will[0] finally[0] get[0] to[0] see[0] it[0] that[0] is[0] if[0] they[0] see[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but i managed to catch it before it made it's way out of theaters and into the world of rentals and , god forbid , video cassette purchasing . 	but i managed to catch it before it made it's way out of theaters and into the world of rentals and , god forbid , video cassette purchasing .	1	-2	 but[0] i[0] managed[0] to[0] catch[0] it[0] before[0] it[0] made[0] it's[0] way[0] out[0] of[0] theaters[0] and[0] into[0] the[0] world[0] of[0] rentals[0] and[0] god[0] forbid[-1] video[0] cassette[0] purchasing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it wasn't the worst film of year by any means . 	it wasn't the worst film of year by any means .	1	-3	 it[0] wasn't[0] the[0] worst[-2] film[0] of[0] year[0] by[0] any[0] means[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it isn't even on the top 5 of the worst films of the year . 	it isn't even on the top 5 of the worst films of the year .	1	-3	 it[0] isn't[0] even[0] on[0] the[0] top[0] 5[0] of[0] the[0] worst[-2] films[0] of[0] the[0] year[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but it did manage to top the bottom five of the bottom ten , which , in simpler terms , means it comes in at number 6 on my " worst of 1997 " list . 	but it did manage to top the bottom five of the bottom ten , which , in simpler terms , means it comes in at number 6 on my " worst of 1997 " list .	1	-3	 but[0] it[0] did[0] manage[0] to[0] top[0] the[0] bottom[0] five[0] of[0] the[0] bottom[0] ten[0] which[0] in[0] simpler[0] terms[0] means[0] it[0] comes[0] in[0] at[0] number[0] 6[0] on[0] my[0] worst[-2] of[0] 1997[0] list[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the only reason it doesn't come in lower is thanks to the special effects , which might actually have been some of the best of the year . 	the only reason it doesn't come in lower is thanks to the special effects , which might actually have been some of the best of the year .	2	-1	 the[0] only[0] reason[0] it[0] doesn't[0] come[0] in[0] lower[0] is[0] thanks[1] to[0] the[0] special[1] effects[0] which[0] might[0] actually[0] have[0] been[0] some[0] of[0] the[0] best[1] of[0] the[0] year[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
performances , however , were either wooden or , for the most part , unforgivingly campy . 	performances , however , were either wooden or , for the most part , unforgivingly campy .	1	-1	 performances[0] however[0] were[0] either[0] wooden[0] or[0] for[0] the[0] most[0] part[0] unforgivingly[0] campy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , this film shows no signs of attempting to avoid campiness ! 	in fact , this film shows no signs of attempting to avoid campiness !	1	-2	 in[0] fact[0] this[0] film[0] shows[0] no[0] signs[0] of[0] attempting[0] to[0] avoid[-1] campiness[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even the editing seemed to boast a campy quality . 	even the editing seemed to boast a campy quality .	1	-2	 even[0] the[0] editing[0] seemed[0] to[0] boast[-1] a[0] campy[0] quality[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i don't know how to explain that one ; it wasn't exactly choppy , but something about it seemed . 	i don't know how to explain that one ; it wasn't exactly choppy , but something about it seemed .	1	-1	 i[0] don't[0] know[0] how[0] to[0] explain[0] that[0] one[0] it[0] wasn't[0] exactly[0] choppy[0] but[0] something[0] about[0] it[0] seemed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
