staring , george clooney , arnold schwarzenegger , chris o'donnell and uma thurman with alicia silverstone . 	Translation	Positive	Negative	EmotionRationale
well to start this off i'd just like to say a couple things . 	well to start this off i'd just like to say a couple things .	1	-1	 well[0] to[0] start[0] this[0] off[0] i'd[0] just[0] like[1][-1 LastWordBoosterStrength] to[0] say[0] a[0] couple[0] things[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
first is , i miss michael keaton , i miss tim burton and would much prefer to think that these last two batman films are all like a dallas dream sequence . 	first is , i miss michael keaton , i miss tim burton and would much prefer to think that these last two batman films are all like a dallas dream sequence .	2	-2	 first[0] is[0] i[0] miss[-1] michael[0] keaton[0] i[0] miss[-1] tim[0] burton[0] and[0] would[0] much[0] prefer[0] to[0] think[0] that[0] these[0] last[0] two[0] batman[0] films[0] are[0] all[0] like[1] a[0] dallas[0] dream[0] sequence[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
not even from the first film was batman really the 'star' though he was damn close in the first couple anyway . 	not even from the first film was batman really the 'star' though he was damn close in the first couple anyway .	1	-2	 not[0] even[0] from[0] the[0] first[0] film[0] was[0] batman[0] really[0] the[0] 'star'[0] though[0] he[0] was[0] damn[-1] close[0] in[0] the[0] first[0] couple[0] anyway[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in 'batman forever' and now in 'batman & robin' he's almost pushed to being a bit player . 	in 'batman forever' and now in 'batman & robin' he's almost pushed to being a bit player .	1	-1	 in[0] 'batman[0] forever'[0] and[0] now[0] in[0] 'batman[0] &[0] robin'[0] he's[0] almost[0] pushed[0] to[0] being[0] a[0] bit[0] player[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i can't really say if clooney ( who regardless was better than kilmer ) was a very good batman or not . 	i can't really say if clooney ( who regardless was better than kilmer ) was a very good batman or not .	3	-2	 i[0] can't[0] really[0] say[0] if[0] clooney[0] who[0] regardless[-1] was[0] better[0] than[0] kilmer[0] was[0] a[0] very[0] good[1][1 LastWordBoosterStrength] batman[0] or[0] not[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he's given next to nothing to do at all , he might as well not have been there and it wouldn't have made much difference . 	he's given next to nothing to do at all , he might as well not have been there and it wouldn't have made much difference .	1	-1	 he's[0] given[0] next[0] to[0] nothing[0] to[0] do[0] at[0] all[0] he[0] might[0] as[0] well[0] not[0] have[0] been[0] there[0] and[0] it[0] wouldn't[0] have[0] made[0] much[0] difference[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now , joel schumacher has said that he refuses to bend to the masses that have hated his films and cheered for the return of buton that he wont make batman brooding and dark . 	now , joel schumacher has said that he refuses to bend to the masses that have hated his films and cheered for the return of buton that he wont make batman brooding and dark .	2	-4	 now[0] joel[0] schumacher[0] has[0] said[0] that[0] he[0] refuses[-1] to[0] bend[0] to[0] the[0] masses[0] that[0] have[0] hated[-3] his[0] films[0] and[0] cheered[1] for[0] the[0] return[0] of[0] buton[0] that[0] he[0] wont[0] make[0] batman[0] brooding[-1] and[0] dark[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
fine , i mean granted 'batman returns' while being an awsome film was a bit to dark sometimes . 	fine , i mean granted 'batman returns' while being an awsome film was a bit to dark sometimes .	3	-1	 fine[2] i[0] mean[0] granted[0] 'batman[0] returns'[0] while[0] being[0] an[0] awsome[0] film[0] was[0] a[0] bit[0] to[0] dark[0] sometimes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
yet his bright neon , campy style is just killing anything this series meant to me . 	yet his bright neon , campy style is just killing anything this series meant to me .	1	-1	 yet[0] his[0] bright[0] neon[0] campy[0] style[0] is[0] just[0] killing[-1][--1 LastWordBoosterStrength] anything[0] this[0] series[0] meant[0] to[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm usually very easy on films . 	i'm usually very easy on films .	1	-1	 i'm[0] usually[0] very[0] easy[0] on[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i loved 'con air' and other films some critics have slammed . 	i loved 'con air' and other films some critics have slammed .	4	-2	 i[0] loved[3] 'con[0] air'[0] and[0] other[0] films[0] some[0] critics[0] have[0] slammed[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
granted that film really was paper thin , cliche ridden , except for one thing , it was fun . 	granted that film really was paper thin , cliche ridden , except for one thing , it was fun .	2	-1	 granted[0] that[0] film[0] really[0] was[0] paper[0] thin[0] cliche[0] ridden[0] except[0] for[0] one[0] thing[0] it[0] was[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there is virtually no fun in this film at all . 	there is virtually no fun in this film at all .	2	-1	 there[0] is[0] virtually[0] no[0] fun[1] in[0] this[0] film[0] at[0] all[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i couldn't have cared less . 	i couldn't have cared less .	1	-2	 i[0] couldn't[0] have[0] cared[1][NegatedDueToPreviousWord] less[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it'll thrill the little ones as theres no violence really , none everyone comes out fine in the end like those old tv shows where it ends with everyone laughing . 	it'll thrill the little ones as theres no violence really , none everyone comes out fine in the end like those old tv shows where it ends with everyone laughing .	4	-4	 it'll[0] thrill[3] the[0] little[0] ones[0] as[0] theres[0] no[0] violence[-3] really[0] none[0] everyone[0] comes[0] out[0] fine[2] in[0] the[0] end[0] like[1] those[0] old[0] tv[0] shows[0] where[0] it[0] ends[0] with[0] everyone[0] laughing[1] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
schwarzenegger is awful , i mean really , really bad . . . 	schwarzenegger is awful , i mean really , really bad .<br> .<br> .	1	-4	 schwarzenegger[0] is[0] awful[-3] i[0] mean[0] really[0] really[0] bad[-1][-1 LastWordBoosterStrength] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and this is coming from a regular fan of his work . 	and this is coming from a regular fan of his work .	1	-1	 and[0] this[0] is[0] coming[0] from[0] a[0] regular[0] fan[0] of[0] his[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
