when i watch a movie like mike nichols' what planet are you from ? 	Translation	Positive	Negative	EmotionRationale
i can't help but feel like everyone is looking at me . 	i can't help but feel like everyone is looking at me .	2	-1	 i[0] can't[0] help[0] but[0] feel[0] like[1] everyone[0] is[0] looking[0] at[0] me[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's as if all the audience is gazing at the back of my head in the darkness , eyes shooting daggers , quietly blaming me for the fact that they paid hard-earned money to spend their time watching this . . . 	it's as if all the audience is gazing at the back of my head in the darkness , eyes shooting daggers , quietly blaming me for the fact that they paid hard-earned money to spend their time watching this .<br> .<br> .	1	-2	 it's[0] as[0] if[0] all[0] the[0] audience[0] is[0] gazing[0] at[0] the[0] back[0] of[0] my[0] head[0] in[0] the[0] darkness[0] eyes[0] shooting[-1] daggers[0] quietly[0] blaming[-1] me[0] for[0] the[0] fact[0] that[0] they[0] paid[0] hard[0] earned[0] money[0] to[0] spend[0] their[0] time[0] watching[0] this[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this . . . 	this .<br> .<br> .	1	-1	 this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thing . 	thing .	1	-1	 thing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i shift uncomfortably in my seat . 	i shift uncomfortably in my seat .	1	-3	 i[0] shift[0] uncomfortably[-2] in[0] my[0] seat[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i'm reminded of how i feel when i see a pair of second- or third-rate celebrities engaging in a teleprompted " funny " conversation to introduce the next blockbuster award . 	i'm reminded of how i feel when i see a pair of second- or third-rate celebrities engaging in a teleprompted " funny " conversation to introduce the next blockbuster award .	2	-2	 i'm[0] reminded[0] of[0] how[0] i[0] feel[0] when[0] i[0] see[0] a[0] pair[0] of[0] second[0] or[0] third[0] rate[0] celebrities[0] engaging[0] in[0] a[0] teleprompted[0] funny[1] conversation[0] to[0] introduce[0] the[0] next[0] blockbuster[-1] award[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's not my fault , i know it's not my fault , but dammit , someone's gotta be embarrassed , because it doesn't look like anyone on the screen is ready to take the blame . 	it's not my fault , i know it's not my fault , but dammit , someone's gotta be embarrassed , because it doesn't look like anyone on the screen is ready to take the blame .	2	-3	 it's[0] not[0] my[0] fault[-1][NegatedDueToPreviousWord] i[0] know[0] it's[0] not[0] my[0] fault[-1][NegatedDueToPreviousWord] but[0] dammit[0] someone's[0] gotta[0] be[0] embarrassed[-2] because[0] it[0] doesn't[0] look[0] like[1] anyone[0] on[0] the[0] screen[0] is[0] ready[0] to[0] take[0] the[0] blame[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i'm about to give you a list of names of people who are gonna make a movie together : garry shandling , annette bening , john goodman , greg kinnear , mike nichols . 	i'm about to give you a list of names of people who are gonna make a movie together : garry shandling , annette bening , john goodman , greg kinnear , mike nichols .	1	-1	 i'm[0] about[0] to[0] give[0] you[0] a[0] list[0] of[0] names[0] of[0] people[0] who[0] are[0] gonna[0] make[0] a[0] movie[0] together[0] garry[0] shandling[0] annette[0] bening[0] john[0] goodman[0] greg[0] kinnear[0] mike[0] nichols[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
do any of these names make you instantly shudder ? 	do any of these names make you instantly shudder ?	1	-1	 do[0] any[0] of[0] these[0] names[0] make[0] you[0] instantly[0] shudder[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the answer i would have come up with before today is no , this is quite a list of talented individuals we've got here . 	the answer i would have come up with before today is no , this is quite a list of talented individuals we've got here .	2	-1	 the[0] answer[0] i[0] would[0] have[0] come[0] up[0] with[0] before[0] today[0] is[0] no[0] this[0] is[0] quite[0] a[0] list[0] of[0] talented[1] individuals[0] we've[0] got[0] here[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
