what do you get when you rip-off good movies like woody allen's bananas and martin scorsese's after hours ? 	Translation	Positive	Negative	EmotionRationale
you'd think you'd get the best of both films . 	you'd think you'd get the best of both films .	2	-1	 you'd[0] think[0] you'd[0] get[0] the[0] best[1] of[0] both[0] films[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
instead you get woo . 	instead you get woo .	1	-1	 instead[0] you[0] get[0] woo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
falling in somewhere between def jam's how to be a player ( which was awful ) and booty call ( which was ok ) , woo is yet another in the embarassing genre of showing african-americans to be nothing more than sexual buffoons . 	falling in somewhere between def jam's how to be a player ( which was awful ) and booty call ( which was ok ) , woo is yet another in the embarassing genre of showing african-americans to be nothing more than sexual buffoons .	1	-4	 falling[0] in[0] somewhere[0] between[0] def[0] jam's[0] how[0] to[0] be[0] a[0] player[0] which[0] was[0] awful[-3] and[0] booty[0] call[0] which[0] was[0] ok[0] woo[0] is[0] yet[0] another[0] in[0] the[0] embarassing[0] genre[0] of[0] showing[0] african[0] americans[0] to[0] be[0] nothing[0] more[0] than[0] sexual[0] buffoons[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the whole film plays out as a black version of after hours , as wild woman woo ( jada pinkett smith ) goes out on a blind date with straight-laced tim ( tommy davidson ) . 	the whole film plays out as a black version of after hours , as wild woman woo ( jada pinkett smith ) goes out on a blind date with straight-laced tim ( tommy davidson ) .	2	-2	 the[0] whole[0] film[0] plays[1] out[0] as[0] a[0] black[0] version[0] of[0] after[0] hours[0] as[0] wild[0] woman[0] woo[0] jada[0] pinkett[0] smith[0] goes[0] out[0] on[0] a[0] blind[-1] date[0] with[0] straight[0] laced[0] tim[0] tommy[0] davidson[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
mayhem follows them . 	mayhem follows them .	1	-1	 mayhem[0] follows[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for some unknown reason ( read : contrived screenplay ) davidson puts up with all of woo's antics for the entire night , which include her destroying his bathroom mirror , stealing things from his house , violently questioning him ( accusing and belittling him actually ) about previous girlfriends , causing a riot in an elegant restaurant , and other various infuriating things that any normal person wouldn't tolerate . 	for some unknown reason ( read : contrived screenplay ) davidson puts up with all of woo's antics for the entire night , which include her destroying his bathroom mirror , stealing things from his house , violently questioning him ( accusing and belittling him actually ) about previous girlfriends , causing a riot in an elegant restaurant , and other various infuriating things that any normal person wouldn't tolerate .	2	-3	 for[0] some[0] unknown[0] reason[0] read[0] contrived[0] screenplay[0] davidson[0] puts[0] up[0] with[0] all[0] of[0] woo's[0] antics[0] for[0] the[0] entire[0] night[0] which[0] include[0] her[0] destroying[-2] his[0] bathroom[0] mirror[0] stealing[-2] things[0] from[0] his[0] house[0] violently[-2] questioning[0] him[0] accusing[-1] and[0] belittling[-2] him[0] actually[0] about[0] previous[0] girlfriends[0] causing[0] a[0] riot[0] in[0] an[0] elegant[1] restaurant[0] and[0] other[0] various[0] infuriating[0] things[0] that[0] any[0] normal[0] person[0] wouldn't[0] tolerate[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but for the sake of this bad movie ? 	but for the sake of this bad movie ?	1	-2	 but[0] for[0] the[0] sake[0] of[0] this[0] bad[-1] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sure , why not ? 	sure , why not ?	1	-1	 sure[0] why[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are a few chuckles in the film , the best being the scene swiped directly from bananas . 	there are a few chuckles in the film , the best being the scene swiped directly from bananas .	3	-1	 there[0] are[0] a[0] few[0] chuckles[2] in[0] the[0] film[0] the[0] best[1] being[0] the[0] scene[0] swiped[0] directly[0] from[0] bananas[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in this case , davidson is running from thugs , gets into a subway car as the doors are closing , starts to taunt the thugs , then the doors open back up again . 	in this case , davidson is running from thugs , gets into a subway car as the doors are closing , starts to taunt the thugs , then the doors open back up again .	1	-2	 in[0] this[0] case[0] davidson[0] is[0] running[0] from[0] thugs[0] gets[0] into[0] a[0] subway[0] car[0] as[0] the[0] doors[0] are[0] closing[0] starts[0] to[0] taunt[-1] the[0] thugs[0] then[0] the[0] doors[0] open[0] back[0] up[0] again[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a good joke , but a stolen one . 	a good joke , but a stolen one .	2	-2	 a[0] good[1] joke[1] but[0] a[0] stolen[-1] one[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
