in the line of duty is the critically praised series of television movies dealing with the real-life incidents that claimed lives of law enforcement officers in usa . 	Translation	Positive	Negative	EmotionRationale
the twilight murders , another one from the series , is dealing with the case of gordon kahl ( played by rod steiger ) , old farmer from north dakota who would rather spend a year in prison than pay taxes to the despised u . s . government . 	the twilight murders , another one from the series , is dealing with the case of gordon kahl ( played by rod steiger ) , old farmer from north dakota who would rather spend a year in prison than pay taxes to the despised you .<br> s .<br> government .	1	-4	 the[0] twilight[0] murders[-3] another[0] one[0] from[0] the[0] series[0] is[0] dealing[0] with[0] the[0] case[0] of[0] gordon[0] kahl[0] played[0] by[0] rod[0] steiger[0] old[0] farmer[0] from[0] north[0] dakota[0] who[0] would[0] rather[0] spend[0] a[0] year[0] in[0] prison[-1] than[0] pay[0] taxes[-1] to[0] the[0] despised[-3] u[0] [[Sentence=-4,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] government[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
after being released , he still refuses to pay taxes and the warrant is issued for his arrest . 	after being released , he still refuses to pay taxes and the warrant is issued for his arrest .	1	-2	 after[0] being[0] released[0] he[0] still[0] refuses[-1] to[0] pay[0] taxes[-1] and[0] the[0] warrant[0] is[0] issued[0] for[0] his[0] arrest[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when the u . s . marshals come to arrest him , it turns out that kahl isn't alone . 	when the you .<br> s .<br> marshals come to arrest him , it turns out that kahl isn't alone .	1	-1	 when[0] the[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] marshals[0] come[0] to[0] arrest[0] him[0] it[0] turns[0] out[0] that[0] kahl[0] isn't[0] alone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
many poor farmers in rural northwest share his extremist anti-government beliefs , and the routine operation turns into shootout that would leave federal officers that . 	many poor farmers in rural northwest share his extremist anti-government beliefs , and the routine operation turns into shootout that would leave federal officers that .	1	-2	 many[0] poor[-1] farmers[0] in[0] rural[0] northwest[0] share[0] his[0] extremist[0] anti[0] government[0] beliefs[0] and[0] the[0] routine[0] operation[0] turns[0] into[0] shootout[-1] that[0] would[0] leave[0] federal[0] officers[0] that[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that brings fbi on the scene , and agent mayberly ( michael gross ) is supervising the manhunt . 	that brings fbi on the scene , and agent mayberly ( michael gross ) is supervising the manhunt .	1	-2	 that[0] brings[0] fbi[0] on[0] the[0] scene[0] and[0] agent[0] mayberly[0] michael[0] gross[-1] is[0] supervising[0] the[0] manhunt[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , his efforts seem fruitless , since kahl still has many supporters , some of them even in the local law enforcement . 	however , his efforts seem fruitless , since kahl still has many supporters , some of them even in the local law enforcement .	2	-2	 however[0] his[0] efforts[0] seem[0] fruitless[-1] since[0] kahl[0] still[0] has[0] many[0] supporters[1] some[0] of[0] them[0] even[0] in[0] the[0] local[0] law[0] enforcement[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
after betrayed , 1988 thriller by costa gavras , hollywood mostly ignored the disturbing trends of rising right-wing extremism in the american northwest , and that remained so until oklahoma city bombing , when media hype brought right-wingers back into spotlight . 	after betrayed , 1988 thriller by costa gavras , hollywood mostly ignored the disturbing trends of rising right-wing extremism in the american northwest , and that remained so until oklahoma city bombing , when media hype brought right-wingers back into spotlight .	2	-3	 after[0] betrayed[-2] 1988[0] thriller[1] by[0] costa[0] gavras[0] hollywood[0] mostly[0] ignored[0] the[0] disturbing[-1] trends[0] of[0] rising[0] right[0] wing[0] extremism[0] in[0] the[0] american[0] northwest[0] and[0] that[0] remained[0] so[0] until[0] oklahoma[0] city[0] bombing[-1] when[0] media[0] hype[0] brought[0] right[0] wingers[0] back[0] into[0] spotlight[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
until that time , only the television movies like this one bothered to pay attention to that phenomenon . 	until that time , only the television movies like this one bothered to pay attention to that phenomenon .	2	-2	 until[0] that[0] time[0] only[0] the[0] television[0] movies[0] like[1] this[0] one[0] bothered[-1] to[0] pay[0] attention[0] to[0] that[0] phenomenon[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
unfortunately , the twilight murders is still routine and formulaic television film , that uses sensationalist real life content in order to cover lack of originality in the script . 	unfortunately , the twilight murders is still routine and formulaic television film , that uses sensationalist real life content in order to cover lack of originality in the script .	1	-4	 unfortunately[-1] the[0] twilight[0] murders[-3] is[0] still[0] routine[0] and[0] formulaic[0] television[0] film[0] that[0] uses[0] sensationalist[0] real[0] life[0] content[0] in[0] order[0] to[0] cover[0] lack[-1] of[0] originality[0] in[0] the[0] script[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
sometimes , like many american tv movies , it creates drama where drama shouldn't be . 	sometimes , like many american tv movies , it creates drama where drama shouldn't be .	1	-1	 sometimes[0] like[1][-1 LastWordBoosterStrength] many[0] american[0] tv[0] movies[0] it[0] creates[0] drama[0] where[0] drama[0] shouldn't[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
