remember tom cruise and brian brown as rival bartenders juggling bottles of booze in " cocktail " ? 	Translation	Positive	Negative	EmotionRationale
remember how stupid that looked ? 	remember how stupid that looked ?	1	-2	 remember[0] how[0] stupid[-1] that[0] looked[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and remember the scantily-clad dancers of " flashdance " getting doused with buckets of water ? 	and remember the scantily-clad dancers of " flashdance " getting doused with buckets of water ?	1	-1	 and[0] remember[0] the[0] scantily[0] clad[0] dancers[0] of[0] flashdance[0] getting[0] doused[0] with[0] buckets[0] of[0] water[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , " coyote ugly " does those films five better ( or six better if you count john goodman ) , since here we have piper perado , maria bello , tyra banks , melanie lynskey , and izabella miko doing the absolut spinning and jiggling thing while pouring pitchers of perrier all over their semi-naked torsos . 	well , " coyote ugly " does those films five better ( or six better if you count john goodman ) , since here we have piper perado , maria bello , tyra banks , melanie lynskey , and izabella miko doing the absolut spinning and jiggling thing while pouring pitchers of perrier all over their semi-naked torsos .	1	-3	 well[0] coyote[0] ugly[-2] does[0] those[0] films[0] five[0] better[0] or[0] six[0] better[0] if[0] you[0] count[0] john[0] goodman[0] since[0] here[0] we[0] have[0] piper[0] perado[0] maria[0] bello[0] tyra[0] banks[0] melanie[0] lynskey[0] and[0] izabella[0] miko[0] doing[0] the[0] absolut[0] spinning[0] and[0] jiggling[0] thing[0] while[0] pouring[0] pitchers[0] of[0] perrier[0] all[0] over[0] their[0] semi[0] naked[0] torsos[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
no , goodman doesn't flip jim beams or wear anything particularly risqu ? in the film but he * does * get up on the bar and start gyrating with the rest of them . 	no , goodman doesn't flip jim beams or wear anything particularly risqu ?<br> in the film but he * does * get up on the bar and start gyrating with the rest of them .	1	-1	 no[0] goodman[0] doesn't[0] flip[0] jim[0] beams[0] or[0] wear[0] anything[0] particularly[0] risqu[0] [[Sentence=-1,1=word max, 1-5]] in[0] the[0] film[0] but[0] he[0] does[0] get[0] up[0] on[0] the[0] bar[0] and[0] start[0] gyrating[0] with[0] the[0] rest[0] of[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and the central character's love interest , played by an australian actor named adam garcia , proves * he * can get up on that bar and start shimmying along with the rest of them too . 	and the central character's love interest , played by an australian actor named adam garcia , proves * he * can get up on that bar and start shimmying along with the rest of them too .	3	-1	 and[0] the[0] central[0] character's[0] love[2] interest[1] played[0] by[0] an[0] australian[0] actor[0] named[0] adam[0] garcia[0] proves[0] he[0] can[0] get[0] up[0] on[0] that[0] bar[0] and[0] start[0] shimmying[0] along[0] with[0] the[0] rest[0] of[0] them[0] too[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
what seems to have started life as a victoria's secret photo shoot quickly deteriorates into one heck of an embarrassing movie . 	what seems to have started life as a victoria's secret photo shoot quickly deteriorates into one heck of an embarrassing movie .	1	-3	 what[0] seems[0] to[0] have[0] started[0] life[0] as[0] a[0] victoria's[0] secret[0] photo[0] shoot[-1] quickly[0] deteriorates[0] into[0] one[0] heck[0] of[0] an[0] embarrassing[-2] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
violet ( perado ) is a south amboy hopeful who tries to make it big as a songwriter ( not a welder ) in new jack city . 	violet ( perado ) is a south amboy hopeful who tries to make it big as a songwriter ( not a welder ) in new jack city .	2	-1	 violet[0] perado[0] is[0] a[0] south[0] amboy[0] hopeful[1] who[0] tries[0] to[0] make[0] it[0] big[0] as[0] a[0] songwriter[0] not[0] a[0] welder[0] in[0] new[0] jack[0] city[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as na ? ve as they come , she's fobbed off by music producer's receptionists by the scorn-ful and has her apartment robbed hours after touching down in chinatown . 	as na ?<br> ve as they come , she's fobbed off by music producer's receptionists by the scorn-ful and has her apartment robbed hours after touching down in chinatown .	1	-2	 as[0] na[0] [[Sentence=-1,1=word max, 1-5]] ve[0] as[0] they[0] come[0] she's[0] fobbed[0] off[0] by[0] music[0] producer's[0] receptionists[0] by[0] the[0] scorn[-1] ful[0] and[0] has[0] her[0] apartment[0] robbed[0] hours[0] after[0] touching[0] down[0] in[0] chinatown[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and , like her mother before her , she gets stage fright whenever she tries to do the open mike night thing . 	and , like her mother before her , she gets stage fright whenever she tries to do the open mike night thing .	2	-4	 and[0] like[1] her[0] mother[0] before[0] her[0] she[0] gets[0] stage[0] fright[-3] whenever[0] she[0] tries[0] to[0] do[0] the[0] open[0] mike[0] night[0] thing[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
when she sees a trio of babe-a-licious barkeeps thumbing through a stack of  20s in an all-night diner , violet simply has to check out this bar they call coyote ugly . 	when she sees a trio of babe-a-licious barkeeps thumbing through a stack of  20s in an all-night diner , violet simply has to check out this bar they call coyote ugly .	1	-3	 when[0] she[0] sees[0] a[0] trio[0] of[0] babe[0] a[0] licious[0] barkeeps[0] thumbing[0] through[0] a[0] stack[0] of[0] 20s[0] in[0] an[0] all[0] night[0] diner[0] violet[0] simply[0] has[0] to[0] check[0] out[0] this[0] bar[0] they[0] call[0] coyote[0] ugly[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
lil ( bello ) , the no-nonsense owner , agrees to give violet an audition but violet blows it . 	lil ( bello ) , the no-nonsense owner , agrees to give violet an audition but violet blows it .	1	-2	 lil[0] bello[0] the[0] no[0] nonsense[-1] owner[0] agrees[0] to[0] give[0] violet[0] an[0] audition[0] but[0] violet[0] blows[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
still , lil gives violet another chance . 	still , lil gives violet another chance .	1	-1	 still[0] lil[0] gives[0] violet[0] another[0] chance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
