there may not be a critic alive who harbors as much affection for shlock monster movies as i do . 	Translation	Positive	Negative	EmotionRationale
i delighted in the sneaky-smart entertainment of ron underwood's big-underground-worm yarn tremors ; i even giggled at last year's critically-savaged big-underwater-snake yarn anaconda . 	i delighted in the sneaky-smart entertainment of ron underwood's big-underground-worm yarn tremors ; i even giggled at last year's critically-savaged big-underwater-snake yarn anaconda .	3	-3	 i[0] delighted[2] in[0] the[0] sneaky[-1] smart[1] entertainment[0] of[0] ron[0] underwood's[0] big[0] underground[0] worm[0] yarn[0] tremors[0] i[0] even[0] giggled[2] at[0] last[0] year's[0] critically[-1] savaged[-2] big[0] underwater[0] snake[0] yarn[0] anaconda[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
something about these films causes me to lower my inhibitions and return to the saturday afternoons of my youth , spent in the company of ghidrah , the creature from the black lagoon and the blob . 	something about these films causes me to lower my inhibitions and return to the saturday afternoons of my youth , spent in the company of ghidrah , the creature from the black lagoon and the blob .	1	-2	 something[0] about[0] these[0] films[0] causes[0] me[0] to[0] lower[0] my[0] inhibitions[-1] and[0] return[0] to[0] the[0] saturday[0] afternoons[0] of[0] my[0] youth[0] spent[0] in[0] the[0] company[0] of[0] ghidrah[0] the[0] creature[0] from[0] the[0] black[0] lagoon[0] and[0] the[0] blob[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
deep rising , a big-undersea-serpent yarn , doesn't quite pass the test . 	deep rising , a big-undersea-serpent yarn , doesn't quite pass the test .	1	-1	 deep[0] rising[0] a[0] big[0] undersea[0] serpent[0] yarn[0] doesn't[0] quite[0] pass[0] the[0] test[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sure enough , all the modern monster movie ingredients are in place : a conspicuously multi-ethnic/multi-national collection of bait . . . excuse 	sure enough , all the modern monster movie ingredients are in place : a conspicuously multi-ethnic/multi-national collection of bait .<br> .<br> .<br> excuse	1	-2	 sure[0] enough[0] all[0] the[0] modern[0] monster[-1] movie[0] ingredients[0] are[0] in[0] place[0] a[0] conspicuously[0] multi[0] ethnic/multi[0] national[0] collection[0] of[0] bait[-1] [[Sentence=-2,1=word max, 1-5]] excuse[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
me , characters ; an isolated location , here a derelict cruise ship in the south china sea ; some comic relief ; a few cgi-enhanced gross-outs ; and at least one big explosion . 	me , characters ; an isolated location , here a derelict cruise ship in the south china sea ; some comic relief ; a few cgi-enhanced gross-outs ; and at least one big explosion .	2	-2	 me[0] characters[0] an[0] isolated[-1] location[0] here[0] a[0] derelict[0] cruise[0] ship[0] in[0] the[0] south[0] china[0] sea[0] some[0] comic[0] relief[1] a[0] few[0] cgi[0] enhanced[0] gross[-1] outs[0] and[0] at[0] least[0] one[0] big[0] explosion[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there are too-cheesy-to-be-accidental elements , like a sleazy shipping magnate ( anthony heald ) who also appears to have a doctorate in marine biology , or a slinky international jewel thief ( famke janssen ) whose white cotton tank top hides a heart of gold . 	there are too-cheesy-to-be-accidental elements , like a sleazy shipping magnate ( anthony heald ) who also appears to have a doctorate in marine biology , or a slinky international jewel thief ( famke janssen ) whose white cotton tank top hides a heart of gold .	2	-3	 there[0] are[0] too[0] cheesy[0] to[0] be[0] accidental[-1] elements[0] like[1] a[0] sleazy[-2] shipping[0] magnate[0] anthony[0] heald[0] who[0] also[0] appears[0] to[0] have[0] a[0] doctorate[0] in[0] marine[0] biology[0] or[0] a[0] slinky[0] international[0] jewel[0] thief[-1] famke[0] janssen[0] whose[0] white[0] cotton[0] tank[0] top[0] hides[0] a[0] heart[0] of[0] gold[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
as it happens , deep rising is noteworthy primarily for the mechanical manner in which it spits out all those ingredients . 	as it happens , deep rising is noteworthy primarily for the mechanical manner in which it spits out all those ingredients .	1	-1	 as[0] it[0] happens[0] deep[0] rising[0] is[0] noteworthy[0] primarily[0] for[0] the[0] mechanical[0] manner[0] in[0] which[0] it[0] spits[0] out[0] all[0] those[0] ingredients[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a terrorist crew , led by squinty-eyed mercenary hanover ( wes studi ) and piloted by squinty-eyed boat captain finnegan ( treat williams ) , shows up to loot the cruise ship ; the sea monsters show up to eat the mercenary crew ; a few survivors make it to the closing credits . 	a terrorist crew , led by squinty-eyed mercenary hanover ( wes studi ) and piloted by squinty-eyed boat captain finnegan ( treat williams ) , shows up to loot the cruise ship ; the sea monsters show up to eat the mercenary crew ; a few survivors make it to the closing credits .	2	-3	 a[0] terrorist[-2] crew[0] led[0] by[0] squinty[0] eyed[0] mercenary[0] hanover[0] wes[0] studi[0] and[0] piloted[0] by[0] squinty[0] eyed[0] boat[0] captain[0] finnegan[0] treat[1] williams[0] shows[0] up[0] to[0] loot[0] the[0] cruise[0] ship[0] the[0] sea[0] monsters[0] show[0] up[0] to[0] eat[0] the[0] mercenary[0] crew[0] a[0] few[0] survivors[0] make[0] it[0] to[0] the[0] closing[0] credits[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and up go the lights . 	and up go the lights .	1	-1	 and[0] up[0] go[0] the[0] lights[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's hard to work up much enthusiasm for this sort of joyless film-making , especially when a monster moview should make you laugh every time it makes you scream . 	it's hard to work up much enthusiasm for this sort of joyless film-making , especially when a monster moview should make you laugh every time it makes you scream .	3	-4	 it's[0] hard[0] to[0] work[0] up[0] much[0] enthusiasm[2] for[0] this[0] sort[0] of[0] joyless[2] film[0] making[0] especially[0] when[0] a[0] monster[-1] moview[0] should[0] make[0] you[0] laugh[1] every[0] time[0] it[0] makes[0] you[0] scream[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
here , the laughs are provided almost entirely by kevin j . o'connor , generally amusing as the crew's fraidy-cat mechanic . 	here , the laughs are provided almost entirely by kevin j .<br> o'connor , generally amusing as the crew's fraidy-cat mechanic .	2	-1	 here[0] the[0] laughs[1] are[0] provided[0] almost[0] entirely[0] by[0] kevin[0] j[0] [[Sentence=-1,2=word max, 1-5]] o'connor[0] generally[0] amusing[1] as[0] the[0] crew's[0] fraidy[0] cat[0] mechanic[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
writer/director stephen sommers seems most concerned with creating a tone of action-horror menace -- something over-populated with gore-drenched skeletons , something where the gunfire and special effects are taken a bit too seriously . 	writer/director stephen sommers seems most concerned with creating a tone of action-horror menace - something over-populated with gore-drenched skeletons , something where the gunfire and special effects are taken a bit too seriously .	2	-4	 writer/director[0] stephen[0] sommers[0] seems[0] most[0] concerned[-1] with[0] creating[0] a[0] tone[0] of[0] action[0] horror[-3] menace[-2][-1 MultiplePositiveWords] something[0] over[0] populated[0] with[0] gore[0] drenched[0] skeletons[0] something[0] where[0] the[0] gunfire[-1] and[0] special[1] effects[0] are[0] taken[0] a[0] bit[0] too[0] seriously[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
deep rising is missing that one unmistakable cue that we're expected to have a ridiculous good time , not hide our eyes . 	deep rising is missing that one unmistakable cue that we're expected to have a ridiculous good time , not hide our eyes .	2	-3	 deep[0] rising[0] is[0] missing[0] that[0] one[0] unmistakable[0] cue[0] that[0] we're[0] expected[0] to[0] have[0] a[0] ridiculous[-2] good[1] time[0] not[0] hide[0] our[0] eyes[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
case it point , comparing deep rising to its recent cousin anaconda . 	case it point , comparing deep rising to its recent cousin anaconda .	1	-1	 case[0] it[0] point[0] comparing[0] deep[0] rising[0] to[0] its[0] recent[0] cousin[0] anaconda[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in deep rising , one of the creature's victims is regurgitated back into view , partially digested and still alive . 	in deep rising , one of the creature's victims is regurgitated back into view , partially digested and still alive .	1	-3	 in[0] deep[0] rising[0] one[0] of[0] the[0] creature's[0] victims[-2] is[0] regurgitated[0] back[0] into[0] view[0] partially[0] digested[0] and[0] still[0] alive[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he shrieks in horror at his freakish appearance and pain , in a moment a bit too disturbing to be laughable . 	he shrieks in horror at his freakish appearance and pain , in a moment a bit too disturbing to be laughable .	1	-4	 he[0] shrieks[-1] in[0] horror[-3] at[0] his[0] freakish[-1] appearance[0] and[0] pain[-3] in[0] a[0] moment[0] a[0] bit[0] too[0] disturbing[-1] to[0] be[0] laughable[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in anaconda , we also see a regurgitated victim , partially digested and still alive . 	in anaconda , we also see a regurgitated victim , partially digested and still alive .	1	-3	 in[0] anaconda[0] we[0] also[0] see[0] a[0] regurgitated[0] victim[-2] partially[0] digested[0] and[0] still[0] alive[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he looks at another character . . . and 	he looks at another character .<br> .<br> .<br> and	1	-1	 he[0] looks[0] at[0] another[0] character[0] [[Sentence=-1,1=word max, 1-5]] and[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
winks . 	winks .	1	-1	 winks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
