capsule : dumb dud of an entry in the body heat sweepstakes , and now something of a landmark for having spawned a jillion clones . 	Translation	Positive	Negative	EmotionRationale
basic instinct's worst crime is that it's not just a bad movie , but in many ways , an incompetent one as well . 	basic instinct's worst crime is that it's not just a bad movie , but in many ways , an incompetent one as well .	2	-3	 basic[0] instinct's[0] worst[-2] crime[-1] is[0] that[0] it's[0] not[0] just[0] a[0] bad[-1][NegatedDueToPreviousWord] movie[0] but[0] in[0] many[0] ways[0] an[0] incompetent[-2] one[0] as[0] well[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's stupid in itself , and stupid to think its audience is as stupid as it is . 	it's stupid in itself , and stupid to think its audience is as stupid as it is .	1	-2	 it's[0] stupid[-1] in[0] itself[0] and[0] stupid[-1] to[0] think[0] its[0] audience[0] is[0] as[0] stupid[-1] as[0] it[0] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's supposed to be a thriller , but the plot is dead on its feet , and ultimately arbitrary ; it's only put into the movie to jerk us around . 	it's supposed to be a thriller , but the plot is dead on its feet , and ultimately arbitrary ; it's only put into the movie to jerk us around .	2	-3	 it's[0] supposed[0] to[0] be[0] a[0] thriller[1] but[0] the[0] plot[0] is[0] dead[-2] on[0] its[0] feet[0] and[0] ultimately[0] arbitrary[-1] it's[0] only[0] put[0] into[0] the[0] movie[0] to[0] jerk[-2] us[0] around[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's also supposed to be sexy , but it's instead got the unpleasant rawness of a teenager showing younger kids his collections of dirty pictures . 	it's also supposed to be sexy , but it's instead got the unpleasant rawness of a teenager showing younger kids his collections of dirty pictures .	3	-3	 it's[0] also[0] supposed[0] to[0] be[0] sexy[2] but[0] it's[0] instead[0] got[0] the[0] unpleasant[-2] rawness[0] of[0] a[0] teenager[0] showing[0] younger[0] kids[0] his[0] collections[0] of[0] dirty[-1] pictures[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it's a ripoff . 	it's a ripoff .	1	-1	 it's[0] a[0] ripoff[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story opens with a rock star being murdered while in the throes of orgasm . 	the story opens with a rock star being murdered while in the throes of orgasm .	2	-4	 the[0] story[0] opens[0] with[0] a[0] rock[1] star[0] being[0] murdered[-3] while[0] in[0] the[0] throes[0] of[0] orgasm[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the biggest suspect is an authoress , catherine tramell ( sharon stone ) , who wrote a novel in which the murder was eerily presaged . 	the biggest suspect is an authoress , catherine tramell ( sharon stone ) , who wrote a novel in which the murder was eerily presaged .	1	-4	 the[0] biggest[0] suspect[-1] is[0] an[0] authoress[0] catherine[0] tramell[0] sharon[0] stone[0] who[0] wrote[0] a[0] novel[0] in[0] which[0] the[0] murder[-3] was[0] eerily[0] presaged[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
or maybe it's the work of a copycat ? 	or maybe it's the work of a copycat ?	1	-1	 or[0] maybe[0] it's[0] the[0] work[0] of[0] a[0] copycat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these and other plot threads get fed to the detective who's on the case ( michael douglas ) , who has a few problems himself . 	these and other plot threads get fed to the detective who's on the case ( michael douglas ) , who has a few problems himself .	1	-2	 these[0] and[0] other[0] plot[0] threads[0] get[0] fed[0] to[0] the[0] detective[0] who's[0] on[0] the[0] case[0] michael[0] douglas[0] who[0] has[0] a[0] few[0] problems[-1] himself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
like we wonder if his elevator goes to the top floor . 	like we wonder if his elevator goes to the top floor .	2	-1	 like[1] we[0] wonder[0] if[0] his[0] elevator[0] goes[0] to[0] the[0] top[0] floor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we can measure with a stopwatch the time from them setting eyes on each other to the moment they are doing the mattress dance . 	we can measure with a stopwatch the time from them setting eyes on each other to the moment they are doing the mattress dance .	1	-1	 we[0] can[0] measure[0] with[0] a[0] stopwatch[0] the[0] time[0] from[0] them[0] setting[0] eyes[0] on[0] each[0] other[0] to[0] the[0] moment[0] they[0] are[0] doing[0] the[0] mattress[0] dance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
