 " you damn dirty apes ! " 	Translation	Positive	Negative	EmotionRationale
that's just one of the inadvertenty hilarious lines from planet of the apes that's taken on a comedic context over time . 	that's just one of the inadvertenty hilarious lines from planet of the apes that's taken on a comedic context over time .	3	-1	 that's[0] just[0] one[0] of[0] the[0] inadvertenty[0] hilarious[2] lines[0] from[0] planet[0] of[0] the[0] apes[0] that's[0] taken[0] on[0] a[0] comedic[0] context[0] over[0] time[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
no one back then seemed to realize how over-the- top charlton heston's acting style was , but it shows now , particularly in this " mystery science theater 3000 " wannabe that was taken for a film masterpiece in its time , actually winning one oscar ( for makeup , no less ) and being nominated for a couple others . 	no one back then seemed to realize how over-the- top charlton heston's acting style was , but it shows now , particularly in this " mystery science theater 300 " wannabe that was taken for a film masterpiece in its time , actually winning one oscar ( for makeup , no less ) and being nominated for a couple others .	2	-1	 no[0] one[0] back[0] then[0] seemed[0] to[0] realize[0] how[0] over[0] the[0] top[0] charlton[0] heston's[0] acting[0] style[0] was[0] but[0] it[0] shows[0] now[0] particularly[0] in[0] this[0] mystery[0] science[0] theater[0] 3000/300[0] wannabe[0] that[0] was[0] taken[0] for[0] a[0] film[0] masterpiece[0] in[0] its[0] time[0] actually[0] winning[1] one[0] oscar[0] for[0] makeup[0] no[0] less[0] and[0] being[0] nominated[0] for[0] a[0] couple[0] others[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it also spawned multiple sequels like beneath the planet of the apes , escape from the planet of the apes , return of the planet of the apes , beneath the escape from the return of the planet of the apes , planet of the apes : the next generation , police academy of the apes . . . 	it also spawned multiple sequels like beneath the planet of the apes , escape from the planet of the apes , return of the planet of the apes , beneath the escape from the return of the planet of the apes , planet of the apes : the next generation , police academy of the apes .<br> .<br> .	2	-1	 it[0] also[0] spawned[0] multiple[0] sequels[0] like[1] beneath[0] the[0] planet[0] of[0] the[0] apes[0] escape[0] from[0] the[0] planet[0] of[0] the[0] apes[0] return[0] of[0] the[0] planet[0] of[0] the[0] apes[0] beneath[0] the[0] escape[0] from[0] the[0] return[0] of[0] the[0] planet[0] of[0] the[0] apes[0] planet[0] of[0] the[0] apes[0] the[0] next[0] generation[0] police[0] academy[0] of[0] the[0] apes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the list goes on . 	the list goes on .	1	-1	 the[0] list[0] goes[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
heston is an american astronaut who spends a few thousand light years in space with his three companions and ends up on a planet not too dissimilar from earth . 	heston is an american astronaut who spends a few thousand light years in space with his three companions and ends up on a planet not too dissimilar from earth .	1	-1	 heston[0] is[0] an[0] american[0] astronaut[0] who[0] spends[0] a[0] few[0] thousand[0] light[0] years[0] in[0] space[0] with[0] his[0] three[0] companions[0] and[0] ends[0] up[0] on[0] a[0] planet[0] not[0] too[0] dissimilar[0] from[0] earth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the thing is , on this planet humans can't talk or think and the guys in the gorilla masks are the dominant species . 	the thing is , on this planet humans can't talk or think and the guys in the gorilla masks are the dominant species .	1	-1	 the[0] thing[0] is[0] on[0] this[0] planet[0] humans[0] can't[0] talk[0] or[0] think[0] and[0] the[0] guys[0] in[0] the[0] gorilla[0] masks[0] are[0] the[0] dominant[0] species[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
heston's companions are killed or turned into vegetables by the apon is imprisoned . 	heston's companions are killed or turned into vegetables by the apon is imprisoned .	1	-4	 heston's[0] companions[0] are[0] killed[-3] or[0] turned[0] into[0] vegetables[0] by[0] the[0] apon[0] is[0] imprisoned[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he surprises them all with his gift of speech , making two primate scientists ( roddy mcdowall and kim hunter ) believe heston is the missing link between ape and man . 	he surprises them all with his gift of speech , making two primate scientists ( roddy mcdowall and kim hunter ) believe heston is the missing link between ape and man .	1	-2	 he[0] surprises[0] them[0] all[0] with[0] his[0] gift[0] of[0] speech[0] making[0] two[0] primate[0] scientists[0] roddy[0] mcdowall[0] and[0] kim[0] hunter[-1] believe[0] heston[0] is[0] the[0] missing[0] link[0] between[0] ape[0] and[0] man[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
believe me , we movie critics have been thinking the same thing for years . 	believe me , we movie critics have been thinking the same thing for years .	1	-1	 believe[0] me[0] we[0] movie[0] critics[0] have[0] been[0] thinking[0] the[0] same[0] thing[0] for[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the two apes present the idea before a judicial counsel ( the head ape being shakespearean actor maurice evans ) , it is received as heresy , for all good monkeys know god " created ape in his image . " 	when the two apes present the idea before a judicial counsel ( the head ape being shakespearean actor maurice evans ) , it is received as heresy , for all good monkeys know god " created ape in his image .<br> "	2	-1	 when[0] the[0] two[0] apes[0] present[0] the[0] idea[0] before[0] a[0] judicial[0] counsel[0] the[0] head[0] ape[0] being[0] shakespearean[0] actor[0] maurice[0] evans[0] it[0] is[0] received[0] as[0] heresy[0] for[0] all[0] good[1] monkeys[0] know[0] god[0] created[0] ape[0] in[0] his[0] image[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
