tom dicillo directs this superficial comedy about superficial people in superficial careers , all searching for deeper meaning . 	Translation	Positive	Negative	EmotionRationale
however , they won't find much meaning in the real blonde , and not enough real humor , either . 	however , they won't find much meaning in the real blonde , and not enough real humor , either .	3	-1	 however[0] they[0] won't[0] find[0] much[0] meaning[0] in[0] the[0] real[0] blonde[0] and[0] not[0] enough[0] real[0] humor[2] either[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
joe ( matthew modine ) is a struggling actor , or he claims to be one , even though he has no credits under his belt . 	joe ( matthew modine ) is a struggling actor , or he claims to be one , even though he has no credits under his belt .	1	-2	 joe[0] matthew[0] modine[0] is[0] a[0] struggling[-1] actor[0] or[0] he[0] claims[0] to[0] be[0] one[0] even[0] though[0] he[0] has[0] no[0] credits[0] under[0] his[0] belt[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his girlfriend , mary ( catherine keener ) has no pretensions about her career : she's a makeup artist , working for the eccentric fashion photographer blair ( marlo thomas ) and supermodel of the month , sahara ( bridgette wilson ) . 	his girlfriend , mary ( catherine keener ) has no pretensions about her career : she's a makeup artist , working for the eccentric fashion photographer blair ( marlo thomas ) and supermodel of the month , sahara ( bridgette wilson ) .	1	-2	 his[0] girlfriend[0] mary[0] catherine[0] keener[0] has[0] no[0] pretensions[0] about[0] her[0] career[0] she's[0] a[0] makeup[0] artist[0] working[0] for[0] the[0] eccentric[-1] fashion[0] photographer[0] blair[0] marlo[0] thomas[0] and[0] supermodel[0] of[0] the[0] month[0] sahara[0] bridgette[0] wilson[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sahara , who has acquired a new age spirituality from repeated viewing of the little mermaid , has an on-again , off-again relationship with joe's best friend , bob ( maxwell caulfield ) . 	sahara , who has acquired a new age spirituality from repeated viewing of the little mermaid , has an on-again , off-again relationship with joe's best friend , bob ( maxwell caulfield ) .	2	-1	 sahara[0] who[0] has[0] acquired[0] a[0] new[0] age[0] spirituality[0] from[0] repeated[0] viewing[0] of[0] the[0] little[0] mermaid[0] has[0] an[0] on[0] again[0] off[0] again[0] relationship[0] with[0] joe's[0] best[1] friend[1] bob[0] maxwell[0] caulfield[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , bob has gotten his biggest break yet : a starring role on a soap opera opposite the beautiful kelly ( daryl hannah ) , who may be that illusive woman he's always pursued : a real blonde . 	however , bob has gotten his biggest break yet : a starring role on a soap opera opposite the beautiful kelly ( daryl hannah ) , who may be that illusive woman he's always pursued : a real blonde .	3	-1	 however[0] bob[0] has[0] gotten[0] his[0] biggest[0] break[0] yet[0] a[0] starring[0] role[0] on[0] a[0] soap[0] opera[0] opposite[0] the[0] beautiful[2] kelly[0] daryl[0] hannah[0] who[0] may[0] be[0] that[0] illusive[0] woman[0] he's[0] always[0] pursued[0] a[0] real[0] blonde[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there are some moments of good humor in the real blonde , but not enough . 	there are some moments of good humor in the real blonde , but not enough .	3	-1	 there[0] are[0] some[0] moments[0] of[0] good[1] humor[2] in[0] the[0] real[0] blonde[0] but[0] not[0] enough[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the best stuff is in throwaway details in the background , such as sahara's perfume ads : " depression - it's not just a state of mind " . 	the best stuff is in throwaway details in the background , such as sahara's perfume ads : " depression - it's not just a state of mind " .	2	-4	 the[0] best[1] stuff[0] is[0] in[0] throwaway[0] details[0] in[0] the[0] background[0] such[0] as[0] sahara's[0] perfume[0] ads[0] depression[-3] it's[0] not[0] just[0] a[0] state[0] of[0] mind[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
but to find humor in the superficiality of models and actors is to shoot fish in a barrel . 	but to find humor in the superficiality of models and actors is to shoot fish in a barrel .	3	-2	 but[0] to[0] find[0] humor[2] in[0] the[0] superficiality[-1] of[0] models[0] and[0] actors[0] is[0] to[0] shoot[-1] fish[0] in[0] a[0] barrel[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and , unfortunately , the film's forays outside the realm of comedy are pathetic . 	and , unfortunately , the film's forays outside the realm of comedy are pathetic .	1	-3	 and[0] unfortunately[-1] the[0] film's[0] forays[0] outside[0] the[0] realm[0] of[0] comedy[0] are[0] pathetic[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
take for example the film's framing device of an old lady and her dog . 	take for example the film's framing device of an old lady and her dog .	1	-1	 take[0] for[0] example[0] the[0] film's[0] framing[0] device[0] of[0] an[0] old[0] lady[0] and[0] her[0] dog[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
