renee zellweger stars as sonia , a young jewish wife and mother frustrated by the constraints of her hasidic community in brooklyn . 	Translation	Positive	Negative	EmotionRationale
her husband ( glenn fitzgerald ) is a religious scholar whose all-in-a-day's-work attitude on sex fails to tame the " fire " she feels within , as so she confesses to the rebbe ( after hearing her fiery confession , the rebbe suddenly gets frisky with his pleasantly surprised wife--and dies the next morning ) . 	her husband ( glen fitzgerald ) is a religious scholar whose all-in-a-day's-work attitude on sex fails to tame the " fire " she feels within , as so she confesses to the rebbe ( after hearing her fiery confession , the rebbe suddenly gets frisky with his pleasantly surprised wife-and dies the next morning ) .	3	-3	 her[0] husband[0] glenn/glen[0] fitzgerald[0] is[0] a[0] religious[0] scholar[0] whose[0] all[0] in[0] a[0] day's[0] work[0] attitude[0] on[0] sex[0] fails[-2] to[0] tame[0] the[0] fire[0] she[0] feels[0] within[0] as[0] so[0] she[0] confesses[-1] to[0] the[0] rebbe[0] after[0] hearing[0] her[0] fiery[-1] confession[-1] the[0] rebbe[0] suddenly[0] gets[0] frisky[0] with[0] his[0] pleasantly[2] surprised[0] wife[0] and[0] dies[0] the[0] next[0] morning[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
sensing her frustration , her husband's brother ( christopher eccleston ) gives her a job in his jewelry brokering business in exchange for raw , passionless sex that just fans sonia's still-burning flame . 	sensing her frustration , her husband's brother ( christopher eccleston ) gives her a job in his jewelry brokering business in exchange for raw , passionless sex that just fans sonia's still-burning flame .	3	-3	 sensing[0] her[0] frustration[-2] her[0] husband's[0] brother[0] christopher[0] eccleston[0] gives[0] her[0] a[0] job[0] in[0] his[0] jewelry[0] brokering[-1] business[0] in[0] exchange[0] for[0] raw[0] passionless[2] sex[0] that[0] just[0] fans[0] sonia's[0] still[0] burning[-1] flame[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
on the job , sonia befriends ramon ( allen payne ) , a cool blast of hunky puerto rican water who does his own jewelry designs when not working as a grunt in an upscale jewelry store . 	on the job , sonia befriends ramon ( allen payne ) , a cool blast of hunky puerto rican water who does his own jewelry designs when not working as a grunt in an upscale jewelry store .	2	-1	 on[0] the[0] job[0] sonia[0] befriends[0] ramon[0] allen[0] payne[0] a[0] cool[1] blast[0] of[0] hunky[0] puerto[0] rican[0] water[0] who[0] does[0] his[0] own[0] jewelry[0] designs[0] when[0] not[0] working[0] as[0] a[0] grunt[0] in[0] an[0] upscale[0] jewelry[0] store[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
can fire-taming be far be that far behind for the ever-smoldering sonia ? 	can fire-taming be far be that far behind for the ever-smoldering sonia ?	1	-1	 can[0] fire[0] taming[0] be[0] far[0] be[0] that[0] far[0] behind[0] for[0] the[0] ever[0] smoldering[0] sonia[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just about everything in writer-director boaz yakin's rings false , starting with the improbably cast zellweger , who does an adequate enough acting job but simply looks too waspy for the role . 	just about everything in writer-director boaz yakin's rings false , starting with the improbably cast zellweger , who does an adequate enough acting job but simply looks too waspy for the role .	1	-1	 just[0] about[0] everything[0] in[0] writer[0] director[0] boaz[0] yakin's[0] rings[0] false[0] starting[0] with[0] the[0] improbably[0] cast[0] zellweger[0] who[0] does[0] an[0] adequate[0] enough[0] acting[0] job[0] but[0] simply[0] looks[0] too[0] waspy[0] for[0] the[0] role[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a better fit would have been julianna margulies , who outshines zellweger as sonia's take-no-crap sister-in-law . 	a better fit would have been julianna margulies , who outshines zellweger as sonia's take-no-crap sister-in-law .	1	-3	 a[0] better[0] fit[0] would[0] have[0] been[0] julianna[0] margulies[0] who[0] outshines[0] zellweger[0] as[0] sonia's[0] take[0] no[0] crap[-2] sister[0] in[0] law[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
some of sonia's baby steps toward liberation , such as indulging in a non-kosher egg roll in chinatown , come off as silly . 	some of sonia's baby steps toward liberation , such as indulging in a non-kosher egg roll in chinatown , come off as silly .	2	-2	 some[0] of[0] sonia's[0] baby[1] steps[0] toward[0] liberation[0] such[0] as[0] indulging[0] in[0] a[0] non[0] kosher[0] egg[0] roll[0] in[0] chinatown[0] come[0] off[0] as[0] silly[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
yakin attempts to spice up the proceedings with a touch of magical realism--in the form of the recurring presence of sonia's long-dead brother's ghost--make the story feel even more trite than it already is . 	yakin attempts to spice up the proceedings with a touch of magical realism-in the form of the recurring presence of sonia's long-dead brother's ghost-make the story feel even more trite than it already is .	1	-3	 yakin[0] attempts[0] to[0] spice[0] up[0] the[0] proceedings[0] with[0] a[0] touch[0] of[0] magical[0] realism[0] in[0] the[0] form[0] of[0] the[0] recurring[0] presence[0] of[0] sonia's[0] long[0] dead[-2] brother's[0] ghost[0] make[0] the[0] story[0] feel[0] even[0] more[0] trite[-2] than[0] it[0] already[0] is[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " i didn't know what to expect . 	 " i didn't know what to expect .	1	-1	 i[0] didn't[0] know[0] what[0] to[0] expect[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's like something you chase for so long , but then you don't know how to react when you get it . 	it's like something you chase for so long , but then you don't know how to react when you get it .	2	-2	 it's[0] like[1] something[0] you[0] chase[-1] for[0] so[0] long[0] but[0] then[0] you[0] don't[0] know[0] how[0] to[0] react[0] when[0] you[0] get[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i still don't know how to react . " 	i still don't know how to react .<br> "	1	-1	 i[0] still[0] don't[0] know[0] how[0] to[0] react[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
--michael jordan , on winning his first nba championship in 1991 . . . or , 	-michael jordan , on winning his first nba championship in 1991 .<br> .<br> .<br> or ,	2	-1	 michael[0] jordan[0] on[0] winning[1] his[0] first[0] nba[0] championship[0] in[0] 1991[0] [[Sentence=-1,2=word max, 1-5]] or[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
my thoughts after meeting him on november 21 , 1997 	my thoughts after meeting him on november 21 , 1997	1	-1	 my[0] thoughts[0] after[0] meeting[0] him[0] on[0] november[0] 21[0] 1997[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
