these days , we are witnessing the deluge of films based on old , cult tv shows . 	Translation	Positive	Negative	EmotionRationale
most of the times , the fans of these shows shudder thinking what could hollywood hacks of the present do with the memories of their past . 	most of the times , the fans of these shows shudder thinking what could hollywood hacks of the present do with the memories of their past .	1	-1	 most[0] of[0] the[0] times[0] the[0] fans[0] of[0] these[0] shows[0] shudder[0] thinking[0] what[0] could[0] hollywood[0] hacks[0] of[0] the[0] present[0] do[0] with[0] the[0] memories[0] of[0] their[0] past[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but , some five or six years ago , there weren't that many movies and the trend didn't look that depressing . 	but , some five or six years ago , there weren't that many movies and the trend didn't look that depressing .	1	-4	 but[0] some[0] five[0] or[0] six[0] years[0] ago[0] there[0] weren't[0] that[0] many[0] movies[0] and[0] the[0] trend[0] didn't[0] look[0] that[0] depressing[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
so , the people who , like the author of this review , grew up watching flintstones , popular 1960s animated series about " modern stone age " family , weren't particularly worried when the word came about live action remake . 	so , the people who , like the author of this review , grew up watching flintstones , popular 1960s animated series about " modern stone age " family , weren't particularly worried when the word came about live action remake .	2	-4	 so[0] the[0] people[0] who[0] like[1] the[0] author[0] of[0] this[0] review[0] grew[0] up[0] watching[0] flintstones[0] popular[0] 1960s[0] animated[0] series[0] about[0] modern[0] stone[0] age[0] family[0] weren't[0] particularly[0] worried[-3] when[0] the[0] word[0] came[0] about[0] live[0] action[0] remake[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
after all , the producer behind the project was steven spielberg and , if anything else , at least the special effects would be good . 	after all , the producer behind the project was steven spielberg and , if anything else , at least the special effects would be good .	2	-1	 after[0] all[0] the[0] producer[0] behind[0] the[0] project[0] was[0] steven[0] spielberg[0] and[0] if[0] anything[0] else[0] at[0] least[0] the[0] special[1] effects[0] would[0] be[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the plot revolves about flintstones , family set in fictious stone age " town " of bedrock , whose members enjoy the lifestyle of 1950s middle class america . 	the plot revolves about flintstones , family set in fictious stone age " town " of bedrock , whose members enjoy the lifestyle of 1950s middle class america .	3	-1	 the[0] plot[0] revolves[0] about[0] flintstones[0] family[0] set[0] in[0] fictious[0] stone[0] age[0] town[0] of[0] bedrock[0] whose[0] members[0] enjoy[2] the[0] lifestyle[0] of[0] 1950s[0] middle[0] class[0] america[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
fred flinstone ( john goodman ) works in the quarry , and one day he helps his best friend and neighbour barney rubble ( rick moranis ) and his wife betty ( rosie o'donnell ) to adopt a baby . 	fred flinstone ( john goodman ) works in the quarry , and one day he helps his best friend and neighbour barney rubble ( rick moranis ) and his wife betty ( rosie o'donnell ) to adopt a baby .	2	-1	 fred[0] flinstone[0] john[0] goodman[0] works[0] in[0] the[0] quarry[0] and[0] one[0] day[0] he[0] helps[0] his[0] best[1] friend[1] and[0] neighbour[0] barney[0] rubble[0] rick[0] moranis[0] and[0] his[0] wife[0] betty[0] rosie[0] o'donnell[0] to[0] adopt[0] a[0] baby[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
to return the favour , barney switches his results of aptitude test with fred , and , based on that , fred gets well-paid job in management . 	to return the favour , barney switches his results of aptitude test with fred , and , based on that , fred gets well-paid job in management .	2	-1	 to[0] return[0] the[0] favour[1] barney[0] switches[0] his[0] results[0] of[0] aptitude[0] test[0] with[0] fred[0] and[0] based[0] on[0] that[0] fred[0] gets[0] well[0] paid[0] job[0] in[0] management[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but , of course , this is just a sham - corrupt official cliff vandercave ( kyle maclachlan ) and his sultry secretary sharon stone ( halle berry ) need a scapegoat for their embezzlement scheme . 	but , of course , this is just a sham - corrupt official cliff vandercave ( kyle maclachlan ) and his sultry secretary sharon stone ( hale berry ) need a scapegoat for their embezlement scheme .	1	-3	 but[0] of[0] course[0] this[0] is[0] just[0] a[0] sham[0] corrupt[-2] official[0] cliff[0] vandercave[0] kyle[0] maclachlan[0] and[0] his[0] sultry[0] secretary[0] sharon[0] stone[0] halle/hale[0] berry[0] need[0] a[0] scapegoat[-2] for[0] their[0] embezzlement/embezlement[0] scheme[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in the meantime , fred's wife wilma ( elizabeth perkins ) must face her mother ( elizabeth taylor ) who can't stand fred . 	in the meantime , fred's wife wilma ( elizabeth perkins ) must face her mother ( elizabeth taylor ) who can't stand fred .	1	-1	 in[0] the[0] meantime[0] fred's[0] wife[0] wilma[0] elizabeth[0] perkins[0] must[0] face[0] her[0] mother[0] elizabeth[0] taylor[0] who[0] can't[0] stand[0] fred[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on the superficial level , the flintstones did the excellent job in bringing the animated series to life . 	on the superficial level , the flintstones did the excellent job in bringing the animated series to life .	4	-2	 on[0] the[0] superficial[-1] level[0] the[0] flintstones[0] did[0] the[0] excellent[3] job[0] in[0] bringing[0] the[0] animated[0] series[0] to[0] life[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
