well , as i check my score card for what i've done this holiday weekend , it reads good ideas : 0 and dumb ideas : 1 . 	Translation	Positive	Negative	EmotionRationale
i don't know what i was thinking when i decided to watch this movie . 	i don't know what i was thinking when i decided to watch this movie .	1	-1	 i[0] don't[0] know[0] what[0] i[0] was[0] thinking[0] when[0] i[0] decided[0] to[0] watch[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but in my defense , i can only say that it was someone else who urged me to see this with him . 	but in my defense , i can only say that it was someone else who urged me to see this with him .	1	-1	 but[0] in[0] my[0] defense[0] i[0] can[0] only[0] say[0] that[0] it[0] was[0] someone[0] else[0] who[0] urged[0] me[0] to[0] see[0] this[0] with[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film that i'm talking about is  a night at the roxbury , ' one of those offerings based on a saturday night live skit . 	the film that i'm talking about is  a night at the roxbury , ' one of those offerings based on a saturday night live skit .	1	-1	 the[0] film[0] that[0] i'm[0] talking[0] about[0] is[0] a[0] night[0] at[0] the[0] roxbury[0] '[0] one[0] of[0] those[0] offerings[0] based[0] on[0] a[0] saturday[0] night[0] live[0] skit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wayne and garth , these two are not . 	wayne and garth , these two are not .	1	-1	 wayne[0] and[0] garth[0] these[0] two[0] are[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rather , we meet doug and steve butabi ( the actors' names are not worth mentioning ) , two eternal partyers whose greatest ambitions in life seem to be finding a way to get into the hottest night club in the city , the roxbury . 	rather , we meet doug and steve butabi ( the actors' names are not worth mentioning ) , two eternal partyers whose greatest ambitions in life seem to be finding a way to get into the hottest night club in the city , the roxbury .	3	-1	 rather[0] we[0] meet[0] doug[0] and[0] steve[0] butabi[0] the[0] actors'[0] names[0] are[0] not[0] worth[0] mentioning[0] two[0] eternal[0] partyers[0] whose[0] greatest[2] ambitions[0] in[0] life[0] seem[0] to[0] be[0] finding[0] a[0] way[0] to[0] get[0] into[0] the[0] hottest[0] night[0] club[0] in[0] the[0] city[0] the[0] roxbury[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
driving in their dad's bmw and donning metallic disco suits right out of miami vice , they try to bribe the bouncer to get into the club . 	driving in their dad's bmw and donning metallic disco suits right out of miami vice , they try to bribe the bouncer to get into the club .	1	-2	 driving[0] in[0] their[0] dad's[0] bmw[0] and[0] donning[0] metallic[0] disco[0] suits[0] right[0] out[0] of[0] miami[0] vice[-1] they[0] try[0] to[0] bribe[-1] the[0] bouncer[0] to[0] get[0] into[0] the[0] club[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 have you met my friend washington and his friend roosevelt , ' they confidently say as they pull out spare pocket change . 	 have you met my friend washington and his friend roosevelt , ' they confidently say as they pull out spare pocket change .	2	-1	 have[0] you[0] met[0] my[0] friend[1] washington[0] and[0] his[0] friend[1] roosevelt[0] '[0] they[0] confidently[1] say[0] as[0] they[0] pull[0] out[0] spare[0] pocket[0] change[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
their second greatest ambition seems to be oozing out as many silly pick-up lines as is humanly possible in order to start a conversation with a girl (  let me see that label . 	their second greatest ambition seems to be oozing out as many silly pick-up lines as is humanly possible in order to start a conversation with a girl (  let me see that label .	3	-2	 their[0] second[0] greatest[2] ambition[0] seems[0] to[0] be[0] oozing[0] out[0] as[0] many[0] silly[-1] pick[0] up[0] lines[0] as[0] is[0] humanly[0] possible[0] in[0] order[0] to[0] start[0] a[0] conversation[0] with[0] a[0] girl[0] let[0] me[0] see[0] that[0] label[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
just as i thought - made in heaven , ' says one of the brothers ) . 	just as i thought - made in heaven , ' says one of the brothers ) .	2	-1	 just[0] as[0] i[0] thought[0] made[0] in[0] heaven[1] '[0] says[0] one[0] of[0] the[0] brothers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and , like the losers that they are , they fail to do either for much of the film . 	and , like the losers that they are , they fail to do either for much of the film .	2	-3	 and[0] like[1] the[0] losers[-2] that[0] they[0] are[0] they[0] fail[-2] to[0] do[0] either[0] for[0] much[0] of[0] the[0] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
