i want to be involved in show business one day . 	Translation	Positive	Negative	EmotionRationale
and i refuse to do any sequels to any movie i may make because i believe they only get worse . 	and i refuse to do any sequels to any movie i may make because i believe they only get worse .	1	-3	 and[0] i[0] refuse[-1] to[0] do[0] any[0] sequels[0] to[0] any[0] movie[0] i[0] may[0] make[0] because[0] i[0] believe[0] they[0] only[0] get[0] worse[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this movie proves it for me . 	this movie proves it for me .	1	-1	 this[0] movie[0] proves[0] it[0] for[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i was a little worried about the last batman film , as i thought joel schumaccer , taking over from tim burton , would screw it up . 	i was a little worried about the last batman film , as i thought joel schumaccer , taking over from tim burton , would screw it up .	1	-4	 i[0] was[0] a[0] little[0] worried[-3] about[0] the[0] last[0] batman[0] film[0] as[0] i[0] thought[0] joel[0] schumaccer[0] taking[0] over[0] from[0] tim[0] burton[0] would[0] screw[0] it[0] up[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i also assumed val kilmer would screw up as bruce wayne . 	i also assumed val kilmer would screw up as bruce wayne .	1	-1	 i[0] also[0] assumed[0] val[0] kilmer[0] would[0] screw[0] up[0] as[0] bruce[0] wayne[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they didn't . 	they didn't .	1	-1	 they[0] didn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kilmer did a good job , and the cast was left to carry the movie , which they did ( even jim carrey as the riddler and i can't stand jim carrey ) , because schumaccer messed up the direction with his glitzy gotham and his awkward camera angles . 	kilmer did a good job , and the cast was left to carry the movie , which they did ( even jim carrey as the riddler and i can't stand jim carrey ) , because schumaccer messed up the direction with his glitzy gotham and his awkward camera angles .	2	-2	 kilmer[0] did[0] a[0] good[1] job[0] and[0] the[0] cast[0] was[0] left[0] to[0] carry[0] the[0] movie[0] which[0] they[0] did[0] even[0] jim[0] carrey[0] as[0] the[0] riddler[0] and[0] i[0] can't[0] stand[0] jim[0] carrey[0] because[0] schumaccer[0] messed[0] up[0] the[0] direction[0] with[0] his[0] glitzy[0] gotham[0] and[0] his[0] awkward[-1] camera[0] angles[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this film is different . 	this film is different .	1	-1	 this[0] film[0] is[0] different[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the cast is still impressive , but here , not only does schumaccer mess up with the direction ( he's one of those directors who's good with actors , terrible with camera angles ) , but writer akiva goldsmith doesn't really give an impressive cast anything to do . 	the cast is still impressive , but here , not only does schumaccer mess up with the direction ( he's one of those directors who's good with actors , terrible with camera angles ) , but writer akiva goldsmith doesn't really give an impressive cast anything to do .	2	-4	 the[0] cast[0] is[0] still[0] impressive[1] but[0] here[0] not[0] only[0] does[0] schumaccer[0] mess[0] up[0] with[0] the[0] direction[0] he's[0] one[0] of[0] those[0] directors[0] who's[0] good[1] with[0] actors[0] terrible[-3] with[0] camera[0] angles[0] but[0] writer[0] akiva[0] goldsmith[0] doesn't[0] really[0] give[0] an[0] impressive[1] cast[0] anything[0] to[0] do[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the cast is impressive : clooney is a surprisingly good wayne/batman , o'donnell is a crafty robin as usual , they could've casted somebody better as batgirl ( my friend likes neve campbell ) , but silverstone is not bad , and thurman is a good poison ivy . 	the cast is impressive : clooney is a surprisingly good wayne/batman , o'donnell is a crafty robin as usual , they could've casted somebody better as batgirl ( my friend likes neve campbell ) , but silverstone is not bad , and thurman is a good poison ivy .	3	-3	 the[0] cast[0] is[0] impressive[1] clooney[0] is[0] a[0] surprisingly[0] good[1] wayne/batman[0] o'donnell[0] is[0] a[0] crafty[-1] robin[0] as[0] usual[0] they[0] could've[0] casted[0] somebody[0] better[0] as[0] batgirl[0] my[0] friend[1] likes[2] neve[0] campbell[0] but[0] silverstone[0] is[0] not[0] bad[-1][NegatedDueToPreviousWord] and[0] thurman[0] is[0] a[0] good[1] poison[-2] ivy[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the major problem is schwarzenegger , who is a terrible freeze . 	the major problem is schwarzenegger , who is a terrible freeze .	1	-4	 the[0] major[0] problem[-1] is[0] schwarzenegger[0] who[0] is[0] a[0] terrible[-3] freeze[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
