bad movies described as " a swift descent into sinful pleasure , decay , and debauchery " are hard to watch . 	Translation	Positive	Negative	EmotionRationale
bad 2000's movies that resemble bad 1980s films are even harder to watch . 	bad 200's movies that resemble bad 1980s films are even harder to watch .	1	-2	 bad[-1] 2000's/200's[0] movies[0] that[0] resemble[0] bad[-1] 1980s[0] films[0] are[0] even[0] harder[0] to[0] watch[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
shadow hours falls into the latter category , a mish-mashed train wreck of b-movie actors ( including michael dorn , aka star trek's worf ) , an uninteresting plot , vain attempts at capitalizing on the " underground " scenes of seedy los angeles , and really , really bad directing and horrendous music video-esque ballistic editing that was taught to me in film school right before i decided to drop out . 	shadow hours falls into the latter category , a mish-mashed train wreck of b-movie actors ( including michael dorn , aka star trek's worf ) , an uninteresting plot , vain attempts at capitalizing on the " underground " scenes of seedy los angeles , and really , really bad directing and horrendous music video-esque ballistic editing that was taught to me in film school right before i decided to drop out .	1	-4	 shadow[0] hours[0] falls[0] into[0] the[0] latter[0] category[0] a[0] mish[0] mashed[0] train[0] wreck[-1] of[0] b[0] movie[0] actors[0] including[0] michael[0] dorn[0] aka[0] star[0] trek's[0] worf[0] an[0] uninteresting[0] plot[0] vain[-2] attempts[0] at[0] capitalizing[0] on[0] the[0] underground[0] scenes[0] of[0] seedy[0] los[0] angeles[0] and[0] really[0] really[0] bad[-1][-1 LastWordBoosterStrength] directing[0] and[0] horrendous[-3] music[0] video[0] esque[0] ballistic[0] editing[0] that[0] was[0] taught[0] to[0] me[0] in[0] film[0] school[0] right[0] before[0] i[0] decided[0] to[0] drop[-1] out[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the film revolves around the life of michael holloway ( balthazar getty ) who is trying to restart his life with his one-dimensional wife chloe ( rebecca gayheart ) after a nasty bout of drug and alcohol addictions . 	the film revolves around the life of michael holloway ( balthazar getty ) who is trying to restart his life with his one-dimensional wife chloe ( rebecca gayheart ) after a nasty bout of drug and alcohol addictions .	1	-3	 the[0] film[0] revolves[0] around[0] the[0] life[0] of[0] michael[0] holloway[0] balthazar[0] getty[0] who[0] is[0] trying[0] to[0] restart[0] his[0] life[0] with[0] his[0] one[0] dimensional[0] wife[0] chloe[0] rebecca[0] gayheart[0] after[0] a[0] nasty[-2] bout[0] of[0] drug[0] and[0] alcohol[0] addictions[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
michael takes a job of working the graveyard shift at the local gas station and is bombarded by the ugliness and weirdness of the nightlife of l . a . one night , he meets a strange gent named stuart ( mr . buckaroo banzai , peter weller ) . 	michael takes a job of working the graveyard shift at the local gas station and is bombarded by the ugliness and weirdness of the nightlife of l .<br> a .<br> one night , he meets a strange gent named stuart ( mr .<br> buckaroo banzai , peter weller ) .	2	-3	 michael[0] takes[0] a[0] job[0] of[0] working[0] the[0] graveyard[-2] shift[0] at[0] the[0] local[0] gas[0] station[0] and[0] is[0] bombarded[-1] by[0] the[0] ugliness[-2] and[0] weirdness[-1] of[0] the[0] nightlife[0] of[0] l[0] [[Sentence=-3,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] one[0] night[0] he[0] meets[0] a[0] strange[0] gent[0] named[0] stuart[0] mr[0] [[Sentence=-1,1=word max, 1-5]] buckaroo[0] banzai[0] peter[0] weller[1] [[Sentence=-1,2=word max, 1-5]][[[2,-3 max of sentences]]]
he drives a porsche , smokes french cigarettes , and drones on about life , eventually coaxing mike into exploring the " underbelly " of l . a . together , a tour of punk bars , s&m clubs , and bare-knuckle fights . 	he drives a porsche , smokes french cigarettes , and drones on about life , eventually coaxing mike into exploring the " underbelly " of l .<br> a .<br> together , a tour of punk bars , s&m clubs , and bare-knuckle fights .	1	-3	 he[0] drives[0] a[0] porsche[0] smokes[0] french[0] cigarettes[0] and[0] drones[0] on[0] about[0] life[0] eventually[0] coaxing[0] mike[0] into[0] exploring[0] the[0] underbelly[0] of[0] l[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] together[0] a[0] tour[0] of[0] punk[0] bars[0] s&m[0] clubs[0] and[0] bare[0] knuckle[0] fights[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film then throws in a murder mystery with a cop played peter greene , acting like he wants to get the chance at a reprisal of his role in the mask 2 . the film then simply dissolves into a cheap rip-off of dante's inferno mixed with an old stephen j . cannell television pilot . 	the film then throws in a murder mystery with a cop played peter greene , acting like he wants to get the chance at a reprisal of his role in the mask 2 .<br> the film then simply dissolves into a cheap rip-off of dante's inferno mixed with an old stephen j .<br> cannel television pilot .	2	-4	 the[0] film[0] then[0] throws[0] in[0] a[0] murder[-3] mystery[0] with[0] a[0] cop[0] played[0] peter[0] greene[0] acting[0] like[1] he[0] wants[0] to[0] get[0] the[0] chance[0] at[0] a[0] reprisal[0] of[0] his[0] role[0] in[0] the[0] mask[0] 2[0] [[Sentence=-4,2=word max, 1-5]] the[0] film[0] then[0] simply[0] dissolves[0] into[0] a[0] cheap[-1] rip[-1] off[0] of[0] dante's[0] inferno[0] mixed[0] with[0] an[0] old[0] stephen[0] j[0] [[Sentence=-2,1=word max, 1-5]] cannell/cannel[0] television[0] pilot[0] [[Sentence=-1,1=word max, 1-5]][[[2,-4 max of sentences]]]
the pace of the film is jarring and utterly without focus . 	the pace of the film is jarring and utterly without focus .	1	-1	 the[0] pace[0] of[0] the[0] film[0] is[0] jarring[0] and[0] utterly[0] without[0] focus[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
other horrors include the endless montages of people pumping gas and the charlie sheen , johnny depp , richard grieco-esque acting of balthazar getty . 	other horrors include the endless montages of people pumping gas and the charlie sheen , johnny dep , richard grieco-esque acting of balthazar getty .	1	-4	 other[0] horrors[-3] include[0] the[0] endless[0] montages[0] of[0] people[0] pumping[0] gas[0] and[0] the[0] charlie[0] sheen[0] johnny[0] depp/dep[0] richard[0] grieco[0] esque[0] acting[0] of[0] balthazar[0] getty[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
peter weller clearly knows his career is completely gone and doesn't give two shits about it . 	peter weller clearly knows his career is completely gone and doesn't give two shits about it .	2	-2	 peter[0] weller[1] clearly[0] knows[0] his[0] career[0] is[0] completely[0] gone[0] and[0] doesn't[0] give[0] two[0] shits[-1] about[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and after the cheap exploitation of bondage clubs , dance clubs , and brothels - damn , isn't anyone safe any more from the ugly eye of hollywood ! ? 	and after the cheap exploitation of bondage clubs , dance clubs , and brothels - damn , isn't anyone safe any more from the ugly eye of hollywood !<br> ?	1	-3	 and[0] after[0] the[0] cheap[-1] exploitation[0] of[0] bondage[-1] clubs[0] dance[0] clubs[0] and[0] brothels[0] damn[-1] isn't[0] anyone[0] safe[1][NegatedDueToPreviousWord] any[0] more[0] from[0] the[0] ugly[-2] eye[0] of[0] hollywood[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
way back in 1984 , a great but crazy director named abel ferrara made his worse film and called it fear city . 	way back in 1984 , a great but crazy director named abel ferrara made his worse film and called it fear city .	3	-4	 way[0] back[0] in[0] 1984[0] a[0] great[2] but[0] crazy[-1] director[0] named[0] abel[0] ferrara[0] made[0] his[0] worse[-2] film[0] and[0] called[0] it[0] fear[-3] city[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
shadow hours reminds me of an almost perfect sequel . 	shadow hours reminds me of an almost perfect sequel .	2	-1	 shadow[0] hours[0] reminds[0] me[0] of[0] an[0] almost[0] perfect[1] sequel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
director/writer : isaac eaton producers : peter alevey , andrea mia , shon greenblatt , balthazar getty starring : balthazar getty , peter weller , rebecca gayheart , peter greene , frederic forrest , brad douriff , michael dorn 	director/writer : isac eaton producers : peter alevey , andrea mia , shon greenblatt , balthazar getty starring : balthazar getty , peter weller , rebecca gayheart , peter greene , frederic forest , brad douriff , michael dorn	2	-1	 director/writer[0] isaac/isac[0] eaton[0] producers[0] peter[0] alevey[0] andrea[0] mia[0] shon[0] greenblatt[0] balthazar[0] getty[0] starring[0] balthazar[0] getty[0] peter[0] weller[1] rebecca[0] gayheart[0] peter[0] greene[0] frederic[0] forrest/forest[0] brad[0] douriff[0] michael[0] dorn[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
