not a great twelve months for either of the principals from this movie . 	Translation	Positive	Negative	EmotionRationale
earlier this year , nora ephron wrote and produced one of the year's least likeable " comedies " called hanging up , featuring a bunch of annoying women ( ironically , lisa kudrow played one in that film as well ) who barely have time to care about anyone but themselves . 	earlier this year , nora ephron wrote and produced one of the year's least likeable " comedies " called hanging up , featuring a bunch of annoying women ( ironically , lisa kudrow played one in that film as well ) who barely have time to care about anyone but themselves .	3	-3	 earlier[0] this[0] year[0] nora[0] ephron[0] wrote[0] and[0] produced[0] one[0] of[0] the[0] year's[0] least[0] likeable[2] comedies[0] called[0] hanging[0] up[0] featuring[0] a[0] bunch[0] of[0] annoying[-2] women[0] ironically[-1] lisa[0] kudrow[0] played[0] one[0] in[0] that[0] film[0] as[0] well[0] who[0] barely[0] have[0] time[0] to[0] care[1] about[0] anyone[0] but[0] themselves[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
ick . . . real 	ick .<br> .<br> .<br> real	1	-1	 ick[0] [[Sentence=-1,1=word max, 1-5]] real[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sweet stuff . 	sweet stuff .	2	-1	 sweet[1] stuff[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but her little unsuccessful project was nothing compared to what john travolta went through earlier this summer , with a film entitled battlefield earth . 	but her little unsuccessful project was nothing compared to what john travolta went through earlier this summer , with a film entitled battlefield earth .	1	-3	 but[0] her[0] little[0] unsuccessful[-2] project[0] was[0] nothing[0] compared[0] to[0] what[0] john[0] travolta[0] went[0] through[0] earlier[0] this[0] summer[0] with[0] a[0] film[0] entitled[0] battlefield[-1] earth[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i seemed to be the only person on this planet who somehow appreciated the film , even if it was on a " cheese " factor , as everybody , and i mean everybody else , pretty much classified the movie as one of the worst disasters of all time . 	i seemed to be the only person on this planet who somehow appreciated the film , even if it was on a " cheese " factor , as everybody , and i mean everybody else , pretty much classified the movie as one of the worst disasters of all time .	3	-3	 i[0] seemed[0] to[0] be[0] the[0] only[0] person[0] on[0] this[0] planet[0] who[0] somehow[0] appreciated[1] the[0] film[0] even[0] if[0] it[0] was[0] on[0] a[0] cheese[0] factor[0] as[0] everybody[0] and[0] i[0] mean[0] everybody[0] else[0] pretty[2] much[0] classified[0] the[0] movie[0] as[0] one[0] of[0] the[0] worst[-2] disasters[-1] of[0] all[0] time[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
yipes . . . another 	yipes .<br> .<br> .<br> another	1	-1	 yipes[0] [[Sentence=-1,1=word max, 1-5]] another[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
beauty . 	beauty .	3	-1	 beauty[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
so what happens when you put these two people in the same room and come out with a movie co-starring the ever-versatile lisa kudrow ? 	so what happens when you put these two people in the same room and come out with a movie co-starring the ever-versatile lisa kudrow ?	1	-1	 so[0] what[0] happens[0] when[0] you[0] put[0] these[0] two[0] people[0] in[0] the[0] same[0] room[0] and[0] come[0] out[0] with[0] a[0] movie[0] co[0] starring[0] the[0] ever[0] versatile[0] lisa[0] kudrow[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
uhhhm , you guessed it . . . not 	uhm , you guessed it .<br> .<br> .<br> not	2	-1	 uhhhm/uhm[0][+0.6 MultipleLetters] you[0] guessed[0] it[0] [[Sentence=-1,2=word max, 1-5]] not[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
much . 	much .	1	-1	 much[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
