plot : two sister witches have to live with a curse placed upon their family , which prevents them from ever enjoying a full life with a lover . 	Translation	Positive	Negative	EmotionRationale
the hex invokes the eventual demise of their loved one . 	the hex invokes the eventual demise of their loved one .	4	-2	 the[0] hex[0] invokes[0] the[0] eventual[0] demise[-1] of[0] their[0] loved[3] one[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
when one of their past loves comes back to haunt them , they have to figure a way out of their eternal dilemma . 	when one of their past loves comes back to haunt them , they have to figure a way out of their eternal dilemma .	3	-2	 when[0] one[0] of[0] their[0] past[0] loves[2] comes[0] back[0] to[0] haunt[-1] them[0] they[0] have[0] to[0] figure[0] a[0] way[0] out[0] of[0] their[0] eternal[0] dilemma[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
critique : i've been waiting for a good witch movie for a while now , but hold on to your brooms and incantations , cause this puppy is far from being it ! 	critique : i've been waiting for a good witch movie for a while now , but hold on to your brooms and incantations , cause this puppy is far from being it !	2	-1	 critique[0] i've[0] been[0] waiting[0] for[0] a[0] good[1] witch[0] movie[0] for[0] a[0] while[0] now[0] but[0] hold[0] on[0] to[0] your[0] brooms[0] and[0] incantations[0] cause[0] this[0] puppy[0] is[0] far[0] from[0] being[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for a film that has the word " magic " in its title , this movie contains very few moments of magic . . . or 	for a film that has the word " magic " in its title , this movie contains very few moments of magic .<br> .<br> .<br> or	1	-1	 for[0] a[0] film[0] that[0] has[0] the[0] word[0] magic[0] in[0] its[0] title[0] this[0] movie[0] contains[0] very[0] few[0] moments[0] of[0] magic[0] [[Sentence=-1,1=word max, 1-5]] or[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
humor for that matter , drama , suspense , or romance . 	humor for that matter , drama , suspense , or romance .	4	-1	 humor[2] for[0] that[0] matter[0] drama[0] suspense[0] or[0] romance[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
well actually , there is some manufactured romance within a plot that is so muddled , it never lets you in on whether it's a comedy , a drama , a horror show , or a murder mystery . 	well actually , there is some manufactured romance within a plot that is so muddled , it never lets you in on whether it's a comedy , a drama , a horror show , or a murder mystery .	4	-4	 well[0] actually[0] there[0] is[0] some[0] manufactured[0] romance[3] within[0] a[0] plot[0] that[0] is[0] so[0] muddled[-1] it[0] never[0] lets[0] you[0] in[0] on[0] whether[0] it's[0] a[0] comedy[0] a[0] drama[0] a[0] horror[-3] show[0] or[0] a[0] murder[-3] mystery[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
or maybe it's a romance , eh ? 	or maybe it's a romance , eh ?	4	-1	 or[0] maybe[0] it's[0] a[0] romance[3] eh[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it doesn't really matter , cause the characters in the film are so boring and uninteresting , that you have absolutely no basis on which to care for them , or the film as a whole . 	it doesn't really matter , cause the characters in the film are so boring and uninteresting , that you have absolutely no basis on which to care for them , or the film as a whole .	2	-2	 it[0] doesn't[0] really[0] matter[0] cause[0] the[0] characters[0] in[0] the[0] film[0] are[0] so[0] boring[-1] and[0] uninteresting[0] that[0] you[0] have[0] absolutely[0] no[0] basis[0] on[0] which[0] to[0] care[1] for[0] them[0] or[0] the[0] film[0] as[0] a[0] whole[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if only the filmmakers had spent as much time on the plot as they did the sinfully obvious soundtrack , this film might've had a chance to be more than what it is now . 	if only the filmmakers had spent as much time on the plot as they did the sinfully obvious soundtrack , this film might've had a chance to be more than what it is now .	1	-1	 if[0] only[0] the[0] filmmakers[0] had[0] spent[0] as[0] much[0] time[0] on[0] the[0] plot[0] as[0] they[0] did[0] the[0] sinfully[0] obvious[0] soundtrack[0] this[0] film[0] might've[0] had[0] a[0] chance[0] to[0] be[0] more[0] than[0] what[0] it[0] is[0] now[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
which is an unentertaining , crappy film that uses the witch angle as a diversionary tactic to weave us away from its grab-bag of stupid voice-overs , overdone songs , melodramatic romance , undeveloped story and uneven acting . 	which is an unentertaining , crappy film that uses the witch angle as a diversionary tactic to weave us away from its grab-bag of stupid voice-overs , overdone songs , melodramatic romance , undeveloped story and uneven acting .	4	-3	 which[0] is[0] an[0] unentertaining[0] crappy[-2] film[0] that[0] uses[0] the[0] witch[0] angle[0] as[0] a[0] diversionary[0] tactic[0] to[0] weave[0] us[0] away[0] from[0] its[0] grab[-1] bag[0] of[0] stupid[-1] voice[0] overs[0] overdone[0] songs[0] melodramatic[-1] romance[3] undeveloped[0] story[0] and[0] uneven[-1] acting[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
