the spy game is up . 	Translation	Positive	Negative	EmotionRationale
you can thank charlie's angels -- the movie -- for that . 	you can thank charlie's angels - the movie - for that .	2	-1	 you[0] can[0] thank[1] charlie's[0] angels[0] the[0] movie[0] for[0] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when did banality and pandering become okay ? 	when did banality and pandering become okay ?	1	-1	 when[0] did[0] banality[-1][--1 LastWordBoosterStrength] and[0] pandering[0] become[0] okay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just steal from hong kong , the matrix , and a kitschy tv show from the mid-1970s and that's a movie ? 	just steal from hong kong , the matrix , and a kitschy tv show from the mid-1970s and that's a movie ?	1	-2	 just[0] steal[-2][--1 LastWordBoosterStrength] from[0] hong[0] kong[0] the[0] matrix[0] and[0] a[0] kitschy[0] tv[0] show[0] from[0] the[0] mid[0] -1970s[0] and[0] that's[0] a[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
charlie's angels is one of the worst examples of action film homogeneity and shameless duplicity in any film i've seen in ages . 	charlie's angels is one of the worst examples of action film homogeneity and shameless duplicity in any film i've seen in ages .	1	-3	 charlie's[0] angels[0] is[0] one[0] of[0] the[0] worst[-2] examples[0] of[0] action[0] film[0] homogeneity[0] and[0] shameless[-2] duplicity[0] in[0] any[0] film[0] i've[0] seen[0] in[0] ages[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
charlie's angels is dumb . 	charlie's angels is dumb .	1	-2	 charlie's[0] angels[0] is[0] dumb[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
just plain dumb . 	just plain dumb .	1	-2	 just[0] plain[0] dumb[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as we all know , three of the hottest females on the planet -- drew barrymore , cameron diaz , and lucy liu -- are three super-agents working for the mysterious millionaire named charlie . 	as we all know , three of the hottest females on the planet - drew barrymore , cameron diaz , and lucy liu - are three super-agents working for the mysterious millionaire named charlie .	3	-1	 as[0] we[0] all[0] know[0] three[0] of[0] the[0] hottest[0] females[0] on[0] the[0] planet[0] drew[0] barrymore[0] cameron[0] diaz[0] and[0] lucy[0] liu[0] are[0] three[0] super[2] agents[0] working[0] for[0] the[0] mysterious[0] millionaire[0] named[0] charlie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they all drive fast cars , look oh-so-fabulous even in the morning , and don't seem to get a scratch even when fighting armed men , having buildings explode ten feet in front of them , or flying through the air in matrix slow-motion . 	they all drive fast cars , look oh-so-fabulous even in the morning , and don't seem to get a scratch even when fighting armed men , having buildings explode ten feet in front of them , or flying through the air in matrix slow-motion .	3	-3	 they[0] all[0] drive[0] fast[0] cars[0] look[0] oh[0] so[0] fabulous[2] even[0] in[0] the[0] morning[0] and[0] don't[0] seem[0] to[0] get[0] a[0] scratch[0] even[0] when[0] fighting[-2] armed[0] men[0] having[0] buildings[0] explode[-1] ten[0] feet[0] in[0] front[0] of[0] them[0] or[0] flying[0] through[0] the[0] air[0] in[0] matrix[0] slow[0] motion[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and while the entourage spends 90 minutes romping around in cleavage-busting wetsuits , cleavage-busting waitress uniforms , and cleavage-busting wet t-shirts , they scarcely succeed in resembling so much as a group of annoying , drunk sorority girls , the kind who hit on everybody at a party . 	and while the entourage spends 90 minutes romping around in cleavage-busting wetsuits , cleavage-busting waitress uniforms , and cleavage-busting wet t-shirts , they scarcely succeed in resembling so much as a group of annoying , drunk sorority girls , the kind who hit on everybody at a party .	3	-3	 and[0] while[0] the[0] entourage[0] spends[0] 90[0] minutes[0] romping[0] around[0] in[0] cleavage[0] busting[0] wetsuits[0] cleavage[0] busting[0] waitress[0] uniforms[0] and[0] cleavage[0] busting[0] wet[0] t[0] shirts[0] they[0] scarcely[0] succeed[2] in[0] resembling[0] so[0] much[0] as[0] a[0] group[0] of[0] annoying[-2] drunk[-1] sorority[0] girls[0] the[0] kind[1] who[0] hit[0] on[0] everybody[0] at[0] a[0] party[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the actual plot revolves around the ridiculous story of a millionaire computer engineer -- the great sam rockwell -- who gets kidnapped by a mysterious rival computer company . 	the actual plot revolves around the ridiculous story of a millionaire computer engineer - the great sam rockwell - who gets kidnapped by a mysterious rival computer company .	3	-3	 the[0] actual[0] plot[0] revolves[0] around[0] the[0] ridiculous[-2] story[0] of[0] a[0] millionaire[0] computer[0] engineer[0] the[0] great[2] sam[0] rockwell[0] who[0] gets[0] kidnapped[0] by[0] a[0] mysterious[0] rival[-1] computer[0] company[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
