what are the warning signs of a * terrible * movie ? 	Translation	Positive	Negative	EmotionRationale
making it's debut at the dollar theater ? 	making it's debut at the dollar theater ?	1	-1	 making[0] it's[0] debut[0] at[0] the[0] dollar[0] theater[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
locally , chairman of the board did just that . 	locally , chairman of the board did just that .	1	-1	 locally[0] chairman[0] of[0] the[0] board[0] did[0] just[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
having the annoying prop comic scott thompson ( better known as carrot top ) in the lead role ? 	having the annoying prop comic scot thompson ( better known as carrot top ) in the lead role ?	1	-3	 having[0] the[0] annoying[-2] prop[0] comic[0] scott/scot[0] thompson[0] better[0] known[0] as[0] carrot[0] top[0] in[0] the[0] lead[0] role[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
chairman of the board , once again . 	chairman of the board , once again .	1	-1	 chairman[0] of[0] the[0] board[0] once[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how about an overly exhausted , paper thin plot approached with utter incompetence ? 	how about an overly exhausted , paper thin plot approached with utter incompetence ?	1	-3	 how[0] about[0] an[0] overly[0] exhausted[-1] paper[0] thin[0] plot[0] approached[0] with[0] utter[0] incompetence[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
did somebody say chairman of the board ? 	did somebody say chairman of the board ?	1	-1	 did[0] somebody[0] say[0] chairman[0] of[0] the[0] board[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's right , carrot top's long dreaded major motion picture debut ( at least for a starring role ) is poking up in a handful of theaters across the country . 	that's right , carrot top's long dreaded major motion picture debut ( at least for a starring role ) is poking up in a handful of theaters across the country .	1	-4	 that's[0] right[0] carrot[0] top's[0] long[0] dreaded[-3] major[0] motion[0] picture[0] debut[0] at[0] least[0] for[0] a[0] starring[0] role[0] is[0] poking[0] up[0] in[0] a[0] handful[0] of[0] theaters[0] across[0] the[0] country[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
chairman of the board stars the obnoxious , wannabe-zany king of redheaded standup comics as a lazy but creative , inventive but uneventful generation x- er named edison . 	chairman of the board stars the obnoxious , wannabe-zany king of redheaded standup comics as a lazy but creative , inventive but uneventful generation x- er named edison .	2	-3	 chairman[0] of[0] the[0] board[0] stars[0] the[0] obnoxious[-2] wannabe[0] zany[0] king[0] of[0] redheaded[0] standup[0] comics[0] as[0] a[0] lazy[-1] but[0] creative[0] inventive[0] but[0] uneventful[0] generation[0] x[1] er[0] named[0] edison[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
living with a pair of surfer dudes in a small , rented house , edison bounces from job to job , always squandering away the money on his eccentric ( to say the least ) inventions and ignoring crucial responsibilities such as rent . 	living with a pair of surfer dudes in a small , rented house , edison bounces from job to job , always squandering away the money on his eccentric ( to say the least ) inventions and ignoring crucial responsibilities such as rent .	1	-2	 living[0] with[0] a[0] pair[0] of[0] surfer[0] dudes[0] in[0] a[0] small[0] rented[0] house[0] edison[0] bounces[0] from[0] job[0] to[0] job[0] always[0] squandering[-1] away[0] the[0] money[0] on[0] his[0] eccentric[-1] to[0] say[0] the[0] least[0] inventions[0] and[0] ignoring[0] crucial[0] responsibilities[0] such[0] as[0] rent[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this has the crabby landlady , ms . krubavitch ( estelle harris , best known as george constanza's mother on " seinfeld " ) , threatening an eviction if past due expenses aren't furnished post haste . 	this has the crabby landlady , ms .<br> krubavitch ( estelle harris , best known as george constanza's mother on " seinfeld " ) , threatening an eviction if past due expenses aren't furnished post haste .	2	-3	 this[0] has[0] the[0] crabby[0] landlady[0] ms[0] [[Sentence=-1,1=word max, 1-5]] krubavitch[0] estelle[0] harris[0] best[1] known[0] as[0] george[0] constanza's[0] mother[0] on[0] seinfeld[0] threatening[-2] an[0] eviction[-2] if[0] past[0] due[0] expenses[0] aren't[0] furnished[0] post[0] haste[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
as luck would have it , edison soon meets armand mcmillan ( jack warden ) , an old surfer dude who just so happens to be president of the multi-million dollar mcmillan industries . 	as luck would have it , edison soon meets armand mcmillan ( jack warden ) , an old surfer dude who just so happens to be president of the multi-million dollar mcmillan industries .	3	-1	 as[0] luck[2] would[0] have[0] it[0] edison[0] soon[0] meets[0] armand[0] mcmillan[0] jack[0] warden[0] an[0] old[0] surfer[0] dude[0] who[0] just[0] so[0] happens[0] to[0] be[0] president[0] of[0] the[0] multi[0] million[0] dollar[0] mcmillan[0] industries[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sharing a passion for more than just riding waves , armand is deeply impacted by the young inventor's notebook of dreams and ideas , and when the old man dies soon afterward , edison learns he is named a benefactor in armand's will . 	sharing a passion for more than just riding waves , armand is deeply impacted by the young inventor's notebook of dreams and ideas , and when the old man dies soon afterward , edison learns he is named a benefactor in armand's will .	3	-1	 sharing[0] a[0] passion[2] for[0] more[0] than[0] just[0] riding[0] waves[0] armand[0] is[0] deeply[0] impacted[0] by[0] the[0] young[0] inventor's[0] notebook[0] of[0] dreams[0] and[0] ideas[0] and[0] when[0] the[0] old[0] man[0] dies[0] soon[0] afterward[0] edison[0] learns[0] he[0] is[0] named[0] a[0] benefactor[0] in[0] armand's[0] will[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
predictably , edison acquires the entire corporation and has to maintain productivity with absolutely no knowledge of the business world . 	predictably , edison acquires the entire corporation and has to maintain productivity with absolutely no knowledge of the business world .	1	-1	 predictably[0] edison[0] acquires[0] the[0] entire[0] corporation[0] and[0] has[0] to[0] maintain[0] productivity[0] with[0] absolutely[0] no[0] knowledge[0] of[0] the[0] business[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
predictably , there is a bitter nephew ( larry miller ) whose lesser inheritance fuels resentment that will lead to an elaborate sabotage plot . 	predictably , there is a bitter nephew ( larry miller ) whose lesser inheritance fuels resentment that will lead to an elaborate sabotage plot .	1	-3	 predictably[0] there[0] is[0] a[0] bitter[-1] nephew[0] larry[0] miller[0] whose[0] lesser[0] inheritance[0] fuels[0] resentment[-2] that[0] will[0] lead[0] to[0] an[0] elaborate[0] sabotage[-1] plot[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
predictably , there is an attractive employee ( courtney thorne-smith ) whose initial repulsion will transform into love for our doofy protagonist . 	predictably , there is an attractive employee ( courtney thorne-smith ) whose initial repulsion will transform into love for our doofy protagonist .	3	-1	 predictably[0] there[0] is[0] an[0] attractive[1] employee[0] courtney[0] thorne[0] smith[0] whose[0] initial[0] repulsion[0] will[0] transform[0] into[0] love[2] for[0] our[0] doofy[0] protagonist[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
