this is the first film in what would become the most successful series of horror films of all time . 	Translation	Positive	Negative	EmotionRationale
a fair warning to those of you who might be inclined to watch this movie for the first appearance of everyone's favorite goalie-mask-wearing homicidal maniac . 	a fair warning to those of you who might be inclined to watch this movie for the first appearance of everyone's favorite goalie-mask-wearing homicidal maniac .	2	-3	 a[0] fair[0] warning[0] to[0] those[0] of[0] you[0] who[0] might[0] be[0] inclined[0] to[0] watch[0] this[0] movie[0] for[0] the[0] first[0] appearance[0] of[0] everyone's[0] favorite[1] goalie[0] mask[0] wearing[0] homicidal[0] maniac[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
jason , the guy who single handedly controlled the overpopulation problem around the crystal lake area , doesn't start his quest to find the most interesting household item with which to kill someone until the sequel . 	jason , the guy who single handedly controlled the overpopulation problem around the crystal lake area , doesn't start his quest to find the most interesting household item with which to kill someone until the sequel .	2	-2	 jason[0] the[0] guy[0] who[0] single[0] handedly[0] controlled[0] the[0] overpopulation[0] problem[-1] around[0] the[0] crystal[0] lake[0] area[0] doesn't[0] start[0] his[0] quest[0] to[0] find[0] the[0] most[0] interesting[1] household[0] item[0] with[0] which[0] to[0] kill[-1] someone[0] until[0] the[0] sequel[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
while he does have a small role in this film , we the audience have to depend on another blood thirsty maniac to rack up the body count . 	while he does have a small role in this film , we the audience have to depend on another blood thirsty maniac to rack up the body count .	1	-3	 while[0] he[0] does[0] have[0] a[0] small[0] role[0] in[0] this[0] film[0] we[0] the[0] audience[0] have[0] to[0] depend[0] on[0] another[0] blood[0] thirsty[-1] maniac[-2] to[0] rack[0] up[0] the[0] body[0] count[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the plot , like every other friday the 13th movie goes something like this -- crazed killer murders as many unsuspecting teenagers as he/she/it possibly can in the space of a 90 minute movie . 	the plot , like every other friday the 13th movie goes something like this - crazed killer murders as many unsuspecting teenagers as he/she/it possibly can in the space of a 90 minute movie .	2	-4	 the[0] plot[0] like[1] every[0] other[0] friday[0] the[0] 13th[0] movie[0] goes[0] something[0] like[1] this[0] crazed[0] killer[-1] murders[-3] as[0] many[0] unsuspecting[0] teenagers[0] as[0] he/she/it[0] possibly[0] can[0] in[0] the[0] space[0] of[0] a[0] 90[0] minute[0] movie[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the reasons that the afore mentioned unsuspecting teenagers come into contact with the bloodthirsty killer are usually of little importance to the story . 	the reasons that the afore mentioned unsuspecting teenagers come into contact with the bloodthirsty killer are usually of little importance to the story .	1	-2	 the[0] reasons[0] that[0] the[0] afore[0] mentioned[0] unsuspecting[0] teenagers[0] come[0] into[0] contact[0] with[0] the[0] bloodthirsty[-1] killer[-1] are[0] usually[0] of[0] little[0] importance[0] to[0] the[0] story[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but for those of you out there that might actually care about such trivial matters in a movie such as a plot , here are the basics . 	but for those of you out there that might actually care about such trivial matters in a movie such as a plot , here are the basics .	2	-2	 but[0] for[0] those[0] of[0] you[0] out[0] there[0] that[0] might[0] actually[0] care[1] about[0] such[0] trivial[-1] matters[0] in[0] a[0] movie[0] such[0] as[0] a[0] plot[0] here[0] are[0] the[0] basics[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a bunch of unsuspecting teens get a summer job at a long closed summer camp . 	a bunch of unsuspecting teens get a summer job at a long closed summer camp .	1	-1	 a[0] bunch[0] of[0] unsuspecting[0] teens[0] get[0] a[0] summer[0] job[0] at[0] a[0] long[0] closed[0] summer[0] camp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they are days away from the arrival of the kids and they are spending their time fixing the place up and making sure it is ready for the kids . 	they are days away from the arrival of the kids and they are spending their time fixing the place up and making sure it is ready for the kids .	1	-1	 they[0] are[0] days[0] away[0] from[0] the[0] arrival[0] of[0] the[0] kids[0] and[0] they[0] are[0] spending[0] their[0] time[0] fixing[0] the[0] place[0] up[0] and[0] making[0] sure[0] it[0] is[0] ready[0] for[0] the[0] kids[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sadly , they start being butchered one by one by the bloodthirsty killer . 	sadly , they start being butchered one by one by the bloodthirsty killer .	1	-2	 sadly[-1] they[0] start[0] being[0] butchered[0] one[0] by[0] one[0] by[0] the[0] bloodthirsty[-1] killer[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at this point i would usually say something about the quality of acting , directing or maybe something about the high quality of the production . 	at this point i would usually say something about the quality of acting , directing or maybe something about the high quality of the production .	1	-1	 at[0] this[0] point[0] i[0] would[0] usually[0] say[0] something[0] about[0] the[0] quality[0] of[0] acting[0] directing[0] or[0] maybe[0] something[0] about[0] the[0] high[0] quality[0] of[0] the[0] production[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
