the word to describe sharon stone is " wonder " . 	Translation	Positive	Negative	EmotionRationale
not that she _is_ a wonder , but rather that i wonder how she can be so inconsistent . 	not that she _is_ a wonder , but rather that i wonder how she can be so inconsistent .	1	-2	 not[0] that[0] she[0] _is_[0] a[0] wonder[0] but[0] rather[0] that[0] i[0] wonder[0] how[0] she[0] can[0] be[0] so[0] inconsistent[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she has a dynamic screen presence in " basic instinct " , turns in a surprisingly fine acting job in " casino " , but possesses neither of those here . 	she has a dynamic screen presence in " basic instinct " , turns in a surprisingly fine acting job in " casino " , but possesses neither of those here .	3	-1	 she[0] has[0] a[0] dynamic[1] screen[0] presence[0] in[0] basic[0] instinct[0] turns[0] in[0] a[0] surprisingly[0] fine[2] acting[0] job[0] in[0] casino[0] but[0] possesses[0] neither[0] of[0] those[0] here[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
stone teams up with private school headmaster's wife isabelle adjani to kill adjani's thoroughly unlikable husband ( chazz palminteri ) . 	stone teams up with private school headmaster's wife isabelle adjani to kill adjani's thoroughly unlikable husband ( chaz palminteri ) .	1	-2	 stone[0] teams[0] up[0] with[0] private[0] school[0] headmaster's[0] wife[0] isabelle[0] adjani[0] to[0] kill[-1] adjani's[0] thoroughly[0] unlikable[0] husband[0] chazz/chaz[0] palminteri[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in a comedy of errors and unexpected twists straight out of hitchcock ( as in  homage to' [read " steal from " ] ) , it turns out that someone saw them or he's not dead or maybe . . . 	in a comedy of errors and unexpected twists straight out of hitchcock ( as in  homage to' [read " steal from " ] ) , it turns out that someone saw them or he's not dead or maybe .<br> .<br> .	3	-3	 in[0] a[0] comedy[0] of[0] errors[-1] and[0] unexpected[0] twists[0] straight[0] out[0] of[0] hitchcock[0] as[0] in[0] homage[0] to'[0] [read[0] steal[-2] from[0] ][0] it[0] turns[0] out[0] that[0] someone[0] saw[0] them[0] or[0] he's[0] not[0] dead[-2][NegatedDueToPreviousWord] or[0] maybe[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
kathy bates turns in a credible , if unspectacular , performance as an investigative police detective . 	kathy bates turns in a credible , if unspectacular , performance as an investigative police detective .	1	-1	 kathy[0] bates[0] turns[0] in[0] a[0] credible[0] if[0] unspectacular[0] performance[0] as[0] an[0] investigative[0] police[0] detective[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her character is a bit dull but realistic , although her actions at the end are puzzling . 	her character is a bit dull but realistic , although her actions at the end are puzling .	1	-2	 her[0] character[0] is[0] a[0] bit[0] dull[-1] but[0] realistic[0] although[0] her[0] actions[0] at[0] the[0] end[0] are[0] puzzling/puzling[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
adjani is more than satisfactory as the timid beaten spouse driven to desperation . 	adjani is more than satisfactory as the timid beaten spouse driven to desperation .	2	-3	 adjani[0] is[0] more[0] than[0] satisfactory[1] as[0] the[0] timid[-1] beaten[0] spouse[0] driven[0] to[0] desperation[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's stone that is a disappointment among the actors . 	it's stone that is a disappointment among the actors .	1	-2	 it's[0] stone[0] that[0] is[0] a[0] disappointment[-1] among[0] the[0] actors[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
how can she be the epitome of a femme fatale in previous films and come off as a blank in this one ? 	how can she be the epitome of a femme fatale in previous films and come off as a blank in this one ?	1	-3	 how[0] can[0] she[0] be[0] the[0] epitome[0] of[0] a[0] femme[0] fatale[-2] in[0] previous[0] films[0] and[0] come[0] off[0] as[0] a[0] blank[0] in[0] this[0] one[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
costumed in skin-tight clothes and looking down her nose at everyone , she is someone you would want to avoid because she is boring , not enticingly dangerous . 	costumed in skin-tight clothes and looking down her nose at everyone , she is someone you would want to avoid because she is boring , not enticingly dangerous .	2	-2	 costumed[0] in[0] skin[0] tight[0] clothes[0] and[0] looking[0] down[0] her[0] nose[0] at[0] everyone[0] she[0] is[0] someone[0] you[0] would[0] want[0] to[0] avoid[-1] because[0] she[0] is[0] boring[-1] not[0] enticingly[0] dangerous[-1][NegatedDueToPreviousWord] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
