in " the astronaut's wife , " charlize theron plays a young woman with a nervous demeanor , pixie-hairdo and demon spawn unwittingly growing in her belly . 	Translation	Positive	Negative	EmotionRationale
if only her name wasn't jillian , the makers of this embarrassing bit of sci-fi shlock could have come up with a far more appropriate title : " rosemary's species . " 	if only her name wasn't jillian , the makers of this embarrassing bit of sci-fi shlock could have come up with a far more appropriate title : " rosemary's species .<br> "	1	-3	 if[0] only[0] her[0] name[0] wasn't[0] jillian[0] the[0] makers[0] of[0] this[0] embarrassing[-2] bit[0] of[0] sci[0] fi[0] shlock[0] could[0] have[0] come[0] up[0] with[0] a[0] far[0] more[0] appropriate[0] title[0] rosemary's[0] species[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what a shame it is to see such a gifted actress as theron - oscar-worthy in " the devil's advocate " - struggle with the lamest rip-off of a screendom classic in recent memory . 	what a shame it is to see such a gifted actress as theron - oscar-worthy in " the devil's advocate " - struggle with the lamest rip-off of a screendom classic in recent memory .	1	-3	 what[0] a[0] shame[-2] it[0] is[0] to[0] see[0] such[0] a[0] gifted[0] actress[0] as[0] theron[0] oscar[0] worthy[0] in[0] the[0] devil's[-1] advocate[0] struggle[-1] with[0] the[0] lamest[-2] rip[-1] off[0] of[0] a[0] screendom[0] classic[0] in[0] recent[0] memory[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
ok , maybe " the astronaut's wife " deviates from " rosemary's baby " turf for its set-up , which finds our heroine terrorized not by satan's minions but her possessed husband ( johnny depp ) , a shuttle pilot whose mission mishap leaves him , um , a changed man . 	ok , maybe " the astronaut's wife " deviates from " rosemary's baby " turf for its set-up , which finds our heroine terrorized not by satan's minions but her possessed husband ( johnny dep ) , a shuttle pilot whose mission mishap leaves him , um , a changed man .	3	-3	 ok[0] maybe[0] the[0] astronaut's[0] wife[0] deviates[0] from[0] rosemary's[0] baby[1] turf[0] for[0] its[0] set[0] up[0] which[0] finds[0] our[0] heroine[2] terrorized[-2] not[0] by[0] satan's[-2][NegatedDueToPreviousWord] minions[0] but[0] her[0] possessed[0] husband[0] johnny[0] depp/dep[0] a[0] shuttle[0] pilot[0] whose[0] mission[0] mishap[-1] leaves[0] him[0] um[0] a[0] changed[0] man[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
predictably , he and the missus get it on in a sequence best described as unpleasant , his evil seed impregnating her with twins and realizing that great " bowfinger " line about " alien love . " 	predictably , he and the missus get it on in a sequence best described as unpleasant , his evil seed impregnating her with twins and realizing that great " bowfinger " line about " alien love .<br> "	3	-3	 predictably[0] he[0] and[0] the[0] missus[0] get[0] it[0] on[0] in[0] a[0] sequence[0] best[1] described[0] as[0] unpleasant[-2] his[0] evil[-2] seed[0] impregnating[0] her[0] with[0] twins[0] and[0] realizing[0] that[0] great[2] bowfinger[0] line[0] about[0] alien[-1] love[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
theron's " advocate " character faced a similar dilemma , the horror there resonating strongly . 	theron's " advocate " character faced a similar dilemma , the horror there resonating strongly .	1	-4	 theron's[0] advocate[0] character[0] faced[0] a[0] similar[0] dilemma[-1] the[0] horror[-3] there[0] resonating[0] strongly[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 " astronaut " provides only artificial anxiety . 	 " astronaut " provides only artificial anxiety .	1	-3	 astronaut[0] provides[0] only[0] artificial[0] anxiety[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
last year's equally noodle-headed " species ii " spun a similar premise about the breeding habits of an extraterrestrial on earth , but at least that movie more or less knew it was garbage . 	last year's equally noodle-headed " species i " spun a similar premise about the breeding habits of an extraterrestrial on earth , but at least that movie more or less knew it was garbage .	1	-3	 last[0] year's[0] equally[0] noodle[0] headed[0] species[0] ii/i[0] spun[0] a[0] similar[0] premise[0] about[0] the[0] breeding[0] habits[0] of[0] an[0] extraterrestrial[0] on[0] earth[0] but[0] at[0] least[0] that[0] movie[0] more[0] or[0] less[0] knew[0] it[0] was[0] garbage[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " the astronaut's wife " is grave and humor-free , passing its increasingly silly story off as full-fledged serious , right down to an ambiguous finale that isn't even going to satisfy those who've stayed with it thus far . 	 " the astronaut's wife " is grave and humor-free , passing its increasingly silly story off as full-fledged serious , right down to an ambiguous finale that isn't even going to satisfy those who've stayed with it thus far .	3	-3	 the[0] astronaut's[0] wife[0] is[0] grave[-2] and[0] humor[2] free[0] passing[0] its[0] increasingly[0] silly[-1] story[0] off[0] as[0] full[0] fledged[0] serious[-1] right[0] down[0] to[0] an[0] ambiguous[-1] finale[0] that[0] isn't[0] even[0] going[0] to[0] satisfy[1] those[0] who've[0] stayed[0] with[0] it[0] thus[0] far[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
here's a hint : it involves lots of water , electrical equipment , a special effect from " the abyss " and the tots who doubled up as adam sandler's co-star in " big daddy . " 	here's a hint : it involves lots of water , electrical equipment , a special effect from " the abyss " and the tots who doubled up as adam sandler's co-star in " big daddy .<br> "	2	-2	 here's[0] a[0] hint[0] it[0] involves[0] lots[0] of[0] water[0] electrical[0] equipment[0] a[0] special[1] effect[0] from[0] the[0] abyss[-1] and[0] the[0] tots[0] who[0] doubled[0] up[0] as[0] adam[0] sandler's[0] co[0] star[0] in[0] big[0] daddy[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
draw your own conclusions . 	draw your own conclusions .	1	-1	 draw[0] your[0] own[0] conclusions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
