much ado about nothing . 	Translation	Positive	Negative	EmotionRationale
ah , how sweet the irony ! 	ah , how sweet the irony !	2	-2	 ah[0] how[0] sweet[1] the[0] irony[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's accepted wisdom in some circles - among english literature nuts , mainly - that whenever a critic knocks shakespeare they are only doing so through ignorance . 	it's accepted wisdom in some circles - among english literature nuts , mainly - that whenever a critic knocks shakespeare they are only doing so through ignorance .	1	-3	 it's[0] accepted[0] wisdom[0] in[0] some[0] circles[0] among[0] english[0] literature[0] nuts[0] mainly[0] that[0] whenever[0] a[0] critic[-1] knocks[0] shakespeare[0] they[0] are[0] only[0] doing[0] so[0] through[0] ignorance[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he just doesn't " understand " shakespeare , you will hear them say . 	he just doesn't " understand " shakespeare , you will hear them say .	1	-1	 he[0] just[0] doesn't[0] understand[0] shakespeare[0] you[0] will[0] hear[0] them[0] say[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the bard's work is apparently beyond criticism . 	the bard's work is apparently beyond criticism .	1	-2	 the[0] bard's[0] work[0] is[0] apparently[0] beyond[0] criticism[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what a load of old cobblers . 	what a load of old cobblers .	1	-1	 what[0] a[0] load[0] of[0] old[0] cobblers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if these arbiters of public taste think kenneth branaugh's film of shakespeare's " comedy " much ado about nothing is comedy in any modern sense of the word , it's time to get a life . 	if these arbiters of public taste think kenneth branaugh's film of shakespeare's " comedy " much ado about nothing is comedy in any modern sense of the word , it's time to get a life .	1	-1	 if[0] these[0] arbiters[0] of[0] public[0] taste[0] think[0] kenneth[0] branaugh's[0] film[0] of[0] shakespeare's[0] comedy[0] much[0] ado[0] about[0] nothing[0] is[0] comedy[0] in[0] any[0] modern[0] sense[0] of[0] the[0] word[0] it's[0] time[0] to[0] get[0] a[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
get monty python . 	get monty python .	1	-1	 get[0] monty[0] python[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
get woody allen . 	get woody allen .	1	-1	 get[0] woody[0] allen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
get john waters . 	get john waters .	1	-1	 get[0] john[0] waters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whatever . 	whatever .	1	-1	 whatever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just get a real taste of some clever , witty , risky comedy . 	just get a real taste of some clever , witty , risky comedy .	1	-2	 just[0] get[0] a[0] real[0] taste[0] of[0] some[0] clever[0] witty[0] risky[-1] comedy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and banish this nonsense to where it belongs . 	and banish this nonsense to where it belongs .	1	-2	 and[0] banish[-1] this[0] nonsense[-1] to[0] where[0] it[0] belongs[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
drama and tragedy was shakespeare's strength . 	drama and tragedy was shakespeare's strength .	1	-3	 drama[0] and[0] tragedy[-2] was[0] shakespeare's[0] strength[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
to my sensibilities - and i'm no stick in the mud - much ado about nothing resonates with no spark whatsoever . 	to my sensibilities - and i'm no stick in the mud - much ado about nothing resonates with no spark whatsoever .	1	-1	 to[0] my[0] sensibilities[0] and[0] i'm[0] no[0] stick[0] in[0] the[0] mud[0] much[0] ado[0] about[0] nothing[0] resonates[0] with[0] no[0] spark[0] whatsoever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no kidding : this film ranks among the most embarrassing two hours i have ever spent in a cinema in my 20 years of movie going . 	no kidding : this film ranks among the most embarrassing two hours i have ever spent in a cinema in my 20 years of movie going .	1	-3	 no[0] kidding[0] this[0] film[0] ranks[0] among[0] the[0] most[0] embarrassing[-2] two[0] hours[0] i[0] have[0] ever[0] spent[0] in[0] a[0] cinema[0] in[0] my[0] 20[0] years[0] of[0] movie[0] going[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the only thing that stopped me walking out was loyalty to my lady friend , as this was our day out and i hadn't seen her in ages . 	the only thing that stopped me walking out was loyalty to my lady friend , as this was our day out and i hadn't seen her in ages .	2	-1	 the[0] only[0] thing[0] that[0] stopped[0] me[0] walking[0] out[0] was[0] loyalty[1] to[0] my[0] lady[0] friend[1] as[0] this[0] was[0] our[0] day[0] out[0] and[0] i[0] hadn't[0] seen[0] her[0] in[0] ages[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
