disney's " air bud " tells a boy-and-his-dog story with a twist -- the pooch is quite an accomplished basketball player . 	Translation	Positive	Negative	EmotionRationale
granted , for a family comedy , it's not a very funny or successful idea to begin with , but it doesn't seem to matter -- " air bud " is surprisingly solemn . 	granted , for a family comedy , it's not a very funny or successful idea to begin with , but it doesn't seem to matter - " air bud " is surprisingly solemn .	3	-3	 granted[0] for[0] a[0] family[0] comedy[0] it's[0] not[0] a[0] very[0] funny[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] or[0] successful[2] idea[0] to[0] begin[0] with[0] but[0] it[0] doesn't[0] seem[0] to[0] matter[0] air[0] bud[0] is[0] surprisingly[0] solemn[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
save for occasional moments of forced slapstick , the movie wags its tale with a straight face -- not a very enjoyable approach . 	save for occasional moments of forced slapstick , the movie wags its tale with a straight face - not a very enjoyable approach .	2	-4	 save[1] for[0] occasional[0] moments[0] of[0] forced[0] slapstick[-1] the[0] movie[0] wags[0] its[0] tale[0] with[0] a[0] straight[0] face[0] not[0] a[0] very[0] enjoyable[2][1 LastWordBoosterStrength][NegatedDueToPreviousWord] approach[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
if " air bud " had realized its own absurdity , then it possibly could have been better . 	if " air bud " had realized its own absurdity , then it possibly could have been better .	1	-2	 if[0] air[0] bud[0] had[0] realized[0] its[0] own[0] absurdity[-1] then[0] it[0] possibly[0] could[0] have[0] been[0] better[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
here , we're actually asked to cheer a moment when the dog marches out to save the big game , clad in two pairs of sneakers and even a jersey . 	here , we're actually asked to cheer a moment when the dog marches out to save the big game , clad in two pairs of sneakers and even a jersey .	2	-2	 here[0] we're[0] actually[0] asked[0] to[0] cheer[1] a[0] moment[0] when[0] the[0] dog[0] marches[0] out[0] to[0] save[1] the[0] big[0] game[0] clad[0] in[0] two[0] pairs[0] of[0] sneakers[-1] and[0] even[0] a[0] jersey[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
its number ? 	its number ?	1	-1	 its[0] number[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
k9 . 	k9 .	1	-1	 k9[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yeah , whatever . 	yeah , whatever .	1	-1	 yeah[0] whatever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie opens as golden retriever buddy ( as himself ) escapes from his current owner , abusive clown-for-hire norm snively ( michael jeter ) . 	the movie opens as golden retriever buddy ( as himself ) escapes from his current owner , abusive clown-for-hire norm snively ( michael jeter ) .	1	-4	 the[0] movie[0] opens[0] as[0] golden[0] retriever[0] buddy[0] as[0] himself[0] escapes[0] from[0] his[0] current[0] owner[0] abusive[-3] clown[0] for[0] hire[0] norm[0] snively[0] michael[0] jeter[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he ends up in fernwell , washington , where mopey new-kid-on-the-block josh ( kevin zegers ) is trying to cope with the move and the recent death of his father . 	he ends up in fernwell , washington , where mopey new-kid-on-the-block josh ( kevin zegers ) is trying to cope with the move and the recent death of his father .	1	-3	 he[0] ends[0] up[0] in[0] fernwell[0] washington[0] where[0] mopey[0] new[0] kid[0] on[0] the[0] block[-1] josh[0] kevin[0] zegers[0] is[0] trying[0] to[0] cope[0] with[0] the[0] move[0] and[0] the[0] recent[0] death[-2] of[0] his[0] father[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
buddy , kevin . 	buddy , kevin .	1	-1	 buddy[0] kevin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
