confucius once said , " governing a nation is like cooking a small fish -- don't overdo it . " 	Translation	Positive	Negative	EmotionRationale
his maxim might be easily applied to writing a comedy script , for quantity over quality is one of the worst mistakes an amateur scribe can make . 	his maxim might be easily applied to writing a comedy script , for quantity over quality is one of the worst mistakes an amateur scribe can make .	1	-3	 his[0] maxim[0] might[0] be[0] easily[0] applied[0] to[0] writing[0] a[0] comedy[0] script[0] for[0] quantity[0] over[0] quality[0] is[0] one[0] of[0] the[0] worst[-2] mistakes[-1] an[0] amateur[0] scribe[0] can[0] make[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
granted , mike judge , writer-director of the workplace satire office space isn't exactly an amateur ( his most infamous work , the mtv series " beavis and butt-head " was pure gold for its network ) . 	granted , mike judge , writer-director of the workplace satire office space isn't exactly an amateur ( his most infamous work , the mtv series " beavis and butt-head " was pure gold for its network ) .	1	-2	 granted[0] mike[0] judge[0] writer[0] director[0] of[0] the[0] workplace[0] satire[0] office[0] space[0] isn't[0] exactly[0] an[0] amateur[0] his[0] most[0] infamous[-1] work[0] the[0] mtv[0] series[0] beavis[0] and[0] butt[0] head[0] was[0] pure[0] gold[0] for[0] its[0] network[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but unfailingly , judge manages to make some rather inexcusable mistakes in office space by spreading an iffy plot over too much ground . 	but unfailingly , judge manages to make some rather inexcusable mistakes in office space by spreading an iffy plot over too much ground .	1	-2	 but[0] unfailingly[0] judge[0] manages[0] to[0] make[0] some[0] rather[0] inexcusable[0] mistakes[-1] in[0] office[0] space[0] by[0] spreading[0] an[0] iffy[0] plot[0] over[0] too[0] much[0] ground[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the iffiness in judge's plot -- a group of coworkers plan the downfall of their despicable boss -- is not in its appeal . 	the iffiness in judge's plot - a group of coworkers plan the downfall of their despicable boss - is not in its appeal .	1	-4	 the[0] iffiness[0] in[0] judge's[0] plot[0] a[0] group[0] of[0] coworkers[0] plan[0] the[0] downfall[-1] of[0] their[0] despicable[-3] boss[0] is[0] not[0] in[0] its[0] appeal[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in fact , based on the popularity of scott adams' cartoon " dilbert , " which will soon have its own television series , a satirical view of the american workplace is a hot item in hollywood . 	in fact , based on the popularity of scot adams' cartoon " dilbert , " which will soon have its own television series , a satirical view of the american workplace is a hot item in hollywood .	2	-1	 in[0] fact[0] based[0] on[0] the[0] popularity[1] of[0] scott/scot[0] adams'[0] cartoon[0] dilbert[0] which[0] will[0] soon[0] have[0] its[0] own[0] television[0] series[0] a[0] satirical[0] view[0] of[0] the[0] american[0] workplace[0] is[0] a[0] hot[0] item[0] in[0] hollywood[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately the concept lends itself to skit-length sequences which would be more at home on the set of " saturday night live " rather than a full-length feature . 	unfortunately the concept lends itself to skit-length sequences which would be more at home on the set of " saturday night live " rather than a full-length feature .	1	-2	 unfortunately[-1] the[0] concept[0] lends[0] itself[0] to[0] skit[0] length[0] sequences[0] which[0] would[0] be[0] more[0] at[0] home[0] on[0] the[0] set[0] of[0] saturday[0] night[0] live[0] rather[0] than[0] a[0] full[0] length[0] feature[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the most convincing evidence of this are the trailers for office space , which feature almost all of the movie's top content ; this leaves the actual picture appearing very deflated . 	the most convincing evidence of this are the trailers for office space , which feature almost all of the movie's top content ; this leaves the actual picture appearing very deflated .	1	-1	 the[0] most[0] convincing[0] evidence[0] of[0] this[0] are[0] the[0] trailers[0] for[0] office[0] space[0] which[0] feature[0] almost[0] all[0] of[0] the[0] movie's[0] top[0] content[0] this[0] leaves[0] the[0] actual[0] picture[0] appearing[0] very[0] deflated[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
other evidence of office space's failure to work are its lack of good jokes . 	other evidence of office space's failure to work are its lack of good jokes .	2	-3	 other[0] evidence[0] of[0] office[0] space's[0] failure[-2] to[0] work[0] are[0] its[0] lack[-1] of[0] good[1] jokes[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the comedy is marginally funny at best , but not enough to get a packed house of theater-goers to laugh out loud . 	the comedy is marginally funny at best , but not enough to get a packed house of theater-goers to laugh out loud .	2	-1	 the[0] comedy[0] is[0] marginally[0] funny[1] at[0] best[1] but[0] not[0] enough[0] to[0] get[0] a[0] packed[0] house[0] of[0] theater[0] goers[0] to[0] laugh[1] out[0] loud[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the material in the movie is on-key for an older demographic than judge is used to targeting , and this could partially explain his work here . 	the material in the movie is on-key for an older demographic than judge is used to targeting , and this could partially explain his work here .	1	-1	 the[0] material[0] in[0] the[0] movie[0] is[0] on[0] key[0] for[0] an[0] older[0] demographic[0] than[0] judge[0] is[0] used[0] to[0] targeting[0] and[0] this[0] could[0] partially[0] explain[0] his[0] work[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , the movie is loaded with too many misfires -- including the token plot -- to allow for any excuse . 	however , the movie is loaded with too many misfires - including the token plot - to allow for any excuse .	1	-1	 however[0] the[0] movie[0] is[0] loaded[0] with[0] too[0] many[0] misfires[0] including[0] the[0] token[0] plot[0] to[0] allow[0] for[0] any[0] excuse[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot centers around three or four cubicled engineers , headed up by peter gibbons ( ron livingston ) , at a company named initech . 	the plot centers around three or four cubicled engineers , headed up by peter gibbons ( ron livingston ) , at a company named initech .	1	-1	 the[0] plot[0] centers[0] around[0] three[0] or[0] four[0] cubicled[0] engineers[0] headed[0] up[0] by[0] peter[0] gibbons[0] ron[0] livingston[0] at[0] a[0] company[0] named[0] initech[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after the movie elaborately establishes the miserable working conditions at initech , the movie introduces us to two consultants ( john c . mcginley and paul willson ) which are in charge of " downsizing " the company's payroll . 	after the movie elaborately establishes the miserable working conditions at initech , the movie introduces us to two consultants ( john c .<br> mcginley and paul willson ) which are in charge of " downsizing " the company's payroll .	1	-3	 after[0] the[0] movie[0] elaborately[0] establishes[0] the[0] miserable[-2] working[0] conditions[0] at[0] initech[0] the[0] movie[0] introduces[0] us[0] to[0] two[0] consultants[0] john[0] c[0] [[Sentence=-3,1=word max, 1-5]] mcginley[0] and[0] paul[0] willson[0] which[0] are[0] in[0] charge[-1] of[0] downsizing[0] the[0] company's[0] payroll[0] [[Sentence=-2,1=word max, 1-5]][[[1,-3 max of sentences]]]
when peter and his gang learns of this , as well as the reason behind it -- so their smooth talking boss bill lumbergh ( gary cole ) 's stock will go up -- they set about creating a plan to see his downfall . 	when peter and his gang learns of this , as well as the reason behind it - so their smooth talking boss bill lumbergh ( gary cole ) 's stock will go up - they set about creating a plan to see his downfall .	1	-2	 when[0] peter[0] and[0] his[0] gang[0] learns[0] of[0] this[0] as[0] well[0] as[0] the[0] reason[0] behind[0] it[0] so[0] their[0] smooth[0] talking[0] boss[0] bill[0] lumbergh[0] gary[0] cole[0] 's[0] stock[0] will[0] go[0] up[0] they[0] set[0] about[0] creating[0] a[0] plan[0] to[0] see[0] his[0] downfall[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the circumstances that follow were obviously intended to be hilarious but they come out as anything but . 	the circumstances that follow were obviously intended to be hilarious but they come out as anything but .	3	-1	 the[0] circumstances[0] that[0] follow[0] were[0] obviously[0] intended[0] to[0] be[0] hilarious[2] but[0] they[0] come[0] out[0] as[0] anything[0] but[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a sympathetic cast and a muddled jennifer aniston-as-love-interest subplot are all that keep this one together , but it's definitely missable in lieu of something more intelligent . 	a sympathetic cast and a muddled jennifer aniston-as-love-interest subplot are all that keep this one together , but it's definitely missable in lieu of something more intelligent .	3	-2	 a[0] sympathetic[0] cast[0] and[0] a[0] muddled[-1] jennifer[0] aniston[0] as[0] love[2] interest[1] subplot[0] are[0] all[0] that[0] keep[0] this[0] one[0] together[0] but[0] it's[0] definitely[0] missable[0] in[0] lieu[0] of[0] something[0] more[0] intelligent[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
