what are we going to do with jim carrey ? 	Translation	Positive	Negative	EmotionRationale
viewers of television's " in living color " know this one-man cartoon from such characters as fire marshall bill . 	viewers of television's " in living color " know this one-man cartoon from such characters as fire marshal bill .	1	-1	 viewers[0] of[0] television's[0] in[0] living[0] color[0] know[0] this[0] one[0] man[0] cartoon[0] from[0] such[0] characters[0] as[0] fire[0] marshall/marshal[0] bill[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
viewers also know that " in living color " is a skit-show and that a little of jim carrey goes a long way . 	viewers also know that " in living color " is a skit-show and that a little of jim carrey goes a long way .	1	-1	 viewers[0] also[0] know[0] that[0] in[0] living[0] color[0] is[0] a[0] skit[0] show[0] and[0] that[0] a[0] little[0] of[0] jim[0] carrey[0] goes[0] a[0] long[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , this fact was forgotten by the makers of the carrey comedy ace ventura : pet detective . 	unfortunately , this fact was forgotten by the makers of the carrey comedy ace ventura : pet detective .	1	-2	 unfortunately[-1] this[0] fact[0] was[0] forgotten[0] by[0] the[0] makers[0] of[0] the[0] carrey[0] comedy[0] ace[0] ventura[0] pet[0] detective[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
three writers , including carrey , worked on the slapstick story , which sends a self-styled " pet detective " on the trail of a stolen dolphin . 	three writers , including carrey , worked on the slapstick story , which sends a self-styled " pet detective " on the trail of a stolen dolphin .	1	-2	 three[0] writers[0] including[0] carrey[0] worked[0] on[0] the[0] slapstick[-1] story[0] which[0] sends[0] a[0] self[0] styled[0] pet[0] detective[0] on[0] the[0] trail[0] of[0] a[0] stolen[-1] dolphin[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the missing mammal belongs to the miami dolphins , who need their mascot for the upcoming superbowl . 	the missing mammal belongs to the miami dolphins , who need their mascot for the upcoming superbowl .	1	-1	 the[0] missing[0] mammal[0] belongs[0] to[0] the[0] miami[0] dolphins[0] who[0] need[0] their[0] mascot[0] for[0] the[0] upcoming[0] superbowl[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for plot porpoises , this story works as well as any three stooges short . 	for plot porpoises , this story works as well as any three stooges short .	1	-1	 for[0] plot[0] porpoises[0] this[0] story[0] works[0] as[0] well[0] as[0] any[0] three[0] stooges[0] short[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
carrey gets to do his " official " schtick as he snoops around greater miami . 	carrey gets to do his " official " schtick as he snoops around greater miami .	3	-1	 carrey[0] gets[0] to[0] do[0] his[0] official[0] schtick[0] as[0] he[0] snoops[0] around[0] greater[2] miami[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he leers and sneers , craning his neck to funny effect . 	he leers and sneers , craning his neck to funny effect .	2	-2	 he[0] leers[0] and[0] sneers[-1] craning[0] his[0] neck[0] to[0] funny[1] effect[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he even does his captain kirk impersonation . 	he even does his captain kirk impersonation .	1	-1	 he[0] even[0] does[0] his[0] captain[0] kirk[0] impersonation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
again . 	again .	1	-1	 again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all of this is pretty harmless stuff up until the point that you realize that the writers have absolutely no intention of focusing on anyone * other * than carrey . 	all of this is pretty harmless stuff up until the point that you realize that the writers have absolutely no intention of focusing on anyone * other * than carrey .	3	-1	 all[0] of[0] this[0] is[0] pretty[2] harmless[1] stuff[0] up[0] until[0] the[0] point[0] that[0] you[0] realize[0] that[0] the[0] writers[0] have[0] absolutely[0] no[0] intention[0] of[0] focusing[0] on[0] anyone[0] other[0] than[0] carrey[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 ( suggested alternate title--jim carrey : will do anything for a laugh . ) 	 ( suggested alternate title-jim carrey : will do anything for a laugh .<br> )	2	-1	 suggested[0] alternate[0] title[0] jim[0] carrey[0] will[0] do[0] anything[0] for[0] a[0] laugh[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
export it to france and you may have a hit . 	export it to france and you may have a hit .	1	-1	 export[0] it[0] to[0] france[0] and[0] you[0] may[0] have[0] a[0] hit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as it stands , ace ventura isn't even good kid's stuff . 	as it stands , ace ventura isn't even good kid's stuff .	1	-2	 as[0] it[0] stands[0] ace[0] ventura[0] isn't[0] even[0] good[1][NegatedDueToPreviousWord] kid's[0] stuff[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the profanity count , alone , is too high . 	the profanity count , alone , is too high .	1	-1	 the[0] profanity[0] count[0] alone[0] is[0] too[0] high[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
which is ironic , since children are , probably , carrey's best audience . 	which is ironic , since children are , probably , carrey's best audience .	2	-2	 which[0] is[0] ironic[-1] since[0] children[0] are[0] probably[0] carrey's[0] best[1] audience[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film doesn't even have the goofball charm of chris elliott's recent no-brainer cabin boy . 	the film doesn't even have the goofball charm of chris elliott's recent no-brainer cabin boy .	2	-1	 the[0] film[0] doesn't[0] even[0] have[0] the[0] goofball[0] charm[1] of[0] chris[0] elliott's[0] recent[0] no[0] brainer[0] cabin[0] boy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sure , carrey has his moments . 	sure , carrey has his moments .	1	-1	 sure[0] carrey[0] has[0] his[0] moments[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but what can you say about a film whose high-points include watching carrey slink around to the theme from " mission impossible ? " 	but what can you say about a film whose high-points include watching carrey slink around to the theme from " mission impossible ?<br> "	1	-1	 but[0] what[0] can[0] you[0] say[0] about[0] a[0] film[0] whose[0] high[0] points[0] include[0] watching[0] carrey[0] slink[0] around[0] to[0] the[0] theme[0] from[0] mission[0] impossible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ace ventura has one glaring incongruity . 	ace ventura has one glaring incongruity .	1	-1	 ace[0] ventura[0] has[0] one[0] glaring[0] incongruity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
amid the butt-jokes and double-takes , the script takes great pains to set-up an elaborate and rather funny " crying game " gag . 	amid the butt-jokes and double-takes , the script takes great pains to set-up an elaborate and rather funny " crying game " gag .	3	-4	 amid[0] the[0] butt[0] jokes[1] and[0] double[0] takes[0] the[0] script[0] takes[0] great[2] pains[-3] to[0] set[0] up[0] an[0] elaborate[0] and[0] rather[0] funny[1] crying[-3] game[0] gag[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
and , for * this * intended audience , that takes ( ahem ) cojones . 	and , for * this * intended audience , that takes ( ahem ) cojones .	1	-1	 and[0] for[0] this[0] intended[0] audience[0] that[0] takes[0] ahem[0] cojones[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
