synopsis : sonny koufax ( adam sandler ) is a rich , childish , angry man who has just been dumped by his girlfriend vanessa ( kristy swanson ) . 	Translation	Positive	Negative	EmotionRationale
in a bid to impress vanessa sonny impersonates his friend kevin ( jon stewart ) and adopts a 5 year old boy named julian ( cole and dylan sprouse ) while kevin is on an overseas trip . 	in a bid to impress vanessa sonny impersonates his friend kevin ( jon stewart ) and adopts a 5 year old boy named julian ( cole and dylan sprouse ) while kevin is on an overseas trip .	2	-1	 in[0] a[0] bid[0] to[0] impress[1] vanessa[0] sonny[0] impersonates[0] his[0] friend[1] kevin[0] jon[0] stewart[0] and[0] adopts[0] a[0] 5[0] year[0] old[0] boy[0] named[0] julian[0] cole[0] and[0] dylan[0] sprouse[0] while[0] kevin[0] is[0] on[0] an[0] overseas[0] trip[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
under sonny's supervision julian soon learns to lie to women , tell people how he " wipes his ass , " throw tantrums , and scream for his " god damned " treats . 	under sonny's supervision julian soon learns to lie to women , tell people how he " wipes his ass , " throw tantrums , and scream for his " god damned " treats .	1	-4	 under[0] sonny's[0] supervision[0] julian[0] soon[0] learns[0] to[0] lie[0] to[0] women[0] tell[0] people[0] how[0] he[0] wipes[0] his[0] ass[0] throw[0] tantrums[-2] and[0] scream[-3] for[0] his[0] god[0] damned[-1] treats[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
self centered , julian breaks a school classmate's arm without apologizing or even realizing he has done anything wrong . 	self centered , julian breaks a school classmate's arm without apologizing or even realizing he has done anything wrong .	1	-2	 self[0] centered[0] julian[0] breaks[0] a[0] school[0] classmate's[0] arm[0] without[0] apologizing[0] or[0] even[0] realizing[0] he[0] has[0] done[0] anything[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
meanwhile sonny bribes julian with sugary talk , food , toys , and flashy promises in order to get the kid to perform . 	meanwhile sonny bribes julian with sugary talk , food , toys , and flashy promises in order to get the kid to perform .	2	-2	 meanwhile[0] sonny[0] bribes[-1] julian[0] with[0] sugary[0] talk[0] food[0] toys[0] and[0] flashy[0] promises[1] in[0] order[0] to[0] get[0] the[0] kid[0] to[0] perform[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
not surprisingly the government takes julian away from sonny's incompetent supervision , and this leads to a custody battle . 	not surprisingly the government takes julian away from sonny's incompetent supervision , and this leads to a custody battle .	1	-3	 not[0] surprisingly[0] the[0] government[0] takes[0] julian[0] away[0] from[0] sonny's[0] incompetent[-2] supervision[0] and[0] this[0] leads[0] to[0] a[0] custody[0] battle[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
opinion : it's a movie about an embittered creep teaching a little kid to be a jerk , and we all get cheap laughs because for 90 minutes the innocent kindergartner never finds out what it means when he mimics all the bad boy behavior . 	opinion : it's a movie about an embittered creep teaching a little kid to be a jerk , and we all get cheap laughs because for 90 minutes the innocent kindergartner never finds out what it means when he mimics all the bad boy behavior .	2	-3	 opinion[0] it's[0] a[0] movie[0] about[0] an[0] embittered[0] creep[0] teaching[0] a[0] little[0] kid[0] to[0] be[0] a[0] jerk[-2] and[0] we[0] all[0] get[0] cheap[-1] laughs[1] because[0] for[0] 90[0] minutes[0] the[0] innocent[1] kindergartner[0] never[0] finds[0] out[0] what[0] it[0] means[0] when[0] he[0] mimics[0] all[0] the[0] bad[-1] boy[0] behavior[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
that's the essence of big daddy . 	that's the essence of big daddy .	1	-1	 that's[0] the[0] essence[0] of[0] big[0] daddy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but there's a bigger issue involved : marketing . 	but there's a bigger issue involved : marketing .	1	-1	 but[0] there's[0] a[0] bigger[0] issue[0] involved[0] marketing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
movies that are rated pg and pg-13 are heavily marketed towards children of preteen age and below . 	movies that are rated pg and pg-13 are heavily marketed towards children of preteen age and below .	1	-1	 movies[0] that[0] are[0] rated[0] pg[0] and[0] pg[0] -13[0] are[0] heavily[0] marketed[0] towards[0] children[0] of[0] preteen[0] age[0] and[0] below[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on tv , film clips advertise these movies as family-friendly hit comedies . 	on tv , film clips advertise these movies as family-friendly hit comedies .	2	-1	 on[0] tv[0] film[0] clips[0] advertise[0] these[0] movies[0] as[0] family[0] friendly[1] hit[0] comedies[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
