frank detorri's ( bill murray ) a single dad who lives on beer and junk food with no apparent understanding of sanitation or hygiene , much to the dismay of his preteen daughter shane ( elena franklin ) . 	Translation	Positive	Negative	EmotionRationale
when he uses the '10 second rule' to retrieve a hard boiled egg from a chimp's cage at the zoo and downs it , he introduces a lethal bacteria into his system . 	when he uses the '10 second rule' to retrieve a hard boiled egg from a chimp's cage at the zoo and downs it , he introduces a lethal bacteria into his system .	1	-1	 when[0] he[0] uses[0] the[0] '10[0] second[0] rule'[0] to[0] retrieve[0] a[0] hard[0] boiled[0] egg[0] from[0] a[0] chimp's[0] cage[0] at[0] the[0] zoo[0] and[0] downs[0] it[0] he[0] introduces[0] a[0] lethal[0] bacteria[0] into[0] his[0] system[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
inside his skin , the city of frank is in turmoil thanks to the vote-pandering of mayor phlegmming ( voice of william shatner ) , so it's up to one frank pd white blood cell ( voice of chris rock ) to save the day in peter and bobby farrelly's " osmosis jones . " 	inside his skin , the city of frank is in turmoil thanks to the vote-pandering of mayor phlegmming ( voice of william shatner ) , so it's up to one frank pd white blood cell ( voice of chris rock ) to save the day in peter and bobby farrelly's " osmosis jones .<br> "	2	-3	 inside[0] his[0] skin[0] the[0] city[0] of[0] frank[0] is[0] in[0] turmoil[-2] thanks[1] to[0] the[0] vote[0] pandering[0] of[0] mayor[0] phlegmming[0] voice[0] of[0] william[0] shatner[0] so[0] it's[0] up[0] to[0] one[0] frank[0] pd[0] white[0] blood[0] cell[0] voice[0] of[0] chris[0] rock[1] to[0] save[1] the[0] day[0] in[0] peter[0] and[0] bobby[0] farrelly's[0] osmosis[0] jones[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the city of frank is a brightly animated ( animation directed by piet kroon and tom sito ) cellular municipality where osmosis jones is a typical rogue cop looking for another chance . 	the city of frank is a brightly animated ( animation directed by piet kroon and tom sito ) cellular municipality where osmosis jones is a typical rogue cop looking for another chance .	1	-2	 the[0] city[0] of[0] frank[0] is[0] a[0] brightly[0] animated[0] animation[0] directed[0] by[0] piet[0] kroon[0] and[0] tom[0] sito[0] cellular[0] municipality[0] where[0] osmosis[0] jones[0] is[0] a[0] typical[0] rogue[-1] cop[0] looking[0] for[0] another[0] chance[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he's inadvertently teamed up with drix ( voice of david hyde pierce , tv's " frasier " ) , a cold capsule with 12 hours worth of painkillers to dispense . 	he's inadvertently teamed up with drix ( voice of david hyde pierce , tv's " frasier " ) , a cold capsule with 12 hours worth of painkillers to dispense .	1	-2	 he's[0] inadvertently[0] teamed[0] up[0] with[0] drix[0] voice[0] of[0] david[0] hyde[0] pierce[0] tv's[0] frasier[0] a[0] cold[-1] capsule[0] with[0] 12[0] hours[0] worth[0] of[0] painkillers[0] to[0] dispense[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this quarrelling duo are about to go on a " fantastic voyage " in order to hunt down thrax ( voice of laurence fishburne ) , the virus intent on shutting down frank . 	this quarrelling duo are about to go on a " fantastic voyage " in order to hunt down thrax ( voice of laurence fishburne ) , the virus intent on shutting down frank .	3	-3	 this[0] quarrelling[-2] duo[0] are[0] about[0] to[0] go[0] on[0] a[0] fantastic[2] voyage[0] in[0] order[0] to[0] hunt[0] down[0] thrax[0] voice[0] of[0] laurence[0] fishburne[0] the[0] virus[0] intent[0] on[0] shutting[0] down[0] frank[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
while the animation is certainly colorful to look at , osmosis jones' story is a hackneyed one . 	while the animation is certainly colorful to look at , osmosis jones' story is a hackneyed one .	1	-1	 while[0] the[0] animation[0] is[0] certainly[0] colorful[0] to[0] look[0] at[0] osmosis[0] jones'[0] story[0] is[0] a[0] hackneyed[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story cries out for puny puns , but we only get occasional sprinklings of wit or bodily humor ( drix graduated phi beta capsule , he departs on a bus headed for bladder ) . 	the story cries out for puny puns , but we only get occasional sprinklings of wit or bodily humor ( drix graduated phi beta capsule , he departs on a bus headed for bladder ) .	3	-3	 the[0] story[0] cries[-2] out[0] for[0] puny[-1] puns[0] but[0] we[0] only[0] get[0] occasional[0] sprinklings[0] of[0] wit[0] or[0] bodily[0] humor[2] drix[0] graduated[0] phi[0] beta[0] capsule[0] he[0] departs[0] on[0] a[0] bus[0] headed[0] for[0] bladder[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
neither the hero or villain is particularly interesting ( thrax looks like an animated " predator " ) , although hyde pierce is a delightful sidekick . 	neither the hero or villain is particularly interesting ( thrax looks like an animated " predator " ) , although hyde pierce is a delightful sidekick .	3	-3	 neither[0] the[0] hero[2] or[0] villain[-2] is[0] particularly[0] interesting[1] thrax[0] looks[0] like[1] an[0] animated[0] predator[0] although[0] hyde[0] pierce[0] is[0] a[0] delightful[2] sidekick[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
adults can desperately keep their eyes peeled for small amusements the animators dot along the landscape . 	adults can desperately keep their eyes peeled for small amusements the animators dot along the landscape .	2	-3	 adults[0] can[0] desperately[-2] keep[0] their[0] eyes[0] peeled[0] for[0] small[0] amusements[1] the[0] animators[0] dot[0] along[0] the[0] landscape[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
meanwhile , back in live action land , bill murray is reduced to nothing more than a walking gross-out joke . 	meanwhile , back in live action land , bill murray is reduced to nothing more than a walking gross-out joke .	2	-2	 meanwhile[0] back[0] in[0] live[0] action[0] land[0] bill[0] murray[0] is[0] reduced[0] to[0] nothing[0] more[0] than[0] a[0] walking[0] gross[-1] out[0] joke[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
