 " party camp , " is one of the most mindnumbingly brainless comedies i've seen in awhile . 	Translation	Positive	Negative	EmotionRationale
a late rip-off of the " meatballs " series , the film follows a group of young camp counselors at camp chipmunk . 	a late rip-off of the " meatballs " series , the film follows a group of young camp counselors at camp chipmunk .	1	-2	 a[0] late[0] rip[-1] off[0] of[0] the[0] meatballs[0] series[0] the[0] film[0] follows[0] a[0] group[0] of[0] young[0] camp[0] counselors[0] at[0] camp[0] chipmunk[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that's really about all that can be said about the " plot " because nothing much happens , except that the main character , wise-cracking jerry ( andrew ross ) , has the hots for a cute blonde ( kerry brennan ) , and there is a big contest in the climax . 	that's really about all that can be said about the " plot " because nothing much happens , except that the main character , wise-cracking jerry ( andrew ross ) , has the hots for a cute blonde ( kerry brennan ) , and there is a big contest in the climax .	2	-1	 that's[0] really[0] about[0] all[0] that[0] can[0] be[0] said[0] about[0] the[0] plot[0] because[0] nothing[0] much[0] happens[0] except[0] that[0] the[0] main[0] character[0] wise[0] cracking[0] jerry[0] andrew[0] ross[0] has[0] the[0] hots[0] for[0] a[0] cute[1] blonde[0] kerry[0] brennan[0] and[0] there[0] is[0] a[0] big[0] contest[0] in[0] the[0] climax[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
how fun ! 	how fun !	2	-1	 how[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
since , " party camp , " has practically no screenplay and there is no talent at all involved , the least the makers could have done was make it raunchy and exploitative . 	since , " party camp , " has practically no screenplay and there is no talent at all involved , the least the makers could have done was make it raunchy and exploitative .	2	-1	 since[0] party[0] camp[0] has[0] practically[0] no[0] screenplay[0] and[0] there[0] is[0] no[0] talent[1] at[0] all[0] involved[0] the[0] least[0] the[0] makers[0] could[0] have[0] done[0] was[0] make[0] it[0] raunchy[0] and[0] exploitative[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's not that i think exploitation is necessarily a good quality , but when you are talking about a dull turkey like this , the least that could have been done would be to fill it with a lot of mindless sex . 	it's not that i think exploitation is necessarily a good quality , but when you are talking about a dull turkey like this , the least that could have been done would be to fill it with a lot of mindless sex .	2	-2	 it's[0] not[0] that[0] i[0] think[0] exploitation[0] is[0] necessarily[0] a[0] good[1] quality[0] but[0] when[0] you[0] are[0] talking[0] about[0] a[0] dull[-1] turkey[0] like[1] this[0] the[0] least[0] that[0] could[0] have[0] been[0] done[0] would[0] be[0] to[0] fill[0] it[0] with[0] a[0] lot[0] of[0] mindless[0] sex[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
even a psychopathic slasher at the camp would have done the trick . 	even a psychopathic slasher at the camp would have done the trick .	1	-2	 even[0] a[0] psychopathic[0] slasher[-1] at[0] the[0] camp[0] would[0] have[0] done[0] the[0] trick[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at least , then , it wouldn't have been such a chore to sit through . 	at least , then , it wouldn't have been such a chore to sit through .	1	-3	 at[0] least[0] then[0] it[0] wouldn't[0] have[0] been[0] such[0] a[0] chore[-2] to[0] sit[0] through[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
never before have i seen so many jokes fall astoundingly flat . 	never before have i seen so many jokes fall astoundingly flat .	2	-1	 never[0] before[0] have[0] i[0] seen[0] so[0] many[0] jokes[1] fall[0] astoundingly[0] flat[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the comedy was easy to spot , but it wasn't the least bit funny . 	the comedy was easy to spot , but it wasn't the least bit funny .	2	-1	 the[0] comedy[0] was[0] easy[0] to[0] spot[0] but[0] it[0] wasn't[0] the[0] least[0] bit[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it was groan-inducing . 	it was groan-inducing .	1	-1	 it[0] was[0] groan[0] inducing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
constantly throghout , i was asking myself if director gary graver actually thought this movie was worth anything . 	constantly throghout , i was asking myself if director gary graver actually thought this movie was worth anything .	1	-3	 constantly[0] throghout[0] i[0] was[0] asking[0] myself[0] if[0] director[0] gary[0] graver[-2] actually[0] thought[0] this[0] movie[0] was[0] worth[0] anything[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
so what saves , " party camp , " from the dreaded zero star rating ? 	so what saves , " party camp , " from the dreaded zero star rating ?	2	-4	 so[0] what[0] saves[1] party[0] camp[0] from[0] the[0] dreaded[-3] zero[0] star[0] rating[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
well , that's simple : jewel shepard , as a flighty bimbo , was admittedly fun to watch . 	well , that's simple : jewel shepard , as a flighty bimbo , was admittedly fun to watch .	2	-1	 well[0] that's[0] simple[0] jewel[0] shepard[0] as[0] a[0] flighty[0] bimbo[0] was[0] admittedly[0] fun[1] to[0] watch[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
although nothing could have saved this film from the lowest depths of motion picture trash , at least if the film had centered on shepard , she might have been able to add a little spice to an otherwise rancid , low-budget teen comedy . 	although nothing could have saved this film from the lowest depths of motion picture trash , at least if the film had centered on shepard , she might have been able to add a little spice to an otherwise rancid , low-budget teen comedy .	2	-3	 although[0] nothing[0] could[0] have[0] saved[1] this[0] film[0] from[0] the[0] lowest[-1] depths[0] of[0] motion[0] picture[0] trash[-1] at[0] least[0] if[0] the[0] film[0] had[0] centered[0] on[0] shepard[0] she[0] might[0] have[0] been[0] able[0] to[0] add[0] a[0] little[0] spice[0] to[0] an[0] otherwise[0] rancid[-2] low[-1] budget[0] teen[0] comedy[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
