birthdays often cause individuals to access their lives . 	Translation	Positive	Negative	EmotionRationale
are we doing what we want to be doing ? 	are we doing what we want to be doing ?	1	-1	 are[0] we[0] doing[0] what[0] we[0] want[0] to[0] be[0] doing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what happened to our dreams ? 	what happened to our dreams ?	1	-1	 what[0] happened[0] to[0] our[0] dreams[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with the new millennium , our collective big birthday , just around the corner , some people are sensing a certain dissatisfaction with their existence . 	with the new millennium , our collective big birthday , just around the corner , some people are sensing a certain dissatisfaction with their existence .	1	-2	 with[0] the[0] new[0] millennium[0] our[0] collective[0] big[0] birthday[0] just[0] around[0] the[0] corner[0] some[0] people[0] are[0] sensing[0] a[0] certain[0] dissatisfaction[-1] with[0] their[0] existence[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the old standbys of traditional religion and science aren't doing it for many anymore and they're looking for something else . 	the old standbys of traditional religion and science aren't doing it for many anymore and they're looking for something else .	1	-1	 the[0] old[0] standbys[0] of[0] traditional[0] religion[0] and[0] science[0] aren't[0] doing[0] it[0] for[0] many[0] anymore[0] and[0] they're[0] looking[0] for[0] something[0] else[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we'll be seeing more and more films with a metaphysical theme over the next few years . 	we'll be seeing more and more films with a metaphysical theme over the next few years .	1	-1	 we'll[0] be[0] seeing[0] more[0] and[0] more[0] films[0] with[0] a[0] metaphysical[0] theme[0] over[0] the[0] next[0] few[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ricky hayman ( jeff goldblum ) is having a career crisis . 	ricky hayman ( jeff goldblum ) is having a career crisis .	1	-3	 ricky[0] hayman[0] jeff[0] goldblum[0] is[0] having[0] a[0] career[0] crisis[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the programming director for the good buy home shopping network , he's going to be fired unless sales increase dramatically . 	the programming director for the good buy home shopping network , he's going to be fired unless sales increase dramatically .	2	-3	 the[0] programming[0] director[0] for[0] the[0] good[1] buy[0] home[0] shopping[0] network[0] he's[0] going[0] to[0] be[0] fired[-2] unless[0] sales[0] increase[0] dramatically[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
new producer kate newell ( kelly preston ) is supposed to whip things into shape . 	new producer kate newell ( kelly preston ) is supposed to whip things into shape .	1	-2	 new[0] producer[0] kate[0] newell[0] kelly[0] preston[0] is[0] supposed[0] to[0] whip[-1] things[0] into[0] shape[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when the two are fixing a flat , they almost run down new age pilgrim " g " ( murphy ) . 	when the two are fixing a flat , they almost run down new age pilgrim " grin� " ( murphy ) .	1	-1	 when[0] the[0] two[0] are[0] fixing[0] a[0] flat[0] they[0] almost[0] run[0] down[0] new[0] age[0] pilgrim[0] g[0] murphy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
g wanders onto the television set and connects with the viewers by telling them that they don't really want all that commercial crap . 	grin� wanders onto the television set and connects with the viewers by telling them that they don't really want all that commercial crap .	1	-3	 g[0] wanders[0] onto[0] the[0] television[0] set[0] and[0] connects[0] with[0] the[0] viewers[0] by[0] telling[0] them[0] that[0] they[0] don't[0] really[0] want[0] all[0] that[0] commercial[0] crap[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in some unexplained manner , this causes sales to sour . 	in some unexplained manner , this causes sales to sour .	1	-2	 in[0] some[0] unexplained[0] manner[0] this[0] causes[0] sales[0] to[0] sour[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ricky is saved . 	ricky is saved .	2	-1	 ricky[0] is[0] saved[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie tries to be too much at once and fails at it all . 	the movie tries to be too much at once and fails at it all .	1	-3	 the[0] movie[0] tries[0] to[0] be[0] too[0] much[0] at[0] once[0] and[0] fails[-2] at[0] it[0] all[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's not an over-the-top comedy or a heart-warming message of humanity . 	it's not an over-the-top comedy or a heart-warming message of humanity .	1	-1	 it's[0] not[0] an[0] over[0] the[0] top[0] comedy[0] or[0] a[0] heart[0] warming[0] message[0] of[0] humanity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it _is_ a mish-mosh of poorly directed scenes made even worse by insipid dialog . 	it _is_ a mish-mosh of poorly directed scenes made even worse by insipid dialog .	1	-3	 it[0] _is_[0] a[0] mish[0] mosh[0] of[0] poorly[-1] directed[0] scenes[0] made[0] even[0] worse[-2] by[0] insipid[0] dialog[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i am willing to put up with preaching from a film , but the messages here are old hat . 	i am willing to put up with preaching from a film , but the messages here are old hat .	1	-1	 i[0] am[0] willing[0] to[0] put[0] up[0] with[0] preaching[0] from[0] a[0] film[0] but[0] the[0] messages[0] here[0] are[0] old[0] hat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you should take time to smell the roses . 	you should take time to smell the roses .	1	-1	 you[0] should[0] take[0] time[0] to[0] smell[0] the[0] roses[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
selling your soul for cash is a bad idea . 	selling your soul for cash is a bad idea .	1	-2	 selling[0] your[0] soul[0] for[0] cash[0] is[0] a[0] bad[-1] idea[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
golly . 	golly .	1	-1	 golly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm glad i saw the movie . 	i'm glad i saw the movie .	2	-1	 i'm[0] glad[1] i[0] saw[0] the[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i never would have thought of these . 	i never would have thought of these .	1	-1	 i[0] never[0] would[0] have[0] thought[0] of[0] these[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the opportunity to poke fun at the goofy products is mostly missed . 	the opportunity to poke fun at the goofy products is mostly missed .	2	-2	 the[0] opportunity[0] to[0] poke[0] fun[1] at[0] the[0] goofy[0] products[0] is[0] mostly[0] missed[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when g takes a chainsaw to the set , there's an obvious chance for murphy to be hilarious . 	when grin� takes a chainsaw to the set , there's an obvious chance for murphy to be hilarious .	3	-1	 when[0] g[0] takes[0] a[0] chainsaw[0] to[0] the[0] set[0] there's[0] an[0] obvious[0] chance[0] for[0] murphy[0] to[0] be[0] hilarious[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it doesn't happen . 	it doesn't happen .	1	-1	 it[0] doesn't[0] happen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the bits are so subdued and overly-long that there's only a hint of laughter from the audience . 	the bits are so subdued and overly-long that there's only a hint of laughter from the audience .	2	-1	 the[0] bits[0] are[0] so[0] subdued[0] and[0] overly[0] long[0] that[0] there's[0] only[0] a[0] hint[0] of[0] laughter[1] from[0] the[0] audience[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
