the " fab 4 " of ronald reagan high are four stuck-up girls , played by rose mcgowan , rebecca gayheart , julie benz and charlotte roldan , who overdress like 4 posh spice wannabes . 	Translation	Positive	Negative	EmotionRationale
their daily ritual is to parade up and down the school halls like royalty , and their constant reflex action is to grab their compacts so they can check their make-up and powder their cheeks . 	their daily ritual is to parade up and down the school halls like royalty , and their constant reflex action is to grab their compacts so they can check their make-up and powder their cheeks .	2	-2	 their[0] daily[0] ritual[0] is[0] to[0] parade[0] up[0] and[0] down[0] the[0] school[0] halls[0] like[1] royalty[0] and[0] their[0] constant[0] reflex[0] action[0] is[0] to[0] grab[-1] their[0] compacts[0] so[0] they[0] can[0] check[0] their[0] make[0] up[0] and[0] powder[0] their[0] cheeks[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
under no circumstances will they ever let themselves be seen eating in public . 	under no circumstances will they ever let themselves be seen eating in public .	1	-1	 under[0] no[0] circumstances[0] will[0] they[0] ever[0] let[0] themselves[0] be[0] seen[0] eating[0] in[0] public[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in writer and director darren stein's jawbreaker , it isn't as funny as it sounds . 	in writer and director darren stein's jawbreaker , it isn't as funny as it sounds .	1	-2	 in[0] writer[0] and[0] director[0] darren[0] stein's[0] jawbreaker[0] it[0] isn't[0] as[0] funny[1][NegatedDueToPreviousWord] as[0] it[0] sounds[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact , it isn't funny at all . 	in fact , it isn't funny at all .	1	-2	 in[0] fact[0] it[0] isn't[0] funny[1][NegatedDueToPreviousWord] at[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
stein has taken the black comedy of a teen movie like heathers and stripped it of any intelligence , wit or charm . 	stein has taken the black comedy of a teen movie like heathers and stripped it of any intelligence , wit or charm .	2	-1	 stein[0] has[0] taken[0] the[0] black[0] comedy[0] of[0] a[0] teen[0] movie[0] like[1] heathers[0] and[0] stripped[0] it[0] of[0] any[0] intelligence[0] wit[0] or[0] charm[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his actresses toss off their lines so fast that they don't have time to add any emotion . 	his actresses toss off their lines so fast that they don't have time to add any emotion .	1	-1	 his[0] actresses[0] toss[0] off[0] their[0] lines[0] so[0] fast[0] that[0] they[0] don't[0] have[0] time[0] to[0] add[0] any[0] emotion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and all of his female characters have considerably more lipstick than brains . 	and all of his female characters have considerably more lipstick than brains .	1	-1	 and[0] all[0] of[0] his[0] female[0] characters[0] have[0] considerably[0] more[0] lipstick[0] than[0] brains[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the setup for the movie has one of the fab 4 , liz , who is referred to as " the princess di of reagan high , " be killed when a prank by the other 3 goes wrong . 	the setup for the movie has one of the fab 4 , liz , who is referred to as " the princess di of reagan high , " be killed when a prank by the other 3 goes wrong .	3	-4	 the[0] setup[0] for[0] the[0] movie[0] has[0] one[0] of[0] the[0] fab[2] 4[0] liz[0] who[0] is[0] referred[0] to[0] as[0] the[0] princess[0] di[0] of[0] reagan[0] high[0] be[0] killed[-3] when[0] a[0] prank[0] by[0] the[0] other[0] 3[0] goes[0] wrong[-1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the princess di reference is in bad taste , as is much of the movie . 	the princess di reference is in bad taste , as is much of the movie .	1	-2	 the[0] princess[0] di[0] reference[0] is[0] in[0] bad[-1] taste[0] as[0] is[0] much[0] of[0] the[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
granted , bad taste can sometimes be funny , but the mere presence of bad taste doesn't guarantee it . 	granted , bad taste can sometimes be funny , but the mere presence of bad taste doesn't guarantee it .	2	-2	 granted[0] bad[-1] taste[0] can[0] sometimes[0] be[0] funny[1] but[0] the[0] mere[0] presence[0] of[0] bad[-1] taste[0] doesn't[0] guarantee[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
liz's girlfriends stick a jawbreaker that is literally larger than a golf ball in her mouth , tape her mouth shut , and stick her bound body in the trunk of a car . 	liz's girlfriends stick a jawbreaker that is literally larger than a golf ball in her mouth , tape her mouth shut , and stick her bound body in the trunk of a car .	1	-1	 liz's[0] girlfriends[0] stick[0] a[0] jawbreaker[0] that[0] is[0] literally[0] larger[0] than[0] a[0] golf[0] ball[0] in[0] her[0] mouth[0] tape[0] her[0] mouth[0] shut[0] and[0] stick[0] her[0] bound[0] body[0] in[0] the[0] trunk[0] of[0] a[0] car[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when they open the trunk later , liz is dead . 	when they open the trunk later , liz is dead .	1	-3	 when[0] they[0] open[0] the[0] trunk[0] later[0] liz[0] is[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
