woof ! too bad that leap of faith was the title of a 1992 comedy starring steve martin and debra winger , because that's what's required to watch this incredulous howler starring bruce willis as--of all things--a psychologist . 	Translation	Positive	Negative	EmotionRationale
not since the reagan administration has there been an acting stretch of such magnitude ! 	not since the reagan administration has there been an acting stretch of such magnitude !	1	-1	 not[0] since[0] the[0] reagan[0] administration[0] has[0] there[0] been[0] an[0] acting[0] stretch[0] of[0] such[0] magnitude[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
alas , mickey rourke , we hardly knew ye . 	alas , mickey rourke , we hardly knew ye .	1	-2	 alas[-1] mickey[0] rourke[0] we[0] hardly[0] knew[0] ye[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
story opens with a campy kick--willis is treating a patient who abruptly steps out of the window to take the best flying leap since charles durning dove in the hudsucker proxy . 	story opens with a campy kick-willis is treating a patient who abruptly steps out of the window to take the best flying leap since charles durning dove in the hudsucker proxy .	2	-2	 story[0] opens[0] with[0] a[0] campy[0] kick[-1] willis[0] is[0] treating[0] a[0] patient[0] who[0] abruptly[0] steps[0] out[0] of[0] the[0] window[0] to[0] take[0] the[0] best[1] flying[0] leap[0] since[0] charles[0] durning[0] dove[0] in[0] the[0] hudsucker[0] proxy[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
she goes splat , he goes ugh , and his character spends the rest of the film colorblind . 	she goes splat , he goes ugh , and his character spends the rest of the film colorblind .	1	-3	 she[0] goes[0] splat[0] he[0] goes[0] ugh[-2] and[0] his[0] character[0] spends[0] the[0] rest[0] of[0] the[0] film[0] colorblind[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
really . 	really .	1	-1	 really[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the good doctor then moves to sunny l . a . , where he rooms with an old college chum ( scott bakula ) , a therapist who's getting death threats from someone in his monday evening group . 	the good doctor then moves to sunny l .<br> a .<br> , where he rooms with an old college chum ( scot bakula ) , a therapist who's getting death threats from someone in his monday evening group .	2	-4	 the[0] good[1] doctor[0] then[0] moves[0] to[0] sunny[1] l[0] [[Sentence=-1,2=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] where[0] he[0] rooms[0] with[0] an[0] old[0] college[0] chum[0] scott/scot[0] bakula[0] a[0] therapist[0] who's[0] getting[0] death[-2] threats[-2][-1 MultiplePositiveWords] from[0] someone[0] in[0] his[0] monday[0] evening[0] group[0] [[Sentence=-4,1=word max, 1-5]][[[2,-4 max of sentences]]]
buddy bites it in the second reel ( no surprise there ) and willis agrees to take over both the group and the death threats . 	buddy bites it in the second reel ( no surprise there ) and willis agrees to take over both the group and the death threats .	1	-4	 buddy[0] bites[0] it[0] in[0] the[0] second[0] reel[0] no[0] surprise[0] there[0] and[0] willis[0] agrees[0] to[0] take[0] over[0] both[0] the[0] group[0] and[0] the[0] death[-2] threats[-2][-1 MultiplePositiveWords] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
for his troubles as therapy man , willis gets to share some cut-from-nc17 love scenes with the lover's jane march while dodging nails , cars , and rattlesnakes . 	for his troubles as therapy man , willis gets to share some cut-from-nc17 love scenes with the lover's jane march while dodging nails , cars , and rattlesnakes .	4	-2	 for[0] his[0] troubles[-1] as[0] therapy[0] man[0] willis[0] gets[0] to[0] share[0] some[0] cut[0] from[0] nc17[0] love[2] scenes[0] with[0] the[0] lover's[3] jane[0] march[0] while[0] dodging[0] nails[0] cars[0] and[0] rattlesnakes[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
why'd it have to be snakes ? 	why'd it have to be snakes ?	1	-1	 why'd[0] it[0] have[0] to[0] be[0] snakes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
color of night is the worst movie of the year . 	color of night is the worst movie of the year .	1	-3	 color[0] of[0] night[0] is[0] the[0] worst[-2] movie[0] of[0] the[0] year[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
