movie concepts are often pitched to producers with mathematical formulas involving successful films of the past . 	Translation	Positive	Negative	EmotionRationale
so , undoubtedly one day someone said , " 'evolution ? ' 	so , undoubtedly one day someone said , " 'evolution ?<br> '	1	-1	 so[0] undoubtedly[0] one[0] day[0] someone[0] said[0] 'evolution[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's 'ghostbusters' plus 'men in black' plus 'tremors . ' " 	it's 'ghostbusters' plus 'men in black' plus 'tremors .<br> ' "	1	-1	 it's[0] 'ghostbusters'[0] plus[0] 'men[0] in[0] black'[0] plus[0] 'tremors[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and so it is . 	and so it is .	1	-1	 and[0] so[0] it[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sum total none . 	sum total none .	1	-1	 sum[0] total[0] none[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the alienbusting begins when a meteor lands in glen canyon , arizona . 	the alienbusting begins when a meteor lands in glen canyon , arizona .	1	-1	 the[0] alienbusting[0] begins[0] when[0] a[0] meteor[0] lands[0] in[0] glen[0] canyon[0] arizona[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
community college science profs ira kane ( david duchovny ) and harry block ( orlando jones ) take some samples from the meteor and discover that one-celled organisms from inside it are evolving rapidly , doing in hours what took millions of years for life on earth . 	community college science profs ira kane ( david duchovny ) and harry block ( orlando jones ) take some samples from the meteor and discover that one-celled organisms from inside it are evolving rapidly , doing in hours what took millions of years for life on earth .	1	-2	 community[0] college[0] science[0] profs[0] ira[0] kane[0] david[0] duchovny[0] and[0] harry[0] block[-1] orlando[0] jones[0] take[0] some[0] samples[0] from[0] the[0] meteor[0] and[0] discover[0] that[0] one[0] celled[0] organisms[0] from[0] inside[0] it[0] are[0] evolving[0] rapidly[0] doing[0] in[0] hours[0] what[0] took[0] millions[0] of[0] years[0] for[0] life[0] on[0] earth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
just about the time i was wondering , " hey , doesn't the government usually come in and take over the whole area in these movies , " the government came in and took over the whole area . 	just about the time i was wondering , " hey , doesn't the government usually come in and take over the whole area in these movies , " the government came in and took over the whole area .	2	-1	 just[0] about[0] the[0] time[0] i[0] was[0] wondering[0] hey[1] doesn't[0] the[0] government[0] usually[0] come[0] in[0] and[0] take[0] over[0] the[0] whole[0] area[0] in[0] these[0] movies[0] the[0] government[0] came[0] in[0] and[0] took[0] over[0] the[0] whole[0] area[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the leader of the pack , gen . woodman ( ted levine ) , turns out to be an old nemesis of ira's , and ira and harry are blocked from doing further research . 	the leader of the pack , gen .<br> woodman ( ted levine ) , turns out to be an old nemesis of ira's , and ira and harry are blocked from doing further research .	1	-2	 the[0] leader[0] of[0] the[0] pack[0] gen[0] [[Sentence=-1,1=word max, 1-5]] woodman[0] ted[0] levine[0] turns[0] out[0] to[0] be[0] an[0] old[0] nemesis[0] of[0] ira's[0] and[0] ira[0] and[0] harry[0] are[0] blocked[-1] from[0] doing[0] further[0] research[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
meanwhile , the organisms continue to grow until they are large enough to start attacking people . 	meanwhile , the organisms continue to grow until they are large enough to start attacking people .	1	-3	 meanwhile[0] the[0] organisms[0] continue[0] to[0] grow[0] until[0] they[0] are[0] large[0] enough[0] to[0] start[0] attacking[-2] people[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
by this time , ira and harry have gained a friend in dr . allison reed ( julianne moore ) of the center for disease control . 	by this time , ira and harry have gained a friend in dr .<br> allison reed ( julianne more ) of the center for disease control .	2	-3	 by[0] this[0] time[0] ira[0] and[0] harry[0] have[0] gained[0] a[0] friend[1] in[0] dr[0] [[Sentence=-1,2=word max, 1-5]] allison[0] reed[0] julianne[0] moore/more[0] of[0] the[0] center[0] for[0] disease[-2] control[0] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
