carry on at your convenience is all about the goings-on in the factory of a toilet manufacturer , wc boggs ( kenneth williams ) . 	Translation	Positive	Negative	EmotionRationale
once they have won an order to manufacture 1000 bidets in two months and charles coote ( charles hawtrey ) has designed a suitable model , the factory employees set to work but are interrupted by union representative vic spanner ( kenneth cope ) and friend bernie hulke ( bernard bresslaw ) who call them out on strikes on the slightest pretext . 	once they have won an order to manufacture 100 bidets in two months and charles coote ( charles hawtrey ) has designed a suitable model , the factory employees set to work but are interrupted by union representative vic spanner ( kenneth cope ) and friend bernie hulke ( bernard bresslaw ) who call them out on strikes on the slightest pretext .	2	-2	 once[0] they[0] have[0] won[0] an[0] order[0] to[0] manufacture[0] 1000/100[0] bidets[0] in[0] two[0] months[0] and[0] charles[0] coote[0] charles[0] hawtrey[0] has[0] designed[0] a[0] suitable[0] model[0] the[0] factory[0] employees[0] set[0] to[0] work[0] but[0] are[0] interrupted[-1] by[0] union[0] representative[0] vic[0] spanner[0] kenneth[0] cope[0] and[0] friend[1] bernie[0] hulke[0] bernard[0] bresslaw[0] who[0] call[0] them[0] out[0] on[0] strikes[0] on[0] the[0] slightest[0] pretext[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
meanwhile , chief foreman sid plummer ( sid james ) is growing tired of his wife beattie ( hattie jacques ) and her budgie . 	meanwhile , chief foreman sid plummer ( sid james ) is growing tired of his wife beattie ( hattie jacques ) and her budgie .	1	-2	 meanwhile[0] chief[0] foreman[0] sid[0] plummer[0] sid[0] james[0] is[0] growing[0] tired[-1] of[0] his[0] wife[0] beattie[0] hattie[0] jacques[0] and[0] her[0] budgie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he would much rather live next door with fellow boggs worker chloe moore ( joan sims ) but once he discovers that the budgie can predict the winners of horse races , he is over the moon and flush with money . 	he would much rather live next door with fellow bogs worker chloe more ( joan sims ) but once he discovers that the budgie can predict the winners of horse races , he is over the moon and flush with money .	2	-1	 he[0] would[0] much[0] rather[0] live[0] next[0] door[0] with[0] fellow[0] boggs/bogs[0] worker[0] chloe[0] moore/more[0] joan[0] sims[0] but[0] once[0] he[0] discovers[0] that[0] the[0] budgie[0] can[0] predict[0] the[0] winners[1] of[0] horse[0] races[0] he[0] is[0] over[0] the[0] moon[0] and[0] flush[0] with[0] money[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his daughter , myrtle plummer ( jacki piper ) , is going out with wc's son lewis boggs ( richard o'callaghan ) and this causes conflict on the staff day out to the seaside when vic spanner vies for her attentions . 	his daughter , myrtle plummer ( jacki piper ) , is going out with wc's son lewis bogs ( richard o'callaghan ) and this causes conflict on the staff day out to the seaside when vic spanner vies for her attentions .	1	-2	 his[0] daughter[0] myrtle[0] plummer[0] jacki[0] piper[0] is[0] going[0] out[0] with[0] wc's[0] son[0] lewis[0] boggs/bogs[0] richard[0] o'callaghan[0] and[0] this[0] causes[0] conflict[-1] on[0] the[0] staff[0] day[0] out[0] to[0] the[0] seaside[0] when[0] vic[0] spanner[0] vies[0] for[0] her[0] attentions[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the end , if the strike does not cease , boggs will have to close down his factory , but the support of a group of women led by coote's wife-to-be and spanner's mother , agatha spanner ( renee houston ) , try to resolve the situation . 	in the end , if the strike does not cease , bogs will have to close down his factory , but the support of a group of women led by coote's wife-to-be and spanner's mother , agatha spanner ( renee houston ) , try to resolve the situation .	2	-2	 in[0] the[0] end[0] if[0] the[0] strike[-1] does[0] not[0] cease[0] boggs/bogs[0] will[0] have[0] to[0] close[0] down[0] his[0] factory[0] but[0] the[0] support[1] of[0] a[0] group[0] of[0] women[0] led[0] by[0] coote's[0] wife[0] to[0] be[0] and[0] spanner's[0] mother[0] agatha[0] spanner[0] renee[0] houston[0] try[0] to[0] resolve[1] the[0] situation[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
also , sid realises that his budgie has caused him nothing but trouble since it started predicting horse race winners . 	also , sid realises that his budgie has caused him nothing but trouble since it started predicting horse race winners .	2	-2	 also[0] sid[0] realises[0] that[0] his[0] budgie[0] has[0] caused[0] him[0] nothing[0] but[0] trouble[-1] since[0] it[0] started[0] predicting[0] horse[0] race[0] winners[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there are some good performances , as usual , from sid james and kenneth williams in their standard roles . 	there are some good performances , as usual , from sid james and kenneth williams in their standard roles .	1	-1	 there[0] are[0] some[0] good[1][-1 LastWordBoosterStrength] performances[0] as[0] usual[0] from[0] sid[0] james[0] and[0] kenneth[0] williams[0] in[0] their[0] standard[0] roles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
charles hawtrey is third billing but only appears in a few scenes . 	charles hawtrey is third billing but only appears in a few scenes .	1	-1	 charles[0] hawtrey[0] is[0] third[0] billing[0] but[0] only[0] appears[0] in[0] a[0] few[0] scenes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his part is mildly amusing . 	his part is mildly amusing .	2	-1	 his[0] part[0] is[0] mildly[0] amusing[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
richard o'callaghan is appealing as bogg's stuck-up son , patsy rowlands is funny as miss withering , bogg's assistant , and renee houston is terrific in her small part as agatha . 	richard o'callaghan is appealing as bogg's stuck-up son , patsy rowlands is funny as miss withering , bogg's assistant , and renee houston is terrific in her small part as agatha .	4	-2	 richard[0] o'callaghan[0] is[0] appealing[0] as[0] bogg's[0] stuck[0] up[0] son[0] patsy[0] rowlands[0] is[0] funny[1] as[0] miss[-1] withering[0] bogg's[0] assistant[0] and[0] renee[0] houston[0] is[0] terrific[3] in[0] her[0] small[0] part[0] as[0] agatha[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
