it's difficult to expect much from a director whose greatest accomplishments to date are a handful of " award-winning " tv commercials , as is the case with bubble boy director blair hayes . 	Translation	Positive	Negative	EmotionRationale
that said , hayes's feature film debut lives up to expectations , coming off mainly as equal parts offensive and moronic . 	that said , hayes's feature film debut lives up to expectations , coming off mainly as equal parts offensive and moronic .	1	-3	 that[0] said[0] hayes's[0] feature[0] film[0] debut[0] lives[0] up[0] to[0] expectations[0] coming[0] off[0] mainly[0] as[0] equal[0] parts[0] offensive[-2] and[0] moronic[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but occasionally , bubble boy transcends its substandard roots with glimmers of humor and scathing social commentary . 	but occasionally , bubble boy transcends its substandard roots with glimmers of humor and scathing social commentary .	3	-1	 but[0] occasionally[0] bubble[0] boy[0] transcends[0] its[0] substandard[0] roots[0] with[0] glimmers[0] of[0] humor[2] and[0] scathing[0] social[0] commentary[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
those moments of intelligence are delivered mostly by the film's two stars , jake gyllenhall as the immuno-deficient jimmy and swoosie kurtz as his over-protective , hyper religious , reagan-loving mother . 	those moments of intelligence are delivered mostly by the film's two stars , jake gyllenhall as the immuno-deficient jimmy and swoosie kurtz as his over-protective , hyper religious , reagan-loving mother .	4	-2	 those[0] moments[0] of[0] intelligence[0] are[0] delivered[0] mostly[0] by[0] the[0] film's[0] two[0] stars[0] jake[0] gyllenhall[0] as[0] the[0] immuno[0] deficient[-1] jimmy[0] and[0] swoosie[0] kurtz[0] as[0] his[0] over[0] protective[0] hyper[0] religious[0] reagan[0] loving[3] mother[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
gyllenhall's sweet-natured delivery of jimmy's hilariously na ? ve narration serves as the backbone for an otherwise flimsy coming-of-age story : jimmy is a bubble boy , a kid born without immunity who could die if he comes in contact with a single germ -- a plight explored more seriously in the john travolta tv movie boy in the plastic bubble and less so on seinfeld . 	gyllenhall's sweet-natured delivery of jimmy's hilariously na ?<br> ve narration serves as the backbone for an otherwise flimsy coming-of-age story : jimmy is a bubble boy , a kid born without immunity who could die if he comes in contact with a single germ - a plight explored more seriously in the john travolta tv movie boy in the plastic bubble and less so on seinfeld .	3	-2	 gyllenhall's[0] sweet[1] natured[0] delivery[0] of[0] jimmy's[0] hilariously[2] na[0] [[Sentence=-1,3=word max, 1-5]] ve[0] narration[0] serves[0] as[0] the[0] backbone[0] for[0] an[0] otherwise[0] flimsy[-1] coming[0] of[0] age[0] story[0] jimmy[0] is[0] a[0] bubble[0] boy[0] a[0] kid[0] born[0] without[0] immunity[0] who[0] could[0] die[0] if[0] he[0] comes[0] in[0] contact[0] with[0] a[0] single[0] germ[-1] a[0] plight[-1] explored[0] more[0] seriously[0] in[0] the[0] john[0] travolta[0] tv[0] movie[0] boy[0] in[0] the[0] plastic[0] bubble[0] and[0] less[0] so[0] on[0] seinfeld[0] [[Sentence=-2,1=word max, 1-5]][[[3,-2 max of sentences]]]
his mom home-schools jimmy , filling his head with wildly twisted conservative propaganda and anti-sexual messages , until he's befriended by chloe ( marley shelton ) , the beautiful girl next door . 	his mom home-schools jimmy , filling his head with wildly twisted conservative propaganda and anti-sexual messages , until he's befriended by chloe ( marley shelton ) , the beautiful girl next door .	3	-2	 his[0] mom[0] home[0] schools[0] jimmy[0] filling[0] his[0] head[0] with[0] wildly[0] twisted[0] conservative[0] propaganda[-1] and[0] anti[0] sexual[0] messages[0] until[0] he's[0] befriended[0] by[0] chloe[0] marley[0] shelton[0] the[0] beautiful[2] girl[0] next[0] door[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
jimmy falls in love with chloe , but is afraid that his love will literally kill him , as evidenced in a scene when she drunkenly tries to enter his bubble for a kiss . 	jimmy falls in love with chloe , but is afraid that his love will literally kill him , as evidenced in a scene when she drunkenly tries to enter his bubble for a kiss .	3	-4	 jimmy[0] falls[0] in[0] love[2] with[0] chloe[0] but[0] is[0] afraid[-3] that[0] his[0] love[2] will[0] literally[0] kill[-1] him[0] as[0] evidenced[0] in[0] a[0] scene[0] when[0] she[0] drunkenly[-1] tries[0] to[0] enter[0] his[0] bubble[0] for[0] a[0] kiss[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
but when chloe decides to marry her high school boyfriend , jimmy builds a bubble suit and embarks on a hijinks-addled cross-country voyage to stop the wedding by professing his love . 	but when chloe decides to marry her high school boyfriend , jimmy builds a bubble suit and embarks on a hijinks-addled cross-country voyage to stop the wedding by professing his love .	3	-2	 but[0] when[0] chloe[0] decides[0] to[0] marry[0] her[0] high[0] school[0] boyfriend[0] jimmy[0] builds[0] a[0] bubble[0] suit[0] and[0] embarks[0] on[0] a[0] hijinks[0] addled[0] cross[-1] country[0] voyage[0] to[0] stop[0] the[0] wedding[0] by[0] professing[0] his[0] love[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the offensive bits have little to do with jimmy's rare handicap ( regardless of what the film's protesters would have you believe ) , but instead center on outrageous racial stereotypes , including a screaming chinese strip club owner and a devout east indian hindi . 	the offensive bits have little to do with jimmy's rare handicap ( regardless of what the film's protesters would have you believe ) , but instead center on outrageous racial stereotypes , including a screaming chinese strip club owner and a devout east indian hindi .	1	-4	 the[0] offensive[-2] bits[0] have[0] little[0] to[0] do[0] with[0] jimmy's[0] rare[0] handicap[-1] regardless[-1] of[0] what[0] the[0] film's[0] protesters[-1] would[0] have[0] you[0] believe[0] but[0] instead[0] center[0] on[0] outrageous[-2] racial[0] stereotypes[0] including[0] a[0] screaming[-3] chinese[0] strip[0] club[0] owner[0] and[0] a[0] devout[0] east[0] indian[0] hindi[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but even if you find stereotype humor funny , it's hard to muster more than a giggle for these shallow gags . 	but even if you find stereotype humor funny , it's hard to muster more than a giggle for these shallow gags .	3	-2	 but[0] even[0] if[0] you[0] find[0] stereotype[0] humor[2] funny[1] it's[0] hard[0] to[0] muster[0] more[0] than[0] a[0] giggle[2] for[0] these[0] shallow[-1] gags[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
they even manage to bungle some potentially great moments with a group of carnival freaks . 	they even manage to bungle some potentially great moments with a group of carnival freaks .	3	-2	 they[0] even[0] manage[0] to[0] bungle[-1] some[0] potentially[0] great[2] moments[0] with[0] a[0] group[0] of[0] carnival[0] freaks[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
