gun wielding arnold schwarzenegger has a change of heart by the film's end and becomes a believer in god instead of a skeptic , going through an amazing transformation by having a christian epiphany in the final scene as he becomes someone who can now beat the devil by his faith alone . . . this is after two hours of throwing people out windows and shooting more people than your average serial killer . 	Translation	Positive	Negative	EmotionRationale
nobody can save this bomb from it's own stupidity and arrogance in filmmaking and arrogance in believing that this is a positive religious-type of film . 	nobody can save this bomb from it's own stupidity and arrogance in filmmaking and arrogance in believing that this is a positive religious-type of film .	3	-3	 nobody[0] can[0] save[1] this[0] bomb[-1] from[0] it's[0] own[0] stupidity[-1] and[0] arrogance[-2] in[0] filmmaking[0] and[0] arrogance[-2] in[0] believing[0] that[0] this[0] is[0] a[0] positive[2] religious[0] type[0] of[0] film[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it's just a pile of dreck . . . an 	it's just a pile of dreck .<br> .<br> .<br> an	1	-1	 it's[0] just[0] a[0] pile[0] of[0] dreck[0] [[Sentence=-1,1=word max, 1-5]] an[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ill-conceived exploitive project , a pyrotechnical film . 	ill-conceived exploitive project , a pyrotechnical film .	1	-2	 ill[-1] conceived[0] exploitive[0] project[0] a[0] pyrotechnical[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " end of days " aims to be an apocalyptic thriller . 	 " end of days " aims to be an apocalyptic thriller .	2	-1	 end[0] of[0] days[0] aims[0] to[0] be[0] an[0] apocalyptic[0] thriller[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it features an idiotic script , a hack director , and a one-dimensional star who is past his prime . . . which 	it features an idiotic script , a hack director , and a one-dimensional star who is past his prime .<br> .<br> .<br> which	1	-3	 it[0] features[0] an[0] idiotic[-2] script[0] a[0] hack[-1] director[0] and[0] a[0] one[0] dimensional[0] star[0] who[0] is[0] past[0] his[0] prime[0] [[Sentence=-3,1=word max, 1-5]] which[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
makes this film dumber than dumb , plus it's not funny , not campy , or is it in the least bit entertaining . 	makes this film dumber than dumb , plus it's not funny , not campy , or is it in the least bit entertaining .	1	-2	 makes[0] this[0] film[0] dumber[-1] than[0] dumb[-1] plus[0] it's[0] not[0] funny[1][NegatedDueToPreviousWord] not[0] campy[0] or[0] is[0] it[0] in[0] the[0] least[0] bit[0] entertaining[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's just dreary and unwatchable . . . a 	it's just dreary and unwatchable .<br> .<br> .<br> a	1	-1	 it's[0] just[0] dreary[-1][--1 LastWordBoosterStrength] and[0] unwatchable[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
big-budget slasher film . 	big-budget slasher film .	1	-2	 big[0] budget[0] slasher[-1] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
arnold plays an alcoholic security guard who finds his new mission in life is to stop satan ( occupying gabriel byrne's body and possessing a wall st . bank account ) from destroying the world . 	arnold plays an alcoholic security guard who finds his new mission in life is to stop satan ( occupying gabriel byrne's body and possessing a wall st .<br> bank account ) from destroying the world .	2	-3	 arnold[0] plays[1] an[0] alcoholic[0] security[1] guard[0] who[0] finds[0] his[0] new[0] mission[0] in[0] life[0] is[0] to[0] stop[0] satan[-2] occupying[0] gabriel[0] byrne's[0] body[0] and[0] possessing[0] a[0] wall[0] st[0] [[Sentence=-3,2=word max, 1-5]] bank[0] account[0] from[0] destroying[-2] the[0] world[0] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
the film opens in vatican city , roma 1979 -- where the pope is alerted by a young visionary priest tomaso , looking out at the night sky and seeing a comet whiz by , who proclaims after looking at his scrolls -- that's the sign for the 'eye of god , ' which reveals that a child has been born who is being prepared to give birth to satan's baby ( the anti-christ ) in the hour before the new century begins , when satan will fuck her and open up the gates to hell on earth . 	the film opens in vatican city , roma 1979 - where the pope is alerted by a young visionary priest tomaso , looking out at the night sky and seeing a comet whiz by , who proclaims after looking at his scrolls - that's the sign for the 'eye of god , ' which reveals that a child has been born who is being prepared to give birth to satan's baby ( the anti-christ ) in the hour before the new century begins , when satan will fuck her and open up the gates to hell on earth .	2	-3	 the[0] film[0] opens[0] in[0] vatican[0] city[0] roma[0] 1979[0] where[0] the[0] pope[0] is[0] alerted[0] by[0] a[0] young[0] visionary[0] priest[0] tomaso[0] looking[0] out[0] at[0] the[0] night[0] sky[0] and[0] seeing[0] a[0] comet[0] whiz[0] by[0] who[0] proclaims[0] after[0] looking[0] at[0] his[0] scrolls[0] that's[0] the[0] sign[0] for[0] the[0] 'eye[0] of[0] god[0] '[0] which[0] reveals[0] that[0] a[0] child[0] has[0] been[0] born[0] who[0] is[0] being[0] prepared[0] to[0] give[0] birth[0] to[0] satan's[-2] baby[1] the[0] anti[0] christ[0] in[0] the[0] hour[0] before[0] the[0] new[0] century[0] begins[0] when[0] satan[-2] will[0] fuck[-2] her[0] and[0] open[0] up[0] the[0] gates[0] to[0] hell[-1] on[0] earth[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
tomaso has some twenty years to find this woman and save her and the world from doom . 	tomaso has some twenty years to find this woman and save her and the world from doom .	2	-2	 tomaso[0] has[0] some[0] twenty[0] years[0] to[0] find[0] this[0] woman[0] and[0] save[1] her[0] and[0] the[0] world[0] from[0] doom[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but some in the pope's circle want to kill her if found , even though the pope insists on having faith and letting her live , as he lectures them : " even in the world's darkest days -- doing evil doesn't stop evil , but brings on more evil . " 	but some in the pope's circle want to kill her if found , even though the pope insists on having faith and letting her live , as he lectures them : " even in the world's darkest days - doing evil doesn't stop evil , but brings on more evil .<br> "	2	-3	 but[0] some[0] in[0] the[0] pope's[0] circle[0] want[0] to[0] kill[-1] her[0] if[0] found[0] even[0] though[0] the[0] pope[0] insists[0] on[0] having[0] faith[1] and[0] letting[0] her[0] live[0] as[0] he[0] lectures[0] them[0] even[0] in[0] the[0] world's[0] darkest[0] days[0] doing[0] evil[-2] doesn't[0] stop[0] evil[-2] but[0] brings[0] on[0] more[0] evil[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
we saw the girl being born in nyc in 1979 , which seems to be the 'logical' place to look for satan according to the astrology charts of the visionaries . 	we saw the girl being born in nyc in 1979 , which seems to be the 'logical' place to look for satan according to the astrology charts of the visionaries .	1	-3	 we[0] saw[0] the[0] girl[0] being[0] born[0] in[0] nyc[0] in[0] 1979[0] which[0] seems[0] to[0] be[0] the[0] 'logical'[0] place[0] to[0] look[0] for[0] satan[-2] according[0] to[0] the[0] astrology[0] charts[0] of[0] the[0] visionaries[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the chosen woman is christine york ( robin ) . 	the chosen woman is christine york ( robin ) .	1	-1	 the[0] chosen[0] woman[0] is[0] christine[0] york[0] robin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is now a few days before the new year celebration for 2000 and arnold and his wise-cracking security guard partner kevin pollack are hired to guard a wall street turd , and when he is fired upon by a renograde priest , thomas aquinas , arnold saves him and through a ridiculous chase captures the tongue less priest who fired the shot . 	it is now a few days before the new year celebration for 200 and arnold and his wise-cracking security guard partner kevin pollack are hired to guard a wall street turd , and when he is fired upon by a renograde priest , thomas aquinas , arnold saves him and through a ridiculous chase captures the tongue less priest who fired the shot .	2	-3	 it[0] is[0] now[0] a[0] few[0] days[0] before[0] the[0] new[0] year[0] celebration[1] for[0] 2000/200[0] and[0] arnold[0] and[0] his[0] wise[0] cracking[0] security[1] guard[0] partner[0] kevin[0] pollack[0] are[0] hired[0] to[0] guard[0] a[0] wall[0] street[0] turd[0] and[0] when[0] he[0] is[0] fired[-2] upon[0] by[0] a[0] renograde[0] priest[0] thomas[0] aquinas[0] arnold[0] saves[1] him[0] and[0] through[0] a[0] ridiculous[-2] chase[-1] captures[-1] the[0] tongue[0] less[0] priest[0] who[0] fired[-2] the[0] shot[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he , nevertheless , can speak and tells arnold an 'end of days' is coming as prophesized in revelations . 	he , nevertheless , can speak and tells arnold an 'end of days' is coming as prophesized in revelations .	1	-1	 he[0] nevertheless[0] can[0] speak[0] and[0] tells[0] arnold[0] an[0] 'end[0] of[0] days'[0] is[0] coming[0] as[0] prophesized[0] in[0] revelations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but satan gets to him in his hospital room and nails him to the ceiling while scribbling latin warnings of 'the end of the world' on his body . 	but satan gets to him in his hospital room and nails him to the ceiling while scribbling latin warnings of 'the end of the world' on his body .	1	-3	 but[0] satan[-2] gets[0] to[0] him[0] in[0] his[0] hospital[0] room[0] and[0] nails[0] him[0] to[0] the[0] ceiling[0] while[0] scribbling[0] latin[0] warnings[0] of[0] 'the[0] end[0] of[0] the[0] world'[0] on[0] his[0] body[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it is now up to arnold to save the world and find the chosen woman . 	it is now up to arnold to save the world and find the chosen woman .	2	-1	 it[0] is[0] now[0] up[0] to[0] arnold[0] to[0] save[1] the[0] world[0] and[0] find[0] the[0] chosen[0] woman[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he quickly finds christine and does everything to protect her from all the evil forces around her , as the film includes ludicrous helicopter rescues , people jumping out of windows , satan taking a piss and dropping a match to kill arnold's partner as the piss explodes like gasoline , satan being fired at . . . resulting in his sometimes experiencing pain and sometimes nothing , as if the director forgot which way he wants to have it . 	he quickly finds christine and does everything to protect her from all the evil forces around her , as the film includes ludicrous helicopter rescues , people jumping out of windows , satan taking a piss and dropping a match to kill arnold's partner as the piss explodes like gasoline , satan being fired at .<br> .<br> .<br> resulting in his sometimes experiencing pain and sometimes nothing , as if the director forgot which way he wants to have it .	2	-4	 he[0] quickly[0] finds[0] christine[0] and[0] does[0] everything[0] to[0] protect[0] her[0] from[0] all[0] the[0] evil[-2] forces[0] around[0] her[0] as[0] the[0] film[0] includes[0] ludicrous[-2] helicopter[0] rescues[0] people[0] jumping[0] out[0] of[0] windows[0] satan[-2] taking[0] a[0] piss[-2] and[0] dropping[0] a[0] match[0] to[0] kill[-1] arnold's[0] partner[0] as[0] the[0] piss[-2] explodes[-1] like[1] gasoline[0] satan[-2] being[0] fired[-2] at[0] [[Sentence=-3,2=word max, 1-5]] resulting[0] in[0] his[0] sometimes[0] experiencing[0] pain[-3] and[0] sometimes[0] nothing[0] as[0] if[0] the[0] director[0] forgot[0] which[0] way[0] he[0] wants[0] to[0] have[0] it[0] [[Sentence=-4,1=word max, 1-5]][[[2,-4 max of sentences]]]
there is nothing spared in nyc from fire bombs -- including the subway , churches , and luxury buildings . 	there is nothing spared in nyc from fire bombs - including the subway , churches , and luxury buildings .	1	-2	 there[0] is[0] nothing[0] spared[0] in[0] nyc[0] from[0] fire[0] bombs[-1] including[0] the[0] subway[0] churches[0] and[0] luxury[0] buildings[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the only trouble with all these high-budget action sequences , was that it lacked purpose and even entertainment value . 	the only trouble with all these high-budget action sequences , was that it lacked purpose and even entertainment value .	2	-2	 the[0] only[0] trouble[-1] with[0] all[0] these[0] high[0] budget[0] action[0] sequences[0] was[0] that[0] it[0] lacked[0] purpose[0] and[0] even[0] entertainment[0] value[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the story was so terrible and inaccurate , that it did not have an iota of value or credibility . 	the story was so terrible and inaccurate , that it did not have an iota of value or credibility .	2	-4	 the[0] story[0] was[0] so[0] terrible[-3] and[0] inaccurate[0] that[0] it[0] did[0] not[0] have[0] an[0] iota[0] of[0] value[1] or[0] credibility[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
mercifully the movie drags to a final confrontation in times square , trying unsuccessfully to build tension to the countdown toward the year 2000 . 	mercifully the movie drags to a final confrontation in times square , trying unsuccessfully to build tension to the countdown toward the year 200 .	1	-3	 mercifully[0] the[0] movie[0] drags[0] to[0] a[0] final[0] confrontation[-2] in[0] times[0] square[0] trying[0] unsuccessfully[-2] to[0] build[0] tension[-2] to[0] the[0] countdown[0] toward[0] the[0] year[0] 2000/200[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
why is the end of 1999 considered to be the devil's number " 666 , '' well ! 	why is the end of 199 considered to be the devil's number " 66 , '' well !	1	-2	 why[0] is[0] the[0] end[0] of[0] 1999/199[0] considered[0] to[0] be[0] the[0] devil's[-1] number[0] 666/66[0] ''[0] well[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 . . . 	 .<br> .<br> .	1	-1	[[[0,0 max of sentences]]]
satan's numeral is actually " 999 , '' which is upside down of " 666 . '' 	satan's numeral is actually " 99 , '' which is upside down of " 66 .<br> ''	1	-3	 satan's[-2] numeral[0] is[0] actually[0] 999/99[0] ''[0] which[0] is[0] upside[0] down[0] of[0] 666/66[0] [[Sentence=-3,1=word max, 1-5]] ''[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
accordingly , you just put a " 1'' in front of it-- and bingo -- you get " 1999 . '' 	accordingly , you just put a " 1'' in front of it- and bingo - you get " 199 .<br> ''	1	-1	 accordingly[0] you[0] just[0] put[0] a[0] 1''[0] in[0] front[0] of[0] it[0] and[0] bingo[0] you[0] get[0] 1999/199[0] [[Sentence=-1,1=word max, 1-5]] ''[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
