where do i begin ? 	Translation	Positive	Negative	EmotionRationale
okay , how about with this : starship troopers is one of the worst movies to hit theaters in a long time . 	okay , how about with this : starship troopers is one of the worst movies to hit theaters in a long time .	1	-3	 okay[0] how[0] about[0] with[0] this[0] starship[0] troopers[0] is[0] one[0] of[0] the[0] worst[-2] movies[0] to[0] hit[0] theaters[0] in[0] a[0] long[0] time[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in fact , it might even be the worst * major * release film to come out in years . . . 	in fact , it might even be the worst * major * release film to come out in years .<br> .<br> .	1	-3	 in[0] fact[0] it[0] might[0] even[0] be[0] the[0] worst[-2] major[0] release[0] film[0] to[0] come[0] out[0] in[0] years[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
or even a decade . 	or even a decade .	1	-1	 or[0] even[0] a[0] decade[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is bad beyond belief . 	this is bad beyond belief .	1	-2	 this[0] is[0] bad[-1] beyond[0] belief[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i would * not * suggest paying money to see this . 	i would * not * suggest paying money to see this .	1	-1	 i[0] would[0] not[0] suggest[0] paying[0] money[0] to[0] see[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's a good chance you'll regret it . 	there's a good chance you'll regret it .	2	-2	 there's[0] a[0] good[1] chance[0] you'll[0] regret[-1] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if you see it for free , you could still want to walk out . 	if you see it for free , you could still want to walk out .	1	-1	 if[0] you[0] see[0] it[0] for[0] free[0] you[0] could[0] still[0] want[0] to[0] walk[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
go right ahead . 	go right ahead .	1	-1	 go[0] right[0] ahead[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie starts off with cheesy 90210 scenes set in the future world of . . . buenos aires . 	the movie starts off with cheesy 90210 scenes set in the future world of .<br> .<br> .<br> buenos aires .	1	-1	 the[0] movie[0] starts[0] off[0] with[0] cheesy[0] 90210[0] scenes[0] set[0] in[0] the[0] future[0] world[0] of[0] [[Sentence=-1,1=word max, 1-5]] buenos[0] aires[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here we meet the group of horrendously bad actors and actresses playing obnoxious , easy-to- * despise * -with-a-passion characters that have love triangles , love rectangles , and love hexagons screwing up their life . 	here we meet the group of horrendously bad actors and actresses playing obnoxious , easy-to- * despise * -with-a-passion characters that have love triangles , love rectangles , and love hexagons screwing up their life .	3	-4	 here[0] we[0] meet[0] the[0] group[0] of[0] horrendously[-3] bad[-1] actors[0] and[0] actresses[0] playing[1] obnoxious[-2] easy[0] to[0] despise[-3] with[0] a[0] passion[2] characters[0] that[0] have[0] love[2] triangles[0] love[2] rectangles[0] and[0] love[2] hexagons[0] screwing[0] up[0] their[0] life[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
before long they all go off and join the military , primarily in the interest of having sex with the other youngsters that joined . 	before long they all go off and join the military , primarily in the interest of having sex with the other youngsters that joined .	2	-1	 before[0] long[0] they[0] all[0] go[0] off[0] and[0] join[0] the[0] military[0] primarily[0] in[0] the[0] interest[1] of[0] having[0] sex[0] with[0] the[0] other[0] youngsters[0] that[0] joined[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they train . 	they train .	1	-1	 they[0] train[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they strut around nude for no reason whatsoever . 	they strut around nude for no reason whatsoever .	1	-1	 they[0] strut[0] around[0] nude[0] for[0] no[0] reason[0] whatsoever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after an hour of making the audience scream in agony , they start fighting bugs . 	after an hour of making the audience scream in agony , they start fighting bugs .	1	-4	 after[0] an[0] hour[0] of[0] making[0] the[0] audience[0] scream[-3] in[0] agony[-3] they[0] start[0] fighting[-2] bugs[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the big bugs look nice , even though their design is only " okay . " 	the big bugs look nice , even though their design is only " okay .<br> "	2	-1	 the[0] big[0] bugs[0] look[0] nice[1] even[0] though[0] their[0] design[0] is[0] only[0] okay[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
