whether you like the beatles or not , nobody wants to see the bee gee's take on some of the fab four's best known songs . 	Translation	Positive	Negative	EmotionRationale
well , maybe that's not true . 	well , maybe that's not true .	1	-2	 well[0] maybe[0] that's[0] not[0] true[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
maybe you're curious , the way you have to look in your hanky after you blow your nose . 	maybe you're curious , the way you have to look in your hanky after you blow your nose .	1	-1	 maybe[0] you're[0] curious[0] the[0] way[0] you[0] have[0] to[0] look[0] in[0] your[0] hanky[0] after[0] you[0] blow[0] your[0] nose[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you just have to know how bad bad can be . 	you just have to know how bad bad can be .	1	-2	 you[0] just[0] have[0] to[0] know[0] how[0] bad[-1] bad[-1] can[0] be[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if that's the case , rejoice , because it was twenty years ago today ( or so ) that sgt . 	if that's the case , rejoice , because it was twenty years ago today ( or so ) that sgt .	4	-1	 if[0] that's[0] the[0] case[0] rejoice[3] because[0] it[0] was[0] twenty[0] years[0] ago[0] today[0] or[0] so[0] that[0] sgt[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
pepper's lonely hearts club band was released ( unleashed ? ) to the world , and thanks to our modern technological advances , you can find this retched piece of filmmaking on vhs . 	pepper's lonely hearts club band was released ( unleashed ?<br> ) to the world , and thanks to our modern technological advances , you can find this retched piece of filmmaking on vhs .	2	-3	 pepper's[0] lonely[-1] hearts[0] club[0] band[0] was[0] released[0] unleashed[0] [[Sentence=-2,1=word max, 1-5]] to[0] the[0] world[0] and[0] thanks[1] to[0] our[0] modern[0] technological[0] advances[0] you[0] can[0] find[0] this[0] retched[-2] piece[0] of[0] filmmaking[0] on[0] vhs[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
derived from the lyrics of various beatles' songs , sgt . 	derived from the lyrics of various beatles' songs , sgt .	1	-1	 derived[0] from[0] the[0] lyrics[0] of[0] various[0] beatles'[0] songs[0] sgt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pepper's tells the story of the fictitious band made popular from the song ( and album ) of the same name , released in 1967 . 	pepper's tells the story of the fictitious band made popular from the song ( and album ) of the same name , released in 1967 .	1	-1	 pepper's[0] tells[0] the[0] story[0] of[0] the[0] fictitious[0] band[0] made[0] popular[0] from[0] the[0] song[0] and[0] album[0] of[0] the[0] same[0] name[0] released[0] in[0] 1967[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , the movie was made eleven years later , the gibbs three have become the lonely hearts , peter frampton is the one and only billy shears , and aside from being about a rock band , the story doesn't correlate to the song at all . 	of course , the movie was made eleven years later , the gibbs three have become the lonely hearts , peter frampton is the one and only billy shears , and aside from being about a rock band , the story doesn't correlate to the song at all .	2	-2	 of[0] course[0] the[0] movie[0] was[0] made[0] eleven[0] years[0] later[0] the[0] gibbs[0] three[0] have[0] become[0] the[0] lonely[-1] hearts[0] peter[0] frampton[0] is[0] the[0] one[0] and[0] only[0] billy[0] shears[0] and[0] aside[0] from[0] being[0] about[0] a[0] rock[1] band[0] the[0] story[0] doesn't[0] correlate[0] to[0] the[0] song[0] at[0] all[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
