director doug ellin's kissing a fool , released earlier this year , is an aptly titled comedy about two plastic couples housed in an artificial story . 	Translation	Positive	Negative	EmotionRationale
like a sitcom with jokes so lame that it would be impossible to overlay a laugh track on it , the movie meanders along insulting the viewers' intelligence in almost every frame . 	like a sitcom with jokes so lame that it would be impossible to overlay a laugh track on it , the movie meanders along insulting the viewers' intelligence in almost every frame .	2	-3	 like[1] a[0] sitcom[0] with[0] jokes[1] so[0] lame[-2] that[0] it[0] would[0] be[0] impossible[0] to[0] overlay[0] a[0] laugh[1] track[0] on[0] it[0] the[0] movie[0] meanders[0] along[0] insulting[-2] the[0] viewers'[0] intelligence[0] in[0] almost[0] every[0] frame[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the script by james frey and the director is filled with vapid actors who read meaningless lines you've heard before . 	the script by james frey and the director is filled with vapid actors who read meaningless lines you've heard before .	1	-2	 the[0] script[0] by[0] james[0] frey[0] and[0] the[0] director[0] is[0] filled[0] with[0] vapid[0] actors[0] who[0] read[0] meaningless[-1] lines[0] you've[0] heard[0] before[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( " i'm not wearing any underwear , " the bimbo tells the famous sportscaster , max , in what she assumes will be a sure-fire come-on line . ) 	 ( " i'm not wearing any underwear , " the bimbo tells the famous sportscaster , max , in what she assumes will be a sure-fire come-on line .<br> )	1	-1	 i'm[0] not[0] wearing[0] any[0] underwear[0] the[0] bimbo[0] tells[0] the[0] famous[0] sportscaster[0] max[0] in[0] what[0] she[0] assumes[0] will[0] be[0] a[0] sure[0] fire[0] come[0] on[0] line[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
max , chicago's biggest playboy , decides to get married after a whirlwind love affair with sam , short for samantha . 	max , chicago's biggest playboy , decides to get married after a whirlwind love affair with sam , short for samantha .	3	-1	 max[0] chicago's[0] biggest[0] playboy[0] decides[0] to[0] get[0] married[0] after[0] a[0] whirlwind[0] love[2] affair[0] with[0] sam[0] short[0] for[0] samantha[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
max and sam possess two irritating personalities , and they hold little chemistry for each other or the audience . 	max and sam possess two irritating personalities , and they hold little chemistry for each other or the audience .	1	-3	 max[0] and[0] sam[0] possess[0] two[0] irritating[-2] personalities[0] and[0] they[0] hold[0] little[0] chemistry[0] for[0] each[0] other[0] or[0] the[0] audience[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
max is played without any style by david schwimmer . 	max is played without any style by david schwimmer .	1	-1	 max[0] is[0] played[0] without[0] any[0] style[0] by[0] david[0] schwimmer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
schwimmer , whose acting talent is playing characters devoid of personality , makes an unlikely lover . 	schwimmer , whose acting talent is playing characters devoid of personality , makes an unlikely lover .	4	-2	 schwimmer[0] whose[0] acting[0] talent[1] is[0] playing[1] characters[0] devoid[-1] of[0] personality[0] makes[0] an[0] unlikely[0] lover[3] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
his costar , mili avital as sam , is cut from the same cloth , so they can be argued to be a matched pair . 	his costar , mili avital as sam , is cut from the same cloth , so they can be argued to be a matched pair .	1	-2	 his[0] costar[0] mili[0] avital[0] as[0] sam[0] is[0] cut[0] from[0] the[0] same[0] cloth[0] so[0] they[0] can[0] be[0] argued[-1] to[0] be[0] a[0] matched[0] pair[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after all , people of the same intelligence are naturally drawn to each other , ditto for similar looks , so why shouldn't the personality-challenged be attracted ? 	after all , people of the same intelligence are naturally drawn to each other , ditto for similar looks , so why shouldn't the personality-challenged be attracted ?	2	-2	 after[0] all[0] people[0] of[0] the[0] same[0] intelligence[0] are[0] naturally[0] drawn[0] to[0] each[0] other[0] ditto[0] for[0] similar[0] looks[0] so[0] why[0] shouldn't[0] the[0] personality[0] challenged[-1] be[0] attracted[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the implausible plot has max asking his best friend , jay ( jason lee ) , to hit on sam as a test . 	the implausible plot has max asking his best friend , jay ( jason lee ) , to hit on sam as a test .	2	-1	 the[0] implausible[0] plot[0] has[0] max[0] asking[0] his[0] best[1] friend[1] jay[0] jason[0] lee[0] to[0] hit[0] on[0] sam[0] as[0] a[0] test[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
jay is supposed to try to get her to sleep with him , but stop short of the actual act . 	jay is supposed to try to get her to sleep with him , but stop short of the actual act .	1	-1	 jay[0] is[0] supposed[0] to[0] try[0] to[0] get[0] her[0] to[0] sleep[0] with[0] him[0] but[0] stop[0] short[0] of[0] the[0] actual[0] act[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
max , being promiscuous by nature , worries that his future bride may have the same need to sleep around as he does . 	max , being promiscuous by nature , worries that his future bride may have the same need to sleep around as he does .	1	-4	 max[0] being[0] promiscuous[-1] by[0] nature[0] worries[-3] that[0] his[0] future[0] bride[0] may[0] have[0] the[0] same[0] need[0] to[0] sleep[0] around[0] as[0] he[0] does[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
