mr . bean , a bumbling security guard from england is sent to la to help with the grandiose homecoming of a masterpiece american painting . 	Translation	Positive	Negative	EmotionRationale
the first two words should have said enough to let you know what occurs during bean's trip to la , but if they didn't look out because you are in for a rather interesting if not odd ride . 	the first two words should have said enough to let you know what occurs during bean's trip to la , but if they didn't look out because you are in for a rather interesting if not odd ride .	2	-1	 the[0] first[0] two[0] words[0] should[0] have[0] said[0] enough[0] to[0] let[0] you[0] know[0] what[0] occurs[0] during[0] bean's[0] trip[0] to[0] la[0] but[0] if[0] they[0] didn't[0] look[0] out[0] because[0] you[0] are[0] in[0] for[0] a[0] rather[0] interesting[1] if[0] not[0] odd[0] ride[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
heck depending on your humor you might end up laughing through the whole flick . 	heck depending on your humor you might end up laughing through the whole flick .	3	-1	 heck[0] depending[0] on[0] your[0] humor[2] you[0] might[0] end[0] up[0] laughing[1] through[0] the[0] whole[0] flick[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
either way look out america bean is coming . 	either way look out america bean is coming .	1	-1	 either[0] way[0] look[0] out[0] america[0] bean[0] is[0] coming[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , what can really be said about this movie , there is very little discernible plot . 	well , what can really be said about this movie , there is very little discernible plot .	1	-1	 well[0] what[0] can[0] really[0] be[0] said[0] about[0] this[0] movie[0] there[0] is[0] very[0] little[0] discernible[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that much is not hard to grapple with for it is a slapstick comedy . 	that much is not hard to grapple with for it is a slapstick comedy .	1	-2	 that[0] much[0] is[0] not[0] hard[0] to[0] grapple[-1] with[0] for[0] it[0] is[0] a[0] slapstick[-1] comedy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it achieves that goal rather admirably , but because it is that , the plot is just screaming for help . 	it achieves that goal rather admirably , but because it is that , the plot is just screaming for help .	3	-3	 it[0] achieves[0] that[0] goal[0] rather[0] admirably[2] but[0] because[0] it[0] is[0] that[0] the[0] plot[0] is[0] just[0] screaming[-3][--1 LastWordBoosterStrength] for[0] help[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the whole premise that the movie is based on is to say the least flawed . 	the whole premise that the movie is based on is to say the least flawed .	1	-1	 the[0] whole[0] premise[0] that[0] the[0] movie[0] is[0] based[0] on[0] is[0] to[0] say[0] the[0] least[0] flawed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie had its funny moments but there was no real story line other than something that could be thought up on a whim and carried through and in many causes ad-libbed as you went . 	the movie had its funny moments but there was no real story line other than something that could be thought up on a whim and carried through and in many causes ad-libbed as you went .	2	-1	 the[0] movie[0] had[0] its[0] funny[1] moments[0] but[0] there[0] was[0] no[0] real[0] story[0] line[0] other[0] than[0] something[0] that[0] could[0] be[0] thought[0] up[0] on[0] a[0] whim[0] and[0] carried[0] through[0] and[0] in[0] many[0] causes[0] ad[0] libbed[0] as[0] you[0] went[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
don't go into this movie expecting and theatrical masterpiece . 	don't go into this movie expecting and theatrical masterpiece .	1	-1	 don't[0] go[0] into[0] this[0] movie[0] expecting[0] and[0] theatrical[0] masterpiece[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but if this form of humor floats your boat then you will truly enjoy this movie , even if you don't like slapstick style humor you will end up laughing because something's are just so stupid . 	but if this form of humor floats your boat then you will truly enjoy this movie , even if you don't like slapstick style humor you will end up laughing because something's are just so stupid .	3	-2	 but[0] if[0] this[0] form[0] of[0] humor[2] floats[0] your[0] boat[0] then[0] you[0] will[0] truly[1] enjoy[2] this[0] movie[0] even[0] if[0] you[0] don't[0] like[1][NegatedDueToPreviousWord] slapstick[-1][NegatedDueToPreviousWord] style[0] humor[2] you[0] will[0] end[0] up[0] laughing[1] because[0] something's[0] are[0] just[0] so[0] stupid[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the movie goes out and accomplishes what it aims , or so it seems . 	the movie goes out and accomplishes what it aims , or so it seems .	2	-1	 the[0] movie[0] goes[0] out[0] and[0] accomplishes[1] what[0] it[0] aims[0] or[0] so[0] it[0] seems[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
now when you look at the acting in this movie you have to think about two things , first was there any real acting and how hard is it to act in the slapstick manner . 	now when you look at the acting in this movie you have to think about two things , first was there any real acting and how hard is it to act in the slapstick manner .	1	-2	 now[0] when[0] you[0] look[0] at[0] the[0] acting[0] in[0] this[0] movie[0] you[0] have[0] to[0] think[0] about[0] two[0] things[0] first[0] was[0] there[0] any[0] real[0] acting[0] and[0] how[0] hard[0] is[0] it[0] to[0] act[0] in[0] the[0] slapstick[-1] manner[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
well , there was no real acting in this movie but some of the slapstick wasn't the easiest i am sure . 	well , there was no real acting in this movie but some of the slapstick wasn't the easiest i am sure .	1	-2	 well[0] there[0] was[0] no[0] real[0] acting[0] in[0] this[0] movie[0] but[0] some[0] of[0] the[0] slapstick[-1] wasn't[0] the[0] easiest[0] i[0] am[0] sure[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i have to concede that mr . atkinson's acting in this movie is well done . 	i have to concede that mr .<br> atkinson's acting in this movie is well done .	1	-1	 i[0] have[0] to[0] concede[0] that[0] mr[0] [[Sentence=-1,1=word max, 1-5]] atkinson's[0] acting[0] in[0] this[0] movie[0] is[0] well[0] done[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although the role isn't too demanding the slapstick is . 	although the role isn't too demanding the slapstick is .	1	-2	 although[0] the[0] role[0] isn't[0] too[0] demanding[0] the[0] slapstick[-1] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i think that the character could have had a bit more dialogue , it would have added quite a bit to the overall effect of the movie . 	i think that the character could have had a bit more dialogue , it would have added quite a bit to the overall effect of the movie .	1	-1	 i[0] think[0] that[0] the[0] character[0] could[0] have[0] had[0] a[0] bit[0] more[0] dialogue[0] it[0] would[0] have[0] added[0] quite[0] a[0] bit[0] to[0] the[0] overall[0] effect[0] of[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now the rest of the actors in the movie , bad acting and poor casting . 	now the rest of the actors in the movie , bad acting and poor casting .	1	-2	 now[0] the[0] rest[0] of[0] the[0] actors[0] in[0] the[0] movie[0] bad[-1] acting[0] and[0] poor[-1] casting[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i think that the role opposite bean could have been better , just seemed wrong for the movie . 	i think that the role opposite bean could have been better , just seemed wrong for the movie .	1	-2	 i[0] think[0] that[0] the[0] role[0] opposite[0] bean[0] could[0] have[0] been[0] better[0] just[0] seemed[0] wrong[-1] for[0] the[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
