 " mission to mars " is one of those annoying movies where , in the middle of the movie , you get the sneaking suspicion that the reason the trailer looks so good is because they showcased all the best parts of the movie : all five minutes of it . 	Translation	Positive	Negative	EmotionRationale
 " mission " * does * give you payoff ; but when it does come , it's too little , too late . 	 " mission " * does * give you payoff ; but when it does come , it's too little , too late .	1	-1	 mission[0] does[0] give[0] you[0] payoff[0] but[0] when[0] it[0] does[0] come[0] it's[0] too[0] little[0] too[0] late[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " mission " has some good ideas , but they get lost in the unbearably boring delivery , dime-a-dozen dialogue , and spate of good actors wasted in cardboard-cutout roles . 	 " mission " has some good ideas , but they get lost in the unbearably boring delivery , dime-a-dozen dialogue , and spate of good actors wasted in cardboard-cutout roles .	2	-4	 mission[0] has[0] some[0] good[1][-1 LastWordBoosterStrength] ideas[0] but[0] they[0] get[0] lost[0] in[0] the[0] unbearably[-3] boring[-1] delivery[0] dime[0] a[0] dozen[0] dialogue[0] and[0] spate[0] of[0] good[1] actors[0] wasted[-1] in[0] cardboard[0] cutout[0] roles[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i'm sure the director and writers were very proud of each hallmark moment they came up with , so they stretch each dramatic moment out like silly putty until it loses all its charm . 	i'm sure the director and writers were very proud of each hallmark moment they came up with , so they stretch each dramatic moment out like silly putty until it loses all its charm .	3	-2	 i'm[0] sure[0] the[0] director[0] and[0] writers[0] were[0] very[0] proud[1][1 LastWordBoosterStrength] of[0] each[0] hallmark[0] moment[0] they[0] came[0] up[0] with[0] so[0] they[0] stretch[0] each[0] dramatic[0] moment[0] out[0] like[1] silly[-1] putty[0] until[0] it[0] loses[-1] all[0] its[0] charm[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
glances don't communicate any deeper emotions just because you draw them out for five hours on end . 	glances don't communicate any deeper emotions just because you draw them out for five hours on end .	1	-1	 glances[0] don't[0] communicate[0] any[0] deeper[0] emotions[0] just[0] because[0] you[0] draw[0] them[0] out[0] for[0] five[0] hours[0] on[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film spends an hour on this kind of stuff , building to its climax . 	the film spends an hour on this kind of stuff , building to its climax .	2	-1	 the[0] film[0] spends[0] an[0] hour[0] on[0] this[0] kind[1] of[0] stuff[0] building[0] to[0] its[0] climax[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a lot of it is a cliched glorification of family relationships , marriage , friendship , unite we stand divided we fall kind of crap . 	a lot of it is a cliched glorification of family relationships , marriage , friendship , unite we stand divided we fall kind of crap .	2	-3	 a[0] lot[0] of[0] it[0] is[0] a[0] cliched[0] glorification[-1] of[0] family[0] relationships[0] marriage[0] friendship[1] unite[0] we[0] stand[0] divided[0] we[0] fall[0] kind[1] of[0] crap[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
there are some spectacular special effects sequences in this film , and i give it points for trying to stay true to the science i know ( trying is the key word here ) . 	there are some spectacular special effects sequences in this film , and i give it points for trying to stay true to the science i know ( trying is the key word here ) .	2	-1	 there[0] are[0] some[0] spectacular[0] special[1] effects[0] sequences[0] in[0] this[0] film[0] and[0] i[0] give[0] it[0] points[0] for[0] trying[0] to[0] stay[0] true[1] to[0] the[0] science[0] i[0] know[0] trying[0] is[0] the[0] key[0] word[0] here[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the sequence with the martian demonstrating their history is oddly beautiful and touching , but as mentioned by then we're so sick of the goddamn thing we want the movie to be over . 	the sequence with the martian demonstrating their history is oddly beautiful and touching , but as mentioned by then we're so sick of the goddamn thing we want the movie to be over .	3	-3	 the[0] sequence[0] with[0] the[0] martian[0] demonstrating[0] their[0] history[0] is[0] oddly[0] beautiful[2] and[0] touching[0] but[0] as[0] mentioned[0] by[0] then[0] we're[0] so[0] sick[-1] of[0] the[0] goddamn[-2] thing[0] we[0] want[0] the[0] movie[0] to[0] be[0] over[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
great design , good intentions , but no cigar . 	great design , good intentions , but no cigar .	3	-1	 great[2] design[0] good[1] intentions[0] but[0] no[0] cigar[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if you're not a die hard sci-fi , fx or jerry o'connell fan ( his character is the only one who has some semblance of character ) , don't waste your eight bucks on this . 	if you're not a die hard sci-fi , fx or jerry o'connell fan ( his character is the only one who has some semblance of character ) , don't waste your eight bucks on this .	2	-1	 if[0] you're[0] not[0] a[0] die[0] hard[0] sci[0] fi[0] fx[0] or[0] jerry[0] o'connell[0] fan[0] his[0] character[0] is[0] the[0] only[0] one[0] who[0] has[0] some[0] semblance[0] of[0] character[0] don't[0] waste[-1][NegatedDueToPreviousWord] your[0] eight[0] bucks[0] on[0] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and what the hell , tim robbins died halfway through the movie , in a stupid way too . 	and what the hell , tim robins died halfway through the movie , in a stupid way too .	1	-2	 and[0] what[0] the[0] hell[-1] tim[0] robbins/robins[0] died[0] halfway[0] through[0] the[0] movie[0] in[0] a[0] stupid[-1] way[0] too[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that's just unforgiveable . 	that's just unforgiveable .	1	-1	 that's[0] just[0] unforgiveable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
