hello kids . 	Translation	Positive	Negative	EmotionRationale
today the movie studios want to take over my critical review , and somehow persuade you that _armageddon_ , the summer's biggest blockbuster , is a film for everybody . 	today the movie studios want to take over my critical review , and somehow persuade you that _armageddon_ , the summer's biggest blockbuster , is a film for everybody .	1	-2	 today[0] the[0] movie[0] studios[0] want[0] to[0] take[0] over[0] my[0] critical[-1] review[0] and[0] somehow[0] persuade[0] you[0] that[0] _armageddon_[0] the[0] summer's[0] biggest[0] blockbuster[-1] is[0] a[0] film[0] for[0] everybody[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and remember , if a film is for _everybody_ , and if it makes the most money for the summer , it _must_ be good , right ? 	and remember , if a film is for _everybody_ , and if it makes the most money for the summer , it _must_ be good , right ?	2	-1	 and[0] remember[0] if[0] a[0] film[0] is[0] for[0] _everybody_[0] and[0] if[0] it[0] makes[0] the[0] most[0] money[0] for[0] the[0] summer[0] it[0] _must_[0] be[0] good[1] right[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
armageddon is a comedy , with a capital " c " . 	armageddon is a comedy , with a capital " c " .	1	-1	 armageddon[0] is[0] a[0] comedy[0] with[0] a[0] capital[0] c[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it stars bruce willis , who has a hundred one-liners ! 	it stars bruce willis , who has a hundred one-liners !	1	-1	 it[0] stars[0] bruce[0] willis[0] who[0] has[0] a[0] hundred[0] one[0] liners[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it has a tiny rock land directly in the middle of a heated argument in new york city ! ! 	it has a tiny rock land directly in the middle of a heated argument in new york city !<br> !	2	-2	 it[0] has[0] a[0] tiny[0] rock[1] land[0] directly[0] in[0] the[0] middle[0] of[0] a[0] heated[0] argument[-1] in[0] new[0] york[0] city[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and , chuckle , chuckle , one of those new yorkers , _survives_ , with charcoal all over his face ! ! 	and , chuckle , chuckle , one of those new yorkers , _survives_ , with charcoal all over his face !<br> !	4	-1	 and[0] chuckle[2] chuckle[2][+1 MultiplePositiveWords] one[0] of[0] those[0] new[0] yorkers[0] _survives_[0] with[0] charcoal[0] all[0] over[0] his[0] face[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
snorkle , * sniff * , hiccup . 	snorkle , * sniff * , hiccup .	1	-1	 snorkle[0] sniff[0] hiccup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and it has steve buscemi as a _genius_ who wants to work for an oil rig ? 	and it has steve buscemi as a _genius_ who wants to work for an oil rig ?	1	-1	 and[0] it[0] has[0] steve[0] buscemi[0] as[0] a[0] _genius_[0] who[0] wants[0] to[0] work[0] for[0] an[0] oil[0] rig[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
knee-slap ! ! 	knee-slap !<br> !	1	-2	 knee[0] slap[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
isn't this just so , so , funny ! ? 	isn't this just so , so , funny !<br> ?	2	-1	 isn't[0] this[0] just[0] so[0] so[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
armageddon also has romance , with a capital " r " . 	armageddon also has romance , with a capital " are " .	4	-1	 armageddon[0] also[0] has[0] romance[3] with[0] a[0] capital[0] r[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it has a tender moment between * forbidden lovers * ben affleck and liv tyler , with , with , animal crackers ! 	it has a tender moment between * forbidden lovers * ben affleck and liv tyler , with , with , animal crackers !	4	-2	 it[0] has[0] a[0] tender[2] moment[0] between[0] forbidden[-1] lovers[3] ben[0] affleck[0] and[0] liv[0] tyler[0] with[0] with[0] animal[0] crackers[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
and it has will patton as a long lost husband trying to reunite with his separated wife and child , who thinks he's a salesman ! 	and it has will patton as a long lost husband trying to reunite with his separated wife and child , who thinks he's a salesman !	1	-1	 and[0] it[0] has[0] will[0] patton[0] as[0] a[0] long[0] lost[0] husband[0] trying[0] to[0] reunite[0] with[0] his[0] separated[0] wife[0] and[0] child[0] who[0] thinks[0] he's[0] a[0] salesman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gurgle , * sniff * , awwwww . 	gurgle , * sniff * , aw .	1	-1	 gurgle[0] sniff[0] awwwww/aw[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and it has steve buscemi spewing more one-liners about minors and strippers . 	and it has steve buscemi spewing more one-liners about minors and strippers .	1	-2	 and[0] it[0] has[0] steve[0] buscemi[0] spewing[-1] more[0] one[0] liners[0] about[0] minors[0] and[0] strippers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
umm , moving right along . . . 	um , moving right along .<br> .<br> .	1	-1	 umm/um[0] moving[0] right[0] along[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
armageddon also has lots of action , with a capital " a " . 	armageddon also has lots of action , with a capital " a " .	1	-1	 armageddon[0] also[0] has[0] lots[0] of[0] action[0] with[0] a[0] capital[0] a[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not just any action sequence would do . 	not just any action sequence would do .	1	-1	 not[0] just[0] any[0] action[0] sequence[0] would[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it must have _original_ action sequences that are designed to thrill . 	it must have _original_ action sequences that are designed to thrill .	4	-1	 it[0] must[0] have[0] _original_[0] action[0] sequences[0] that[0] are[0] designed[0] to[0] thrill[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
like , drill , darn it , drill ! ! ! 	like , drill , darn it , drill !<br> !<br> !	2	-2	 like[1] drill[0] darn[-1] it[0] drill[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and , let's have inept people destroy the mir space station ! ! 	and , let's have inept people destroy the mir space station !<br> !	1	-3	 and[0] let's[0] have[0] inept[0] people[0] destroy[-2] the[0] mir[0] space[0] station[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
can't you hear your heart beating ! ? 	can't you hear your heart beating !<br> ?	1	-1	 can't[0] you[0] hear[0] your[0] heart[0] beating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
