gord brody ( tom green ) is an aspiring animator approaching thirty who still lives in parents jim ( rip torn ) and julie's ( julie hagerty , " airplane " ) basement . 	Translation	Positive	Negative	EmotionRationale
as dad declares all out war , gord secures a job in a cheese sandwich factory in far off la and sets off to make his dreams come true . 	as dad declares all out war , gord secures a job in a cheese sandwich factory in far off la and sets off to make his dreams come true .	2	-3	 as[0] dad[0] declares[0] all[0] out[0] war[-2] gord[0] secures[1] a[0] job[0] in[0] a[0] cheese[0] sandwich[0] factory[0] in[0] far[0] off[0] la[0] and[0] sets[0] off[0] to[0] make[0] his[0] dreams[0] come[0] true[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
gord doesn't make much of a go on his first attempt and lands back home with fawning mom and outraged dad in " freddy got fingered . " 	gord doesn't make much of a go on his first attempt and lands back home with fawning mom and outraged dad in " freddy got fingered .<br> "	1	-3	 gord[0] doesn't[0] make[0] much[0] of[0] a[0] go[0] on[0] his[0] first[0] attempt[0] and[0] lands[0] back[0] home[0] with[0] fawning[0] mom[0] and[0] outraged[-2] dad[0] in[0] freddy[0] got[0] fingered[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
tom green cowrites ( with " tom green show " scribe derek harvie ) , directs and stars in what is essentially tom green's primal scream . 	tom green cowrites ( with " tom green show " scribe derek harvie ) , directs and stars in what is essentially tom green's primal scream .	1	-4	 tom[0] green[0] cowrites[0] with[0] tom[0] green[0] show[0] scribe[0] derek[0] harvie[0] directs[0] and[0] stars[0] in[0] what[0] is[0] essentially[0] tom[0] green's[0] primal[0] scream[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
so , if tom green screams in an empty theater , does he make a sound ? 	so , if tom green screams in an empty theater , does he make a sound ?	1	-4	 so[0] if[0] tom[0] green[0] screams[-3] in[0] an[0] empty[0] theater[0] does[0] he[0] make[0] a[0] sound[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's clear that " freddy got fingered " is at least partially autobiographical and green sure has one hell of a complex about his dad ( mom gets off easier when sonny boy advises her to go out and have sex with basketball players and greeks ) . 	it's clear that " freddy got fingered " is at least partially autobiographical and green sure has one hell of a complex about his dad ( mom gets off easier when sonny boy advises her to go out and have sex with basketball players and greeks ) .	1	-2	 it's[0] clear[0] that[0] freddy[0] got[0] fingered[0] is[0] at[0] least[0] partially[0] autobiographical[0] and[0] green[0] sure[0] has[0] one[0] hell[-1] of[0] a[0] complex[0] about[0] his[0] dad[0] mom[0] gets[0] off[0] easier[0] when[0] sonny[0] boy[0] advises[0] her[0] to[0] go[0] out[0] and[0] have[0] sex[0] with[0] basketball[0] players[0] and[0] greeks[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while this may be of interest to his hard core fans , there's little about green's mania on display here to recommend this movie to anyone else . 	while this may be of interest to his hard core fans , there's little about green's mania on display here to recommend this movie to anyone else .	2	-1	 while[0] this[0] may[0] be[0] of[0] interest[1] to[0] his[0] hard[0] core[0] fans[0] there's[0] little[0] about[0] green's[0] mania[0] on[0] display[0] here[0] to[0] recommend[0] this[0] movie[0] to[0] anyone[0] else[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film starts promisingly enough , with a well executed skateboarding scene through a shopping mall set to the sex pistols' 'problem' ( green's put together a first rate soundtrack ) and yes , i laughed a few times . 	the film starts promisingly enough , with a well executed skateboarding scene through a shopping mall set to the sex pistols' 'problem' ( green's put together a first rate soundtrack ) and yes , i laughed a few times .	2	-2	 the[0] film[0] starts[0] promisingly[1] enough[0] with[0] a[0] well[0] executed[-1] skateboarding[0] scene[0] through[0] a[0] shopping[0] mall[0] set[0] to[0] the[0] sex[0] pistols'[0] 'problem'[0] green's[0] put[0] together[0] a[0] first[0] rate[0] soundtrack[0] and[0] yes[0] i[0] laughed[1] a[0] few[0] times[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
green's flummoxing of a security guard with psychotic ramblings and his attempt to draw , make music and eat at the same time ( the 'daddy would you like some sausages' scene repeatedly shown in the film's trailer ) are inspired comedy . 	green's flummoxing of a security guard with psychotic ramblings and his attempt to draw , make music and eat at the same time ( the 'daddy would you like some sausages' scene repeatedly shown in the film's trailer ) are inspired comedy .	3	-1	 green's[0] flummoxing[0] of[0] a[0] security[1] guard[0] with[0] psychotic[0] ramblings[0] and[0] his[0] attempt[0] to[0] draw[0] make[0] music[0] and[0] eat[0] at[0] the[0] same[0] time[0] the[0] 'daddy[0] would[0] you[0] like[1] some[0] sausages'[0] scene[0] repeatedly[0] shown[0] in[0] the[0] film's[0] trailer[0] are[0] inspired[2] comedy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but what's funny about a paraplegic girlfriend who gets turned on by having her legs caned or a skateboarding injury that results in an exposed kneecap ? 	but what's funny about a paraplegic girlfriend who gets turned on by having her legs caned or a skateboarding injury that results in an exposed kneecap ?	2	-2	 but[0] what's[0] funny[1] about[0] a[0] paraplegic[0] girlfriend[0] who[0] gets[0] turned[0] on[0] by[0] having[0] her[0] legs[0] caned[0] or[0] a[0] skateboarding[0] injury[-1] that[0] results[0] in[0] an[0] exposed[-1] kneecap[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a baby delivery bit shows some groan-inducing promise until enough blood is splattered to coagulate the laughs . 	a baby delivery bit shows some groan-inducing promise until enough blood is splattered to coagulate the laughs .	2	-1	 a[0] baby[1] delivery[0] bit[0] shows[0] some[0] groan[0] inducing[0] promise[1] until[0] enough[0] blood[0] is[0] splattered[0] to[0] coagulate[0] the[0] laughs[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
