synopsis : big-breasted and dim-witted sculptress britt gets really mad at her grad student boyfriend because he spends too much time on his thought-transference experiments instead of her art showings . 	Translation	Positive	Negative	EmotionRationale
elderly , evil scientist everett longstreet switches minds with britt's boy , in the meantime , and goes completely mental . 	elderly , evil scientist everett longstreet switches minds with britt's boy , in the meantime , and goes completely mental .	1	-3	 elderly[0] evil[-2] scientist[0] everett[0] longstreet[0] switches[0] minds[0] with[0] britt's[0] boy[0] in[0] the[0] meantime[0] and[0] goes[0] completely[0] mental[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
comments : naked souls opens with a naked woman , and the movie makes no illusion that it's a sci-fi vehicle designed to show pamela anderson's , um , talents . 	comments : naked souls opens with a naked woman , and the movie makes no illusion that it's a sci-fi vehicle designed to show pamela anderson's , um , talents .	2	-1	 comments[0] naked[0] souls[0] opens[0] with[0] a[0] naked[0] woman[0] and[0] the[0] movie[0] makes[0] no[0] illusion[0] that[0] it's[0] a[0] sci[0] fi[0] vehicle[0] designed[0] to[0] show[0] pamela[0] anderson's[0] um[0] talents[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if you are really interested in seeing anderson's talents , however , i suggest you skip over this dud and watch the infamous pam and tommy lee honeymoon sex tape , now available on home video . 	if you are really interested in seeing anderson's talents , however , i suggest you skip over this dud and watch the infamous pam and tommy lee honeymoon sex tape , now available on home video .	3	-2	 if[0] you[0] are[0] really[0] interested[1][1 LastWordBoosterStrength] in[0] seeing[0] anderson's[0] talents[1] however[0] i[0] suggest[0] you[0] skip[0] over[0] this[0] dud[0] and[0] watch[0] the[0] infamous[-1] pam[0] and[0] tommy[0] lee[0] honeymoon[0] sex[0] tape[0] now[0] available[0] on[0] home[0] video[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
at least with that " movie , " you don't have to go through the painful experience of watching pamela try to pronounce multiple syllable words like " eclectic . " 	at least with that " movie , " you don't have to go through the painful experience of watching pamela try to pronounce multiple syllable words like " eclectic .<br> "	2	-4	 at[0] least[0] with[0] that[0] movie[0] you[0] don't[0] have[0] to[0] go[0] through[0] the[0] painful[-3] experience[0] of[0] watching[0] pamela[0] try[0] to[0] pronounce[0] multiple[0] syllable[0] words[0] like[1] eclectic[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
a premise does exist in the movie . 	a premise does exist in the movie .	1	-1	 a[0] premise[0] does[0] exist[0] in[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
basically , while anderson wears skimpy clothes which barely contain her talents , she practices her art -- brilliantly slapping plaster of paris on naked women . 	basically , while anderson wears skimpy clothes which barely contain her talents , she practices her art - brilliantly slapping plaster of paris on naked women .	2	-2	 basically[0] while[0] anderson[0] wears[0] skimpy[0] clothes[0] which[0] barely[0] contain[0] her[0] talents[1] she[0] practices[0] her[0] art[0] brilliantly[1] slapping[-1] plaster[0] of[0] paris[0] on[0] naked[0] women[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
her boyfriend , meanwhile , spends 20 hours a day in a morgue trying to view the memories of dead prison inmates because this will " make a difference to humanity . " 	her boyfriend , meanwhile , spends 20 hours a day in a morgue trying to view the memories of dead prison inmates because this will " make a difference to humanity .<br> "	1	-3	 her[0] boyfriend[0] meanwhile[0] spends[0] 20[0] hours[0] a[0] day[0] in[0] a[0] morgue[0] trying[0] to[0] view[0] the[0] memories[0] of[0] dead[-2] prison[-1] inmates[0] because[0] this[0] will[0] make[0] a[0] difference[0] to[0] humanity[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
whatever . 	whatever .	1	-1	 whatever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie fails to explain how these two hooked up . 	the movie fails to explain how these two hooked up .	1	-3	 the[0] movie[0] fails[-2] to[0] explain[0] how[0] these[0] two[0] hooked[0] up[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
be grateful . 	be grateful .	2	-1	 be[0] grateful[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
