as far as " mystery men " is concerned , the burning question is less " is it really as bad as it looks from the trailer ? " 	Translation	Positive	Negative	EmotionRationale
 ( the answer there is an unequivocal " yes " ) and more " how in the name of sweet jesus did first-time director kinka usher get such a first-rate cast to act in this muck ? " 	 ( the answer there is an unequivocal " yes " ) and more " how in the name of sweet jesus did first-time director kinka usher get such a first-rate cast to act in this muck ?<br> "	2	-1	 the[0] answer[0] there[0] is[0] an[0] unequivocal[0] yes[0] and[0] more[0] how[0] in[0] the[0] name[0] of[0] sweet[1] jesus[0] did[0] first[0] time[0] director[0] kinka[0] usher[0] get[0] such[0] a[0] first[0] rate[0] cast[0] to[0] act[0] in[0] this[0] muck[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " mystery men " features greg kinnear as the heavily-sponsored captain amazing and geoffrey rush as his arch nemesis ( singular ) casanova frankenstein . 	 " mystery men " features greg kinnear as the heavily-sponsored captain amazing and geoffrey rush as his arch nemesis ( singular ) casanova frankenstein .	3	-1	 mystery[0] men[0] features[0] greg[0] kinnear[0] as[0] the[0] heavily[0] sponsored[0] captain[0] amazing[2] and[0] geoffrey[0] rush[0] as[0] his[0] arch[0] nemesis[0] singular[0] casanova[0] frankenstein[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a veritable police lineup of hot hollywood talent plays the superhero wannabes of the title , who join forces to get c . amazing out of a tight spot when c . frankenstein puts the screws on champion city . 	a veritable police lineup of hot hollywood talent plays the superhero wannabes of the title , who join forces to get c .<br> amazing out of a tight spot when c .<br> frankenstein puts the screws on champion city .	3	-1	 a[0] veritable[0] police[0] lineup[0] of[0] hot[0] hollywood[0] talent[1] plays[1] the[0] superhero[0] wannabes[0] of[0] the[0] title[0] who[0] join[0] forces[0] to[0] get[0] c[0] [[Sentence=-1,2=word max, 1-5]] amazing[2] out[0] of[0] a[0] tight[0] spot[0] when[0] c[0] [[Sentence=-1,3=word max, 1-5]] frankenstein[0] puts[0] the[0] screws[0] on[0] champion[0] city[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
there's william h . macy as the mild-mannered shoveler , hank azaria as the cutlery-flinging blue raja ( no knives , but a phony english accent that's just as sharp ) , ben stiller as mr . furious ( whose only power seems to be his ability to get hot under the collar ) , janeane garofalo as a crazed bowler with her father's skull interestingly preserved , wes studi as a rhetoric-spouting cowled avenger , and kel mitchell as the token ( and , adding insult to injury , invisible ! ) 	there's william h .<br> macy as the mild-mannered shoveler , hank azaria as the cutlery-flinging blue raja ( no knives , but a phony english accent that's just as sharp ) , ben stiller as mr .<br> furious ( whose only power seems to be his ability to get hot under the collar ) , janeane garofalo as a crazed bowler with her father's skull interestingly preserved , wes studi as a rhetoric-spouting cowled avenger , and kel mitchell as the token ( and , adding insult to injury , invisible !<br> )	2	-4	 there's[0] william[0] h[0] [[Sentence=-1,1=word max, 1-5]] macy[0] as[0] the[0] mild[0] mannered[0] shoveler[0] hank[0] azaria[0] as[0] the[0] cutlery[0] flinging[0] blue[0] raja[0] no[0] knives[0] but[0] a[0] phony[0] english[0] accent[0] that's[0] just[0] as[0] sharp[0] ben[0] stiller[0] as[0] mr[0] [[Sentence=-1,1=word max, 1-5]] furious[-3] whose[0] only[0] power[0] seems[0] to[0] be[0] his[0] ability[0] to[0] get[0] hot[0] under[0] the[0] collar[0] janeane[0] garofalo[0] as[0] a[0] crazed[0] bowler[0] with[0] her[0] father's[0] skull[0] interestingly[1] preserved[0] wes[0] studi[0] as[0] a[0] rhetoric[0] spouting[0] cowled[0] avenger[-1] and[0] kel[0] mitchell[0] as[0] the[0] token[0] and[0] adding[0] insult[-2] to[0] injury[-1] invisible[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
black guy . 	black guy .	1	-1	 black[0] guy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bringing up the rear , so to speak , is paul reubens ( yes , that's pee wee herman paul reubens ) as . . . 	bringing up the rear , so to speak , is paul reubens ( yes , that's pee wee herman paul reubens ) as .<br> .<br> .	1	-2	 bringing[0] up[0] the[0] rear[0] so[0] to[0] speak[0] is[0] paul[0] reubens[0] yes[0] that's[0] pee[0] wee[-1] herman[0] paul[0] reubens[0] as[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
well , let's just call him the gas man . 	well , let's just call him the gas man .	1	-1	 well[0] let's[0] just[0] call[0] him[0] the[0] gas[0] man[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the production design is overblown , the special effects are overdone , and the script ( based on bob burden's " dark horse " comic book series ) is overbaked . 	the production design is overblown , the special effects are overdone , and the script ( based on bob burden's " dark horse " comic book series ) is overbaked .	2	-2	 the[0] production[0] design[0] is[0] overblown[0] the[0] special[1] effects[0] are[0] overdone[0] and[0] the[0] script[0] based[0] on[0] bob[0] burden's[-1] dark[0] horse[0] comic[0] book[0] series[0] is[0] overbaked[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the appealing actors are uniformly good and stiller is even stellar , but they can't begin to save " mystery men " --it's just one big mess . 	the appealing actors are uniformly good and stiller is even stellar , but they can't begin to save " mystery men " -it's just one big mess .	2	-1	 the[0] appealing[0] actors[0] are[0] uniformly[0] good[1] and[0] stiller[0] is[0] even[0] stellar[0] but[0] they[0] can't[0] begin[0] to[0] save[1] mystery[0] men[0] it's[0] just[0] one[0] big[0] mess[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you're better off renting the video and pressing fast-forward to get to the funny bits . 	you're better off renting the video and pressing fast-forward to get to the funny bits .	2	-1	 you're[0] better[0] off[0] renting[0] the[0] video[0] and[0] pressing[0] fast[0] forward[0] to[0] get[0] to[0] the[0] funny[1] bits[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
