surrounded by hype , high hopes , and the promise of an over-the-top performance by clueless's brittany murphy , don't say a word looked full of promise . 	Translation	Positive	Negative	EmotionRationale
hell , when i hear that " i'll never tell " whisper on the tv commercial , goose bumps run up my spine . 	hell , when i hear that " i'll never tell " whisper on the tv commercial , goose bumps run up my spine .	1	-2	 hell[-1] when[0] i[0] hear[0] that[0] i'll[0] never[0] tell[0] whisper[0] on[0] the[0] tv[0] commercial[0] goose[0] bumps[0] run[0] up[0] my[0] spine[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
alas , word is filled with little but disappointment , a kooky mix of girl , interrupted and ransom , with michael douglas and company collecting a paycheck to plod through a vapid and dull kidnapping thriller . 	alas , word is filled with little but disappointment , a kooky mix of girl , interrupted and ransom , with michael douglas and company collecting a paycheck to plod through a vapid and dull kidnapping thriller .	2	-2	 alas[-1] word[0] is[0] filled[0] with[0] little[0] but[0] disappointment[-1] a[0] kooky[0] mix[0] of[0] girl[0] interrupted[-1] and[0] ransom[0] with[0] michael[0] douglas[0] and[0] company[0] collecting[0] a[0] paycheck[0] to[0] plod[-1] through[0] a[0] vapid[0] and[0] dull[-1] kidnapping[0] thriller[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
douglas stars as nathan conrad , renowned new york psychologist , devoted father of jessie conrad ( skye mccole bartusiak ) , and loving husband to aggie conrad ( famke janssen ) . 	douglas stars as nathan conrad , renowned new york psychologist , devoted father of jessie conrad ( skye mccole bartusiak ) , and loving husband to aggie conrad ( famke janssen ) .	4	-1	 douglas[0] stars[0] as[0] nathan[0] conrad[0] renowned[0] new[0] york[0] psychologist[0] devoted[2] father[0] of[0] jessie[0] conrad[0] skye[0] mccole[0] bartusiak[0] and[0] loving[3] husband[0] to[0] aggie[0] conrad[0] famke[0] janssen[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
after a gang of jewel thieves , headed by sean bean's koster , kidnaps his daughter , nathan is forced to extract from his new patient , the catatonic and violent elisabeth burrows ( murphy ) , the location of some hidden bank job booty that her father hid from the koster gang a decade ago . 	after a gang of jewel thieves , headed by sean bean's koster , kidnaps his daughter , nathan is forced to extract from his new patient , the catatonic and violent elisabeth burrows ( murphy ) , the location of some hidden bank job booty that her father hid from the koster gang a decade ago .	1	-3	 after[0] a[0] gang[0] of[0] jewel[0] thieves[-1] headed[0] by[0] sean[0] bean's[0] koster[0] kidnaps[0] his[0] daughter[0] nathan[0] is[0] forced[0] to[0] extract[0] from[0] his[0] new[0] patient[0] the[0] catatonic[0] and[0] violent[-2] elisabeth[0] burrows[0] murphy[0] the[0] location[0] of[0] some[0] hidden[0] bank[0] job[0] booty[0] that[0] her[0] father[0] hid[0] from[0] the[0] koster[0] gang[0] a[0] decade[0] ago[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but with hard-nosed detective sandra cassidy ( jennifer esposito , doing her best j . lo impression ) tracking down koster and his gang of hoodlums , the stakes are raised as nathan races against the clock to crack the mystery of elisabeth's head in order to get the goods inside . 	but with hard-nosed detective sandra cassidy ( jennifer esposito , doing her best j .<br> lo impression ) tracking down koster and his gang of hoodlums , the stakes are raised as nathan races against the clock to crack the mystery of elisabeth's head in order to get the goods inside .	2	-2	 but[0] with[0] hard[0] nosed[0] detective[0] sandra[0] cassidy[0] jennifer[0] esposito[0] doing[0] her[0] best[1] j[0] [[Sentence=-1,2=word max, 1-5]] lo[0] impression[0] tracking[0] down[0] koster[0] and[0] his[0] gang[0] of[0] hoodlums[0] the[0] stakes[0] are[0] raised[0] as[0] nathan[0] races[0] against[-1] the[0] clock[0] to[0] crack[0] the[0] mystery[0] of[0] elisabeth's[0] head[0] in[0] order[0] to[0] get[0] the[0] goods[0] inside[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
the catch - nathan only has until five o'clock to solve the puzzle ! 	the catch - nathan only has until five o'clock to solve the puzle !	1	-1	 the[0] catch[0] nathan[0] only[0] has[0] until[0] five[0] o'clock[0] to[0] solve[0] the[0] puzzle/puzle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whoa , the suspense is almost too much . 	whoa , the suspense is almost too much .	1	-1	 whoa[0] the[0] suspense[0] is[0] almost[0] too[0] much[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
don't say a word loses the audience inside of 15 minutes . 	don't say a word loses the audience inside of 15 minutes .	1	-2	 don't[0] say[0] a[0] word[0] loses[-1] the[0] audience[0] inside[0] of[0] 15[0] minutes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
murphy looks and acts like linda blair from the exorcist during the first part of the movie , then turns around and reprises like her role from girl , interrupted . 	murphy looks and acts like linda blair from the exorcist during the first part of the movie , then turns around and reprises like her role from girl , interrupted .	2	-2	 murphy[0] looks[0] and[0] acts[0] like[1] linda[0] blair[0] from[0] the[0] exorcist[0] during[0] the[0] first[0] part[0] of[0] the[0] movie[0] then[0] turns[0] around[0] and[0] reprises[0] like[1] her[0] role[0] from[0] girl[0] interrupted[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and the only real " crazy " to be found in the film is director gary fleder's ( things to do in denver when you're dead ) staggering use of flashback sequences . 	and the only real " crazy " to be found in the film is director gary fleder's ( things to do in denver when you're dead ) staggering use of flashback sequences .	1	-3	 and[0] the[0] only[0] real[0] crazy[-1] to[0] be[0] found[0] in[0] the[0] film[0] is[0] director[0] gary[0] fleder's[0] things[0] to[0] do[0] in[0] denver[0] when[0] you're[0] dead[-2] staggering[0] use[0] of[0] flashback[0] sequences[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
oliver platt , famke janssen , and even sean bean are decent actors , but the stuff they are given here -- such as a bedridden wife fighting off the token black guy with her crutch -- is insulting and demeaning . 	oliver platt , famke janssen , and even sean bean are decent actors , but the stuff they are given here - such as a bedridden wife fighting off the token black guy with her crutch - is insulting and demeaning .	1	-3	 oliver[0] platt[0] famke[0] janssen[0] and[0] even[0] sean[0] bean[0] are[0] decent[0] actors[0] but[0] the[0] stuff[0] they[0] are[0] given[0] here[0] such[0] as[0] a[0] bedridden[0] wife[0] fighting[-2] off[0] the[0] token[0] black[0] guy[0] with[0] her[0] crutch[0] is[0] insulting[-2] and[0] demeaning[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
additionally , the use of the surveillance cameras and laptops to track nathan's every move is downright unbelievable . 	additionally , the use of the surveillance cameras and laptops to track nathan's every move is downright unbelievable .	1	-2	 additionally[0] the[0] use[0] of[0] the[0] surveillance[0] cameras[0] and[0] laptops[0] to[0] track[0] nathan's[0] every[0] move[0] is[0] downright[0] unbelievable[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
how do ex-cons fresh out of the big house afford all this equipment ? 	how do ex-cons fresh out of the big house afford all this equipment ?	1	-1	 how[0] do[0] ex[0] cons[0] fresh[0] out[0] of[0] the[0] big[0] house[0] afford[0] all[0] this[0] equipment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite its flaws , don't say a word is surprisingly some of the best mainstream film you'll find this month -- and audiences will lap it up . 	despite its flaws , don't say a word is surprisingly some of the best mainstream film you'll find this month - and audiences will lap it up .	2	-1	 despite[0] its[0] flaws[0] don't[0] say[0] a[0] word[0] is[0] surprisingly[0] some[0] of[0] the[0] best[1] mainstream[0] film[0] you'll[0] find[0] this[0] month[0] and[0] audiences[0] will[0] lap[0] it[0] up[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
americans love lukewarm , half-baked thrillers starring big names and accompanied by cheap thrills . 	americans love lukewarm , half-baked thrillers starring big names and accompanied by cheap thrills .	4	-2	 americans[0] love[2] lukewarm[0] half[0] baked[0] thrillers[1] starring[0] big[0] names[0] and[0] accompanied[0] by[0] cheap[-1] thrills[3] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
someone get me my lithium ! 	someone get me my lithium !	1	-1	 someone[0] get[0] me[0] my[0] lithium[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
