senseless is a prime example of what can happen when you try to push a one-joke concept a bit too far . 	Translation	Positive	Negative	EmotionRationale
director penelope spheeris is no stranger to this , having subjected audiences before to such tortures as the beverly hillbillies . 	director penelope spheeris is no stranger to this , having subjected audiences before to such tortures as the beverly hillbillies .	1	-4	 director[0] penelope[0] spheeris[0] is[0] no[0] stranger[0] to[0] this[0] having[0] subjected[0] audiences[0] before[0] to[0] such[0] tortures[-3] as[0] the[0] beverly[0] hillbillies[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
marlon wayans stars as darryl witherspoon , a college senior vying for a lucrative job at a prominent brokerage . 	marlon wayans stars as darryl witherspoon , a college senior vying for a lucrative job at a prominent brokerage .	1	-2	 marlon[0] wayans[0] stars[0] as[0] darryl[0] witherspoon[0] a[0] college[0] senior[0] vying[0] for[0] a[0] lucrative[0] job[0] at[0] a[0] prominent[0] brokerage[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , he lacks the advantages of his chief opposition , scott thorpe ( david spade , in the smarmy sort of role he can deliver in his sleep ) : an athletic record , sponsorship by a fraternity , and , most of all , a wealthy family to back him up . 	however , he lacks the advantages of his chief opposition , scot thorpe ( david spade , in the smarmy sort of role he can deliver in his sleep ) : an athletic record , sponsorship by a fraternity , and , most of all , a wealthy family to back him up .	1	-2	 however[0] he[0] lacks[0] the[0] advantages[0] of[0] his[0] chief[0] opposition[-1] scott/scot[0] thorpe[0] david[0] spade[0] in[0] the[0] smarmy[0] sort[0] of[0] role[0] he[0] can[0] deliver[0] in[0] his[0] sleep[0] an[0] athletic[0] record[0] sponsorship[0] by[0] a[0] fraternity[0] and[0] most[0] of[0] all[0] a[0] wealthy[0] family[0] to[0] back[0] him[0] up[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact , darryl has to work at four jobs simply to make ends meet . 	in fact , darryl has to work at four jobs simply to make ends meet .	1	-1	 in[0] fact[0] darryl[0] has[0] to[0] work[0] at[0] four[0] jobs[0] simply[0] to[0] make[0] ends[0] meet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but there may be a light at the end of that tunnel . 	but there may be a light at the end of that tunnel .	1	-1	 but[0] there[0] may[0] be[0] a[0] light[0] at[0] the[0] end[0] of[0] that[0] tunnel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he signs up as a human guinea pig in a neurological experiment run by the university's dr . wheedon ( brad dourif ) . 	he signs up as a human guinea pig in a neurological experiment run by the university's dr .<br> wheedon ( brad dourif ) .	1	-1	 he[0] signs[0] up[0] as[0] a[0] human[0] guinea[0] pig[0] in[0] a[0] neurological[0] experiment[0] run[0] by[0] the[0] university's[0] dr[0] [[Sentence=-1,1=word max, 1-5]] wheedon[0] brad[0] dourif[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as a result , his senses are magnified tenfold . 	as a result , his senses are magnified tenfold .	1	-1	 as[0] a[0] result[0] his[0] senses[0] are[0] magnified[0] tenfold[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
using his newfound abilities , he sets himself in complete pursuit of the job ( unaware that there may be some disadvantageous side-effects to having super senses ) . 	using his newfound abilities , he sets himself in complete pursuit of the job ( unaware that there may be some disadvantageous side-effects to having super senses ) .	3	-1	 using[0] his[0] newfound[0] abilities[0] he[0] sets[0] himself[0] in[0] complete[0] pursuit[0] of[0] the[0] job[0] unaware[0] that[0] there[0] may[0] be[0] some[0] disadvantageous[-1][--1 LastWordBoosterStrength] side[0] effects[0] to[0] having[0] super[2] senses[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
naturally , marlon wayans plays this comedy at full throttle , giving jim carrey-ish amounts of physical humor . 	naturally , marlon wayans plays this comedy at full throttle , giving jim carrey-ish amounts of physical humor .	3	-1	 naturally[0] marlon[0] wayans[0] plays[1] this[0] comedy[0] at[0] full[0] throttle[0] giving[0] jim[0] carrey[0] ish[0] amounts[0] of[0] physical[0] humor[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the problem is , aside from a few genuinely inspired bits , there's not much that's funny here . 	the problem is , aside from a few genuinely inspired bits , there's not much that's funny here .	3	-2	 the[0] problem[-1] is[0] aside[0] from[0] a[0] few[0] genuinely[0] inspired[2] bits[0] there's[0] not[0] much[0] that's[0] funny[1] here[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
