susan granger's review of " the musketeer " ( universal pictures ) 	Translation	Positive	Negative	EmotionRationale
hollywood launches another assault on classic literature with this  50 million adaptation of alexandre dumas's novel that's strong on action but weak on drama , fusing hong kong martial arts with 17th century swordplay . 	hollywood launches another assault on classic literature with this  50 million adaptation of alexandre dumas's novel that's strong on action but weak on drama , fusing hong kong martial arts with 17th century swordplay .	1	-3	 hollywood[0] launches[0] another[0] assault[-2] on[0] classic[0] literature[0] with[0] this[0] 50[0] million[0] adaptation[0] of[0] alexandre[0] dumas's[0] novel[0] that's[0] strong[0] on[0] action[0] but[0] weak[-1] on[0] drama[0] fusing[0] hong[0] kong[0] martial[0] arts[0] with[0] 17th[0] century[0] swordplay[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the story chronicles the adventures of the dashing d'artagnan ( justin chambers ) as he leaves his village of gascogne , headed for paris , to join king louis xiii's elite guard , the royal musketeers , and to search for the man who killed his parents 14 years earlier . 	the story chronicles the adventures of the dashing d'artagnan ( justin chambers ) as he leaves his village of gascogne , headed for paris , to join king louis xi's elite guard , the royal musketeers , and to search for the man who killed his parents 14 years earlier .	2	-4	 the[0] story[0] chronicles[0] the[0] adventures[0] of[0] the[0] dashing[0] d'artagnan[0] justin[0] chambers[0] as[0] he[0] leaves[0] his[0] village[0] of[0] gascogne[0] headed[0] for[0] paris[0] to[0] join[0] king[0] louis[0] xiii's/xi's[0][+0.6 MultipleLetters] elite[0] guard[0] the[0] royal[0] musketeers[0] and[0] to[0] search[0] for[0] the[0] man[0] who[0] killed[-3] his[0] parents[0] 14[0] years[0] earlier[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this puts him in conflict with the formidable febre ( tim roth ) , vicious henchman for conniving cardinal richelieu ( stephen rea ) . 	this puts him in conflict with the formidable febre ( tim roth ) , vicious henchman for conniving cardinal richelieu ( stephen rea ) .	1	-4	 this[0] puts[0] him[0] in[0] conflict[-1] with[0] the[0] formidable[-1] febre[0] tim[0] roth[0] vicious[-3] henchman[0] for[0] conniving[0] cardinal[0] richelieu[0] stephen[0] rea[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the traditional musketeer trio - aramis ( nick moran ) , athos ( jan gregor kremp ) and porthos ( steve speirs ) - don't offer much help so he turns to the feisty francesca ( mena suvari ) , chambermaid to the queen of france ( catherine deneuve ) . 	the traditional musketeer trio - aramis ( nick moran ) , athos ( jan gregor kremp ) and porthos ( steve speirs ) - don't offer much help so he turns to the feisty francesca ( mena suvari ) , chambermaid to the queen of france ( catherine deneuve ) .	1	-1	 the[0] traditional[0] musketeer[0] trio[0] aramis[0] nick[0] moran[0] athos[0] jan[0] gregor[0] kremp[0] and[0] porthos[0] steve[0] speirs[0] don't[0] offer[0] much[0] help[0] so[0] he[0] turns[0] to[0] the[0] feisty[0] francesca[0] mena[0] suvari[0] chambermaid[0] to[0] the[0] queen[0] of[0] france[0] catherine[0] deneuve[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
scripter gene quintano and director-cinematographer peter hyams are primarily interested in the derring-do , as evidenced by choreographer xin-xin xiong's elaborate - but not original - stunts , including a fast-paced stagecoach chase , a tavern brawl on rolling barrels , high-wire acrobatics with the combatants dangling from ropes , and a ladder-fight sequence . 	scripter gene quintano and director-cinematographer peter hyams are primarily interested in the derring-do , as evidenced by choreographer xin-xin xiong's elaborate - but not original - stunts , including a fast-paced stagecoach chase , a tavern brawl on rolling barrels , high-wire acrobatics with the combatants dangling from ropes , and a ladder-fight sequence .	2	-3	 scripter[0] gene[0] quintano[0] and[0] director[0] cinematographer[0] peter[0] hyams[0] are[0] primarily[0] interested[1] in[0] the[0] derring[0] do[0] as[0] evidenced[0] by[0] choreographer[-2] xin[0] xin[0] xiong's[0] elaborate[0] but[0] not[0] original[0] stunts[0] including[0] a[0] fast[0] paced[0] stagecoach[0] chase[-1] a[0] tavern[0] brawl[-1] on[0] rolling[0] barrels[0] high[0] wire[0] acrobatics[0] with[0] the[0] combatants[-1] dangling[0] from[0] ropes[0] and[0] a[0] ladder[0] fight[-2] sequence[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
filmed in southern france , the scenery , sets and costumes are spectacular , but the lighting is too dark and editing is filled with choppy , restless mtv'ish cuts . 	filmed in southern france , the scenery , sets and costumes are spectacular , but the lighting is too dark and editing is filled with choppy , restless mtv'ish cuts .	1	-2	 filmed[0] in[0] southern[0] france[0] the[0] scenery[0] sets[0] and[0] costumes[0] are[0] spectacular[0] but[0] the[0] lighting[0] is[0] too[0] dark[0] and[0] editing[0] is[0] filled[0] with[0] choppy[0] restless[-1] mtv'ish[0] cuts[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as the swashbuckling d'artagnan , bland calvin klein model justin chambers buckles where he should be swashing , totally lacking on-screen charisma , not to mention acting skill . 	as the swashbuckling d'artagnan , bland calvin klein model justin chambers buckles where he should be swashing , totally lacking on-screen charisma , not to mention acting skill .	1	-2	 as[0] the[0] swashbuckling[0] d'artagnan[0] bland[-1] calvin[0] klein[0] model[0] justin[0] chambers[0] buckles[0] where[0] he[0] should[0] be[0] swashing[0] totally[0] lacking[0] on[0] screen[0] charisma[0] not[0] to[0] mention[0] acting[0] skill[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mena suvari , so impressive in " american beauty , " seems like a contemporary interloper in the royal court . 	mena suvari , so impressive in " american beauty , " seems like a contemporary interloper in the royal court .	3	-1	 mena[0] suvari[0] so[0] impressive[1] in[0] american[0] beauty[2] seems[0] like[1] a[0] contemporary[0] interloper[0] in[0] the[0] royal[0] court[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
on the granger movie gauge of 1 to 10 , " the musketeer " is a cinematic but shallow 3 . 	on the granger movie gauge of 1 to 10 , " the musketeer " is a cinematic but shallow 3 .	1	-2	 on[0] the[0] granger[0] movie[0] gauge[0] of[0] 1[0] to[0] 10[0] the[0] musketeer[0] is[0] a[0] cinematic[0] but[0] shallow[-1] 3[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " all for one and one for all " ? 	 " all for one and one for all " ?	1	-1	 all[0] for[0] one[0] and[0] one[0] for[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not this time 'round . 	not this time 'round .	1	-1	 not[0] this[0] time[0] 'round[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
