at the outset of swordfish , john travolta's gabriel shear is pontificating about the status of american cinema today . 	Translation	Positive	Negative	EmotionRationale
basically , he says , it boils down to a lack of imagination among the majority of writers . 	basically , he says , it boils down to a lack of imagination among the majority of writers .	1	-2	 basically[0] he[0] says[0] it[0] boils[0] down[0] to[0] a[0] lack[-1] of[0] imagination[0] among[0] the[0] majority[0] of[0] writers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
how ironic , as travolta seems to be describing his latest venture . 	how ironic , as travolta seems to be describing his latest venture .	1	-2	 how[0] ironic[-1] as[0] travolta[0] seems[0] to[0] be[0] describing[0] his[0] latest[0] venture[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
swordfish is loud , violent and amoral . 	swordfish is loud , violent and amoral .	1	-3	 swordfish[0] is[0] loud[0] violent[-2] and[0] amoral[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it has the audacity to justify murder and mayhem in the name of sustaining our way of life . 	it has the audacity to justify murder and mayhem in the name of sustaining our way of life .	1	-4	 it[0] has[0] the[0] audacity[0] to[0] justify[0] murder[-3] and[0] mayhem[0] in[0] the[0] name[0] of[0] sustaining[0] our[0] way[0] of[0] life[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and how does travolta's gabriel plan to do this ? 	and how does travolta's gabriel plan to do this ?	1	-1	 and[0] how[0] does[0] travolta's[0] gabriel[0] plan[0] to[0] do[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by robbing billions from his own government and using the funds to out-terrorize terrorists . 	by robbing billions from his own government and using the funds to out-terrorize terrorists .	1	-4	 by[0] robbing[0] billions[0] from[0] his[0] own[0] government[0] and[0] using[0] the[0] funds[0] to[0] out[0] terrorize[-2] terrorists[-2][-1 MultiplePositiveWords] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
swordfish is a very cynical movie . 	swordfish is a very cynical movie .	1	-3	 swordfish[0] is[0] a[0] very[0] cynical[-1][-1 LastWordBoosterStrength] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it relies on an audience's perception of our leaders as ineffectual and duplicitous and on terrorists as non-human , faceless entities not worthy of compassion or consideration . 	it relies on an audience's perception of our leaders as ineffectual and duplicitous and on terrorists as non-human , faceless entities not worthy of compassion or consideration .	2	-3	 it[0] relies[0] on[0] an[0] audience's[0] perception[0] of[0] our[0] leaders[0] as[0] ineffectual[-1] and[0] duplicitous[0] and[0] on[0] terrorists[-2] as[0] non[0] human[0] faceless[0] entities[0] not[0] worthy[0] of[0] compassion[1] or[0] consideration[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the movie's plot is preposterous with enough illogical leaps that if the film ever slowed down , you'd actually see how ridiculous it all is . 	the movie's plot is preposterous with enough illogical leaps that if the film ever slowed down , you'd actually see how ridiculous it all is .	1	-3	 the[0] movie's[0] plot[0] is[0] preposterous[-1] with[0] enough[0] illogical[-1] leaps[0] that[0] if[0] the[0] film[0] ever[0] slowed[0] down[0] you'd[0] actually[0] see[0] how[0] ridiculous[-2] it[0] all[0] is[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is a live-action road runner cartoon , moving so quickly that it's over before you can catch your breath to ask any reasonable questions . 	this is a live-action road runner cartoon , moving so quickly that it's over before you can catch your breath to ask any reasonable questions .	1	-1	 this[0] is[0] a[0] live[0] action[0] road[0] runner[0] cartoon[0] moving[0] so[0] quickly[0] that[0] it's[0] over[0] before[0] you[0] can[0] catch[0] your[0] breath[0] to[0] ask[0] any[0] reasonable[0] questions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
