porter stoddard ( warren beatty ) is a successful architect married to successful fabric designer ellie ( diane keaton ) for twenty-five years . 	Translation	Positive	Negative	EmotionRationale
they and best friends mona ( goldie hawn ) and griffin ( garry shandling ) are about to face marital crises in a film most well known for its torturous path to the screen , " town and country . " 	they and best friends mona ( goldie hawn ) and griffin ( garry shandling ) are about to face marital crises in a film most well known for its torturous path to the screen , " town and country .<br> "	2	-2	 they[0] and[0] best[1] friends[1] mona[0] goldie[0] hawn[0] and[0] griffin[0] garry[0] shandling[0] are[0] about[0] to[0] face[0] marital[0] crises[0] in[0] a[0] film[0] most[0] well[0] known[0] for[0] its[0] torturous[-1] path[0] to[0] the[0] screen[0] town[0] and[0] country[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " town and country " has a pedigree befitting it's title with an all star cast photographed by oscar nominated cinematographer william fraker and mouthing the words of screenwriter buck henry ( " the graduate " ) under the direction of peter chelsom ( " funny bones " ) . 	 " town and country " has a pedigree befitting it's title with an all star cast photographed by oscar nominated cinematographer william fraker and mouthing the words of screenwriter buck henry ( " the graduate " ) under the direction of peter chelsom ( " funny bones " ) .	2	-1	 town[0] and[0] country[0] has[0] a[0] pedigree[0] befitting[0] it's[0] title[0] with[0] an[0] all[0] star[0] cast[0] photographed[0] by[0] oscar[0] nominated[0] cinematographer[0] william[0] fraker[0] and[0] mouthing[0] the[0] words[0] of[0] screenwriter[0] buck[0] henry[0] the[0] graduate[0] under[0] the[0] direction[0] of[0] peter[0] chelsom[0] funny[1] bones[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after years of reports of budget overruns and reshoots and the racking up twelve different release dates , the media has been prepped for beatty's next " ishtar . " 	after years of reports of budget overruns and reshoots and the racking up twelve different release dates , the media has been prepped for beatty's next " ishtar .<br> "	1	-1	 after[0] years[0] of[0] reports[0] of[0] budget[0] overruns[0] and[0] reshoots[0] and[0] the[0] racking[0] up[0] twelve[0] different[0] release[0] dates[0] the[0] media[0] has[0] been[0] prepped[0] for[0] beatty's[0] next[0] ishtar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so , is it that bad ? 	so , is it that bad ?	1	-2	 so[0] is[0] it[0] that[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the answer is no . 	the answer is no .	1	-1	 the[0] answer[0] is[0] no[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but it's not very good either . 	but it's not very good either .	1	-3	 but[0] it's[0] not[0] very[0] good[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] either[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the major problem with " town and country " is that it's unstructured and random . 	the major problem with " town and country " is that it's unstructured and random .	1	-2	 the[0] major[0] problem[-1] with[0] town[0] and[0] country[0] is[0] that[0] it's[0] unstructured[0] and[0] random[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
stoddard is immediately established as a philanderer , having just bedded a flaky cellist ( nastassja kinski ) . 	stoddard is immediately established as a philanderer , having just bedded a flaky cellist ( nastassja kinski ) .	1	-3	 stoddard[0] is[0] immediately[0] established[0] as[0] a[0] philanderer[0] having[0] just[0] bedded[0] a[0] flaky[0] cellist[0] nastassja[-2] kinski[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
next scene finds him and ellie celebrating their anniversary in paris with mona and griffin . 	next scene finds him and ellie celebrating their anniversary in paris with mona and griffin .	2	-1	 next[0] scene[0] finds[0] him[0] and[0] ellie[0] celebrating[1] their[0] anniversary[0] in[0] paris[0] with[0] mona[0] and[0] griffin[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
then mona spies griffin hustling a redhead into a motel and begins divorce proceedings ( buck henry cameos as both couples' divorce lawyer ) . 	then mona spies griffin hustling a redhead into a motel and begins divorce proceedings ( buck henry cameos as both couples' divorce lawyer ) .	1	-2	 then[0] mona[0] spies[0] griffin[0] hustling[0] a[0] redhead[0] into[0] a[0] motel[0] and[0] begins[0] divorce[-1] proceedings[0] buck[0] henry[0] cameos[0] as[0] both[0] couples'[0] divorce[-1] lawyer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
