young einstein is embarrassingly lame , but that didn't stop it from becoming a phenomenon in australia , where it became the third largest box office hit of all time . 	Translation	Positive	Negative	EmotionRationale
in the u . s . , warner brothers is hoping the movie will follow in the footsteps of paul hogan , inxs , and shrimp on the barby to become the latest rage from down under . 	in the you .<br> s .<br> , warner brothers is hoping the movie will follow in the footsteps of paul hogan , inxs , and shrimp on the barby to become the latest rage from down under .	2	-4	 in[0] the[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] warner[0] brothers[0] is[0] hoping[1] the[0] movie[0] will[0] follow[0] in[0] the[0] footsteps[0] of[0] paul[0] hogan[0] inxs[0] and[0] shrimp[0] on[0] the[0] barby[0] to[0] become[0] the[0] latest[0] rage[-3] from[0] down[0] under[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
personally , i'm hoping americans everywhere will rise to the occasion and make young einstein a box office bomb . 	personally , i'm hoping americans everywhere will rise to the occasion and make young einstein a box office bomb .	2	-2	 personally[0] i'm[0] hoping[1] americans[0] everywhere[0] will[0] rise[0] to[0] the[0] occasion[0] and[0] make[0] young[0] einstein[0] a[0] box[0] office[0] bomb[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
young einstein sprang from the twisted mind of yahoo serious , who not only wrote , produced , edited , and directed the film , but also starred and did his own stunts . 	young einstein sprang from the twisted mind of yahoo serious , who not only wrote , produced , edited , and directed the film , but also starred and did his own stunts .	1	-2	 young[0] einstein[0] sprang[0] from[0] the[0] twisted[0] mind[0] of[0] yahoo[0] serious[-1] who[0] not[0] only[0] wrote[0] produced[0] edited[0] and[0] directed[0] the[0] film[0] but[0] also[0] starred[0] and[0] did[0] his[0] own[0] stunts[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his creation is about as stupid and contrived as you'd expect from someone named yahoo . 	his creation is about as stupid and contrived as you'd expect from someone named yahoo .	1	-2	 his[0] creation[0] is[0] about[0] as[0] stupid[-1] and[0] contrived[0] as[0] you'd[0] expect[0] from[0] someone[0] named[0] yahoo[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie takes substantial historical liberties in recreating einstein's youth . 	the movie takes substantial historical liberties in recreating einstein's youth .	1	-1	 the[0] movie[0] takes[0] substantial[0] historical[0] liberties[0] in[0] recreating[0] einstein's[0] youth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whereas the scientist actually hailed from germany , the film finds him still living with his parents on tasmania , a remote australian island . 	whereas the scientist actually hailed from germany , the film finds him still living with his parents on tasmania , a remote australian island .	1	-2	 whereas[0] the[0] scientist[0] actually[0] hailed[0] from[0] germany[-1] the[0] film[0] finds[0] him[0] still[0] living[0] with[0] his[0] parents[0] on[0] tasmania[0] a[0] remote[0] australian[0] island[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in addition to deriving the formula for energy and the theory of relativity , albert invents surfing , bubbles in beer , and the electric guitar . 	in addition to deriving the formula for energy and the theory of relativity , albert invents surfing , bubbles in beer , and the electric guitar .	1	-1	 in[0] addition[0] to[0] deriving[0] the[0] formula[0] for[0] energy[0] and[0] the[0] theory[0] of[0] relativity[0] albert[0] invents[0] surfing[0] bubbles[0] in[0] beer[0] and[0] the[0] electric[0] guitar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yahoo plays einstein as a naive and unrefined country hick--a clown with an insatiable curiosity . 	yahoo plays einstein as a naive and unrefined country hick-a clown with an insatiable curiosity .	2	-2	 yahoo[0] plays[1] einstein[0] as[0] a[0] naive[-1] and[0] unrefined[0] country[0] hick[0] a[0] clown[0] with[0] an[0] insatiable[0] curiosity[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
although yahoo's performance is at first endearing , the one-dimensional characterization loses its novelty faster than you can say e mc2 . 	although yahoo's performance is at first endearing , the one-dimensional characterization loses its novelty faster than you can say e mc2 .	1	-2	 although[0] yahoo's[0] performance[0] is[0] at[0] first[0] endearing[0] the[0] one[0] dimensional[0] characterization[0] loses[-1] its[0] novelty[0] faster[0] than[0] you[0] can[0] say[0] e[0] mc2[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yahoo has created a charming family for albert , and the scenes on tasmania are often clever . 	yahoo has created a charming family for albert , and the scenes on tasmania are often clever .	2	-1	 yahoo[0] has[0] created[0] a[0] charming[1] family[0] for[0] albert[0] and[0] the[0] scenes[0] on[0] tasmania[0] are[0] often[0] clever[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but after the first twenty minutes , the movie quickly plummets and degenerates into a poor excuse for a comedy . 	but after the first twenty minutes , the movie quickly plummets and degenerates into a poor excuse for a comedy .	1	-2	 but[0] after[0] the[0] first[0] twenty[0] minutes[0] the[0] movie[0] quickly[0] plummets[0] and[0] degenerates[-1] into[0] a[0] poor[-1] excuse[0] for[0] a[0] comedy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
young einstein is hampered by its lethargic pace and inane plot . 	young einstein is hampered by its lethargic pace and inane plot .	1	-2	 young[0] einstein[0] is[0] hampered[0] by[0] its[0] lethargic[0] pace[0] and[0] inane[-1] plot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yahoo must be an mtv addict because his movie features an omnipresent soundtrack ; unfortunately , the music is altogether gratuitous and quickly becomes overbearing . 	yahoo must be an mtv addict because his movie features an omnipresent soundtrack ; unfortunately , the music is altogether gratuitous and quickly becomes overbearing .	1	-2	 yahoo[0] must[0] be[0] an[0] mtv[0] addict[-1] because[0] his[0] movie[0] features[0] an[0] omnipresent[0] soundtrack[0] unfortunately[-1] the[0] music[0] is[0] altogether[0] gratuitous[-1] and[0] quickly[0] becomes[0] overbearing[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
