in 1970s , many european intellectuals , especially those on the left political hemisphere , became obsessed with the rise of fascism . 	Translation	Positive	Negative	EmotionRationale
which wasn't so hard to expect , because the social turmoil of 1960s and economic decline of 1970s seemed to be the breeding ground for many dangerous ideologies . 	which wasn't so hard to expect , because the social turmoil of 1960s and economic decline of 1970s seemed to be the breeding ground for many dangerous ideologies .	1	-3	 which[0] wasn't[0] so[0] hard[0] to[0] expect[0] because[0] the[0] social[0] turmoil[-2] of[0] 1960s[0] and[0] economic[0] decline[-1] of[0] 1970s[0] seemed[0] to[0] be[0] the[0] breeding[0] ground[0] for[0] many[0] dangerous[-1] ideologies[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in such times , when political involvement could be associated with noble passion , many filmmakers tried to warn the present generations of dangers that lurk ahead by giving the look of pre-war europe and circumstances that led to phenomena like fascist italy and nazi germany . 	in such times , when political involvement could be associated with noble passion , many filmmakers tried to warn the present generations of dangers that lurk ahead by giving the look of pre-war europe and circumstances that led to phenomena like fascist italy and nazi germany .	3	-3	 in[0] such[0] times[0] when[0] political[0] involvement[0] could[0] be[0] associated[0] with[0] noble[0] passion[2] many[0] filmmakers[0] tried[0] to[0] warn[0] the[0] present[0] generations[0] of[0] dangers[-1] that[0] lurk[0] ahead[0] by[0] giving[0] the[0] look[0] of[0] pre[0] war[-2] europe[0] and[0] circumstances[0] that[0] led[0] to[0] phenomena[0] like[1] fascist[-1] italy[0] and[0] nazi[-1] germany[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
of course , there were authors who jumped on the bandwagon for other , less noble reasons . 	of course , there were authors who jumped on the bandwagon for other , less noble reasons .	1	-1	 of[0] course[0] there[0] were[0] authors[0] who[0] jumped[0] on[0] the[0] bandwagon[0] for[0] other[0] less[0] noble[0] reasons[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for them , moral depravity of fascism could be explained to the audience by explicitly showing sexual depravity of those era . 	for them , moral depravity of fascism could be explained to the audience by explicitly showing sexual depravity of those era .	1	-4	 for[0] them[0] moral[0] depravity[-3] of[0] fascism[0] could[0] be[0] explained[0] to[0] the[0] audience[0] by[0] explicitly[0] showing[0] sexual[0] depravity[-3] of[0] those[0] era[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
which , naturally , made some of those films very popular among teen audience . 	which , naturally , made some of those films very popular among teen audience .	1	-1	 which[0] naturally[0] made[0] some[0] of[0] those[0] films[0] very[0] popular[0] among[0] teen[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of such filmmakers was italian director tinto brass , who later made career shooting expensive , stylish soft porn . 	one of such filmmakers was italian director tinto brass , who later made career shooting expensive , stylish soft porn .	1	-2	 one[0] of[0] such[0] filmmakers[0] was[0] italian[0] director[0] tinto[0] brass[0] who[0] later[0] made[0] career[0] shooting[-1] expensive[-1] stylish[0] soft[0] porn[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
salon kitty , his 1976 film , is very losely based on the novel by peter nordern , book that deals with bizarre yet true story that took place in the first years of ww2 . 	salon kitty , his 1976 film , is very losely based on the novel by peter nordern , book that deals with bizarre yet true story that took place in the first years of ww2 .	2	-2	 salon[0] kitty[0] his[0] 1976[0] film[0] is[0] very[0] losely[0] based[0] on[0] the[0] novel[0] by[0] peter[0] nordern[0] book[0] that[0] deals[0] with[0] bizarre[-1] yet[0] true[1] story[0] that[0] took[0] place[0] in[0] the[0] first[0] years[0] of[0] ww2[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in 1939 , walter schellenberg , one of the heads of nazi intelligence service has set up the elite , exclusive brothel in berlin with clientele comprised of top nazi officials and foreign diplomats . 	in 1939 , walter schellenberg , one of the heads of nazi intelligence service has set up the elite , exclusive brothel in berlin with clientele comprised of top nazi officials and foreign diplomats .	1	-2	 in[0] 1939[0] walter[0] schellenberg[0] one[0] of[0] the[0] heads[0] of[0] nazi[-1] intelligence[0] service[0] has[0] set[0] up[0] the[0] elite[0] exclusive[0] brothel[0] in[0] berlin[0] with[0] clientele[0] comprised[0] of[0] top[0] nazi[-1] officials[0] and[0] foreign[-1] diplomats[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
none of the customers knew that the girls were all nazi agents , and that all the rooms happened to be bugged . 	none of the customers knew that the girls were all nazi agents , and that all the rooms happened to be bugged .	1	-2	 none[0] of[0] the[0] customers[0] knew[0] that[0] the[0] girls[0] were[0] all[0] nazi[-1] agents[0] and[0] that[0] all[0] the[0] rooms[0] happened[0] to[0] be[0] bugged[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the most bizarre thing is the fact that not even kitty , nominal madame of the brothel , didn't know the real purpose of that enterprise . 	the most bizarre thing is the fact that not even kitty , nominal madame of the brothel , didn't know the real purpose of that enterprise .	1	-2	 the[0] most[0] bizarre[-1] thing[0] is[0] the[0] fact[0] that[0] not[0] even[0] kitty[0] nominal[0] madame[0] of[0] the[0] brothel[0] didn't[0] know[0] the[0] real[0] purpose[0] of[0] that[0] enterprise[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
