tommy lee jones chases an innocent victim around america who is trying to prove that she did not kill her spouse . 	Translation	Positive	Negative	EmotionRationale
the fugitive ? 	the fugitive ?	1	-2	 the[0] fugitive[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
not quite ? this is the plot for double jeopardy , another fugitive copycat without the action , excitement , and good acting that the original had . 	not quite ?<br> this is the plot for double jeopardy , another fugitive copycat without the action , excitement , and good acting that the original had .	3	-2	 not[0] quite[0] [[Sentence=-1,1=word max, 1-5]] this[0] is[0] the[0] plot[0] for[0] double[0] jeopardy[-1] another[0] fugitive[-1] copycat[0] without[0] the[0] action[0] excitement[2] and[0] good[1] acting[0] that[0] the[0] original[0] had[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there are other slight differences besides one movie being bad and the other good ; this time tommy lee jones plays a parole officer not a us marshall , clever huh ? 	there are other slight differences besides one movie being bad and the other good ; this time tommy lee jones plays a parole officer not a us marshal , clever huh ?	2	-2	 there[0] are[0] other[0] slight[0] differences[0] besides[0] one[0] movie[0] being[0] bad[-1] and[0] the[0] other[0] good[1] this[0] time[0] tommy[0] lee[0] jones[0] plays[1] a[0] parole[0] officer[0] not[0] a[0] us[0] marshall/marshal[0] clever[0] huh[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
oh and the fugitive ashley judd was framed by her own husband ( bruce greenwood ) who needed to collect two million dollars in life insurance money not a one armed man . 	oh and the fugitive ashley judd was framed by her own husband ( bruce greenwood ) who needed to collect two million dollars in life insurance money not a one armed man .	1	-2	 oh[0] and[0] the[0] fugitive[-1] ashley[0] judd[0] was[0] framed[0] by[0] her[0] own[0] husband[0] bruce[0] greenwood[0] who[0] needed[0] to[0] collect[0] two[0] million[0] dollars[0] in[0] life[0] insurance[0] money[0] not[0] a[0] one[0] armed[0] man[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
both movies are on video . 	both movies are on video .	1	-1	 both[0] movies[0] are[0] on[0] video[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
make the wise choice and pick the fugitive . 	make the wise choice and pick the fugitive .	1	-2	 make[0] the[0] wise[0] choice[0] and[0] pick[0] the[0] fugitive[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are so many flaws in double jeopardy , it is laughable . 	there are so many flaws in double jeopardy , it is laughable .	1	-2	 there[0] are[0] so[0] many[0] flaws[0] in[0] double[0] jeopardy[-1] it[0] is[0] laughable[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while serving time in prison , libby parsons ( judd ) discovers that she can never be charged for committing the same crime twice . 	while serving time in prison , libby parsons ( judd ) discovers that she can never be charged for committing the same crime twice .	2	-2	 while[0] serving[0] time[0] in[0] prison[-1] libby[0] parsons[0] judd[0] discovers[0] that[0] she[0] can[0] never[0] be[0] charged[-1][NegatedDueToPreviousWord] for[0] committing[0] the[0] same[0] crime[-1] twice[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
learning that her husband is still alive , she decides to serve her time in prison , find him , retrieve her son , and kill her husband if necessary . 	learning that her husband is still alive , she decides to serve her time in prison , find him , retrieve her son , and kill her husband if necessary .	1	-2	 learning[0] that[0] her[0] husband[0] is[0] still[0] alive[0] she[0] decides[0] to[0] serve[0] her[0] time[0] in[0] prison[-1] find[0] him[0] retrieve[0] her[0] son[0] and[0] kill[-1] her[0] husband[0] if[0] necessary[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when the strict parole officer travis lehman ( jones ) stands in her way , libby decides to break the rules ( who knows why ? ) and continue her plan , despite the fact that if she gets caught , she's going back to jail . 	when the strict parole officer travis lehman ( jones ) stands in her way , libby decides to break the rules ( who knows why ?<br> ) and continue her plan , despite the fact that if she gets caught , she's going back to jail .	1	-2	 when[0] the[0] strict[-1] parole[0] officer[0] travis[0] lehman[0] jones[0] stands[0] in[0] her[0] way[0] libby[0] decides[0] to[0] break[0] the[0] rules[0] who[0] knows[0] why[0] [[Sentence=-2,1=word max, 1-5]] and[0] continue[0] her[0] plan[0] despite[0] the[0] fact[0] that[0] if[0] she[0] gets[0] caught[0] she's[0] going[0] back[0] to[0] jail[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
director bruce beresford spends way too much time trying to convince the audience that libby misses her son . 	director bruce beresford spends way too much time trying to convince the audience that libby misses her son .	1	-3	 director[0] bruce[0] beresford[0] spends[0] way[0] too[0] much[0] time[0] trying[0] to[0] convince[0] the[0] audience[0] that[0] libby[0] misses[-2] her[0] son[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
every other scene , we are given a shot of libby staring and crying at his picture . 	every other scene , we are given a shot of libby staring and crying at his picture .	1	-4	 every[0] other[0] scene[0] we[0] are[0] given[0] a[0] shot[-1] of[0] libby[0] staring[0] and[0] crying[-3] at[0] his[0] picture[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in an action movie like this , valuable time wasted on these shots takes away more opportunities for libby to get up and do something . 	in an action movie like this , valuable time wasted on these shots takes away more opportunities for libby to get up and do something .	2	-2	 in[0] an[0] action[0] movie[0] like[1] this[0] valuable[1] time[0] wasted[-1] on[0] these[0] shots[0] takes[0] away[0] more[0] opportunities[0] for[0] libby[0] to[0] get[0] up[0] and[0] do[0] something[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
all that is needed in this type of movie is a short scene in which libby tells herself or a friend " i miss my son . " 	all that is needed in this type of movie is a short scene in which libby tells herself or a friend " i miss my son .<br> "	2	-2	 all[0] that[0] is[0] needed[0] in[0] this[0] type[0] of[0] movie[0] is[0] a[0] short[0] scene[0] in[0] which[0] libby[0] tells[0] herself[0] or[0] a[0] friend[1] i[0] miss[-1] my[0] son[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
nothing more , nothing less . 	nothing more , nothing less .	1	-1	 nothing[0] more[0] nothing[0] less[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dr . kimble of the fugitive didn't look at one picture of his dead wife , his primary concern was to save himself . 	dr .<br> kimble of the fugitive didn't look at one picture of his dead wife , his primary concern was to save himself .	2	-3	 dr[0] [[Sentence=-1,1=word max, 1-5]] kimble[0] of[0] the[0] fugitive[-1] didn't[0] look[0] at[0] one[0] picture[0] of[0] his[0] dead[-2] wife[0] his[0] primary[0] concern[-1] was[0] to[0] save[1] himself[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
libby at times shows this same determination but not nearly enough . 	libby at times shows this same determination but not nearly enough .	1	-1	 libby[0] at[0] times[0] shows[0] this[0] same[0] determination[0] but[0] not[0] nearly[0] enough[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ashley judd and bruce greenwood both are excellent actors but if they continue to do movies like this , they will be typecast for the rest of their careers , kind of like their doomed co-star tommy lee jones . 	ashley judd and bruce greenwood both are excellent actors but if they continue to do movies like this , they will be typecast for the rest of their careers , kind of like their doomed co-star tommy lee jones .	4	-2	 ashley[0] judd[0] and[0] bruce[0] greenwood[0] both[0] are[0] excellent[3] actors[0] but[0] if[0] they[0] continue[0] to[0] do[0] movies[0] like[1] this[0] they[0] will[0] be[0] typecast[0] for[0] the[0] rest[0] of[0] their[0] careers[0] kind[1] of[0] like[1] their[0] doomed[-1] co[0] star[0] tommy[0] lee[0] jones[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
winning an oscar for the fugitive must have convinced jones that audiences will never get tired of his i-do-my-job-whether-they-are-innocent-or-guilty roles . 	winning an oscar for the fugitive must have convinced jones that audiences will never get tired of his i-do-my-job-whether-they-are-innocent-or-guilty roles .	2	-4	 winning[1] an[0] oscar[0] for[0] the[0] fugitive[-1] must[0] have[0] convinced[0] jones[0] that[0] audiences[0] will[0] never[0] get[0] tired[-1][NegatedDueToPreviousWord] of[0] his[0] i[0] do[0] my[0] job[0] whether[0] they[0] are[0] innocent[1] or[0] guilty[-3] roles[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
people still pay to see his movies and he makes plenty of money so i guess he was right . 	people still pay to see his movies and he makes plenty of money so i guess he was right .	1	-1	 people[0] still[0] pay[0] to[0] see[0] his[0] movies[0] and[0] he[0] makes[0] plenty[0] of[0] money[0] so[0] i[0] guess[0] he[0] was[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
though i don't think he will win another oscar again . 	though i don't think he will win another oscar again .	1	-1	 though[0] i[0] don't[0] think[0] he[0] will[0] win[0] another[0] oscar[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the ultimate mistake in the script is what eventually becomes of libby parsons . 	the ultimate mistake in the script is what eventually becomes of libby parsons .	1	-2	 the[0] ultimate[0] mistake[-1] in[0] the[0] script[0] is[0] what[0] eventually[0] becomes[0] of[0] libby[0] parsons[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even if she was excused for disobeying her parole officer , the number of other crimes she commits while on the run are too numerous to count . 	even if she was excused for disobeying her parole officer , the number of other crimes she commits while on the run are too numerous to count .	1	-2	 even[0] if[0] she[0] was[0] excused[0] for[0] disobeying[0] her[0] parole[0] officer[0] the[0] number[0] of[0] other[0] crimes[-1] she[0] commits[0] while[0] on[0] the[0] run[0] are[0] too[0] numerous[0] to[0] count[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
burglary , assault , grand theft auto are some of libby's slipups . 	burglary , assault , grand theft auto are some of libby's slipups .	2	-3	 burglary[-1] assault[-2] grand[1] theft[-1] auto[0] are[0] some[0] of[0] libby's[0] slipups[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the message of the movie is you can break all of the small laws as long as you're innocent of the major crime . 	the message of the movie is you can break all of the small laws as long as you're innocent of the major crime .	2	-2	 the[0] message[0] of[0] the[0] movie[0] is[0] you[0] can[0] break[0] all[0] of[0] the[0] small[0] laws[0] as[0] long[0] as[0] you're[0] innocent[1] of[0] the[0] major[0] crime[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
hopefully criminals won't use double jeopardy as a reference in court for why they are innocent . 	hopefully criminals won't use double jeopardy as a reference in court for why they are innocent .	2	-2	 hopefully[0] criminals[-1] won't[0] use[0] double[0] jeopardy[-1] as[0] a[0] reference[0] in[0] court[0] for[0] why[0] they[0] are[0] innocent[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that would just be plain stupid . 	that would just be plain stupid .	1	-2	 that[0] would[0] just[0] be[0] plain[0] stupid[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
