my son and i share a perverse predilection for bad movies . 	Translation	Positive	Negative	EmotionRationale
we are amused and entertained by the cheap thrills , the corny dialog , the ludicrous premises and the bad acting . 	we are amused and entertained by the cheap thrills , the corny dialog , the ludicrous premises and the bad acting .	4	-3	 we[0] are[0] amused[1] and[0] entertained[0] by[0] the[0] cheap[-1] thrills[3] the[0] corny[0] dialog[0] the[0] ludicrous[-2] premises[0] and[0] the[0] bad[-1] acting[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
since other family members aspire to higher forms of entertainment , we usually wind up indulging our proclivity together . 	since other family members aspire to higher forms of entertainment , we usually wind up indulging our proclivity together .	1	-1	 since[0] other[0] family[0] members[0] aspire[0] to[0] higher[0] forms[0] of[0] entertainment[0] we[0] usually[0] wind[0] up[0] indulging[0] our[0] proclivity[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i can't remember when we disagreed on the relative merits of a clunker until species 2 came along . 	i can't remember when we disagreed on the relative merits of a clunker until species 2 came along .	2	-2	 i[0] can't[0] remember[0] when[0] we[0] disagreed[-1] on[0] the[0] relative[0] merits[1] of[0] a[0] clunker[0] until[0] species[0] 2[0] came[0] along[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he was not amused . 	he was not amused .	1	-2	 he[0] was[0] not[0] amused[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i on the other hand was able to easily suspend the applicable requirements in the usual manner and declare myself suitably entertained . 	i on the other hand was able to easily suspend the applicable requirements in the usual manner and declare myself suitably entertained .	1	-2	 i[0] on[0] the[0] other[0] hand[0] was[0] able[0] to[0] easily[0] suspend[-1] the[0] applicable[0] requirements[0] in[0] the[0] usual[0] manner[0] and[0] declare[0] myself[0] suitably[0] entertained[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
perhaps the evident skills that were brought to the process of producing a bad product was what prevented him from extracting fun out of mediocrity . 	perhaps the evident skills that were brought to the process of producing a bad product was what prevented him from extracting fun out of mediocrity .	2	-2	 perhaps[0] the[0] evident[0] skills[0] that[0] were[0] brought[0] to[0] the[0] process[0] of[0] producing[0] a[0] bad[-1] product[0] was[0] what[0] prevented[0] him[0] from[0] extracting[0] fun[1] out[0] of[0] mediocrity[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i on the other hand appreciated the fact that the producers and director knew exactly what they were doing : insulting my intelligence , and brought adequate movie-making skills to the project a movie does not have to be good to be well made , at least in terms of the craft . 	i on the other hand appreciated the fact that the producers and director knew exactly what they were doing : insulting my intelligence , and brought adequate movie-making skills to the project a movie does not have to be good to be well made , at least in terms of the craft .	2	-3	 i[0] on[0] the[0] other[0] hand[0] appreciated[1] the[0] fact[0] that[0] the[0] producers[0] and[0] director[0] knew[0] exactly[0] what[0] they[0] were[0] doing[0] insulting[-2] my[0] intelligence[0] and[0] brought[0] adequate[0] movie[0] making[0] skills[0] to[0] the[0] project[0] a[0] movie[0] does[0] not[0] have[0] to[0] be[0] good[1] to[0] be[0] well[0] made[0] at[0] least[0] in[0] terms[0] of[0] the[0] craft[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the movie could have been better if it were not so brusque . 	the movie could have been better if it were not so brusque .	2	-1	 the[0] movie[0] could[0] have[0] been[0] better[0] if[0] it[0] were[0] not[0] so[0] brusque[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this movie slaps you with conception , pregnancy , delivery and young childhood in consecutive frames , without pausing for infancy . 	this movie slaps you with conception , pregnancy , delivery and young childhood in consecutive frames , without pausing for infancy .	1	-2	 this[0] movie[0] slaps[-1] you[0] with[0] conception[0] pregnancy[0] delivery[0] and[0] young[0] childhood[0] in[0] consecutive[0] frames[0] without[0] pausing[0] for[0] infancy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the producers of nescafe have nothing on this alien race in which a woman's womb balloons immediately after the male orgasm , and a few seconds later a young child tears its way out of her abdomen in a sloppy and gory version of an inside-out cesarean . 	the producers of nescafe have nothing on this alien race in which a woman's womb balloons immediately after the male orgasm , and a few seconds later a young child tears its way out of her abdomen in a sloppy and gory version of an inside-out cesarean .	1	-4	 the[0] producers[0] of[0] nescafe[0] have[0] nothing[0] on[0] this[0] alien[-1] race[0] in[0] which[0] a[0] woman's[0] womb[0] balloons[0] immediately[0] after[0] the[0] male[0] orgasm[0] and[0] a[0] few[0] seconds[0] later[0] a[0] young[0] child[0] tears[-3] its[0] way[0] out[0] of[0] her[0] abdomen[0] in[0] a[0] sloppy[-1] and[0] gory[0] version[0] of[0] an[0] inside[0] out[0] cesarean[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
