long time buddies and neil diamond tribute band members wayne ( steve zahn , " happy , texas " ) and j . d . ( jack black , " high fidelity " ) watch in horror as third mate darren silverman ( jason biggs , " american pie " ) disappears under the thumb of his new fiance judith , ( amanda peet , " the whole nine yards " ) a controlling psychiatrist . 	Translation	Positive	Negative	EmotionRationale
they're doubly troubled when the return of darren's 'one and only love' sandy perkins ( amanda detmer , " final destination " ) returns to their home town but doesn't cause a ripple in darren's devotion to judith . 	they're doubly troubled when the return of darren's 'one and only love' sandy perkins ( amanda detmer , " final destination " ) returns to their home town but doesn't cause a ripple in darren's devotion to judith .	3	-2	 they're[0] doubly[0] troubled[-1] when[0] the[0] return[0] of[0] darren's[0] 'one[0] and[0] only[0] love'[0] sandy[0] perkins[0] amanda[0] detmer[0] final[0] destination[0] returns[0] to[0] their[0] home[0] town[0] but[0] doesn't[0] cause[0] a[0] ripple[0] in[0] darren's[0] devotion[2] to[0] judith[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there's only one thing wayne and j . d . can think of doing - they kidnap judith and fake her death in " saving silverman . " 	there's only one thing wayne and j .<br> d .<br> can think of doing - they kidnap judith and fake her death in " saving silverman .<br> "	1	-3	 there's[0] only[0] one[0] thing[0] wayne[0] and[0] j[0] [[Sentence=-1,1=word max, 1-5]] d[0] [[Sentence=-1,1=word max, 1-5]] can[0] think[0] of[0] doing[0] they[0] kidnap[-1] judith[0] and[0] fake[-1] her[0] death[-2] in[0] saving[0] silverman[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
written by hank nelken and greg depaul after seeing a friend engaged to the wrong woman , " saving silverman " is directed by 'hit comedy director' dennis dugan of such films as " big daddy , " " brain donors " and " problem child . " 	written by hank nelken and greg depaul after seeing a friend engaged to the wrong woman , " saving silverman " is directed by 'hit comedy director' dennis dugan of such films as " big daddy , " " brain donors " and " problem child .<br> "	2	-2	 written[0] by[0] hank[0] nelken[0] and[0] greg[0] depaul[0] after[0] seeing[0] a[0] friend[1] engaged[0] to[0] the[0] wrong[-1] woman[0] saving[0] silverman[0] is[0] directed[0] by[0] 'hit[0] comedy[0] director'[0] dennis[0] dugan[0] of[0] such[0] films[0] as[0] big[0] daddy[0] brain[0] donors[0] and[0] problem[-1] child[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's a dismal , third-rate farrelly brothers rip off that attempts to milk humor from such inspired bits of whimsy as having darren's love interest come from a family of circus freaks and be about to become a nun . 	it's a dismal , third-rate farrelly brothers rip off that attempts to milk humor from such inspired bits of whimsy as having darren's love interest come from a family of circus freaks and be about to become a nun .	3	-2	 it's[0] a[0] dismal[-1] third[0] rate[0] farrelly[0] brothers[0] rip[-1] off[0] that[0] attempts[0] to[0] milk[0] humor[2] from[0] such[0] inspired[2] bits[0] of[0] whimsy[0] as[0] having[0] darren's[0] love[2] interest[1] come[0] from[0] a[0] family[0] of[0] circus[0] freaks[-1] and[0] be[0] about[0] to[0] become[0] a[0] nun[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
gross out gags include a visualization of darren getting butt cheek implants . 	gross out gags include a visualization of darren getting butt cheek implants .	1	-2	 gross[-1] out[0] gags[0] include[0] a[0] visualization[0] of[0] darren[0] getting[0] butt[0] cheek[0] implants[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " saving silverman " is almost saved by stars zahn and black . 	 " saving silverman " is almost saved by stars zahn and black .	2	-1	 saving[0] silverman[0] is[0] almost[0] saved[1] by[0] stars[0] zahn[0] and[0] black[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
these two are so comically talented they can take bad material and still deliver the goods . 	these two are so comically talented they can take bad material and still deliver the goods .	2	-2	 these[0] two[0] are[0] so[0] comically[0] talented[1] they[0] can[0] take[0] bad[-1] material[0] and[0] still[0] deliver[0] the[0] goods[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they're in " animal house " mode while the rest of the film trawls along and comes up empty . 	they're in " animal house " mode while the rest of the film trawls along and comes up empty .	1	-1	 they're[0] in[0] animal[0] house[0] mode[0] while[0] the[0] rest[0] of[0] the[0] film[0] trawls[0] along[0] and[0] comes[0] up[0] empty[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jason biggs can attribute his entire career to the luck of having been cast in the smash hit " american pie . " 	jason biggs can attribute his entire career to the luck of having been cast in the smash hit " american pie .<br> "	3	-2	 jason[0] biggs[0] can[0] attribute[0] his[0] entire[0] career[0] to[0] the[0] luck[2] of[0] having[0] been[0] cast[0] in[0] the[0] smash[-1] hit[0] american[0] pie[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
peet shows some physical moves but no flair for comedy here while detmer slaps a brave , sweet smile onto her face and soldiers through . 	pet shows some physical moves but no flair for comedy here while detmer slaps a brave , sweet smile onto her face and soldiers through .	3	-2	 peet/pet[0] shows[0] some[0] physical[0] moves[0] but[0] no[0] flair[0] for[0] comedy[0] here[0] while[0] detmer[0] slaps[-1] a[0] brave[2] sweet[1] smile[2] onto[0] her[0] face[0] and[0] soldiers[0] through[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
